Exp,Site,Hole,"Core, Section",Top Depth [m],Bottom Depth [m],Abundance,Preservation,Ammodochium rectangulare,Ebriopsis antiqua antiqua,Ebriopsis antiqua cornuta,Core,Section,Type,Top [cm],Bottom [cm],A/W,Sample,eodp_id
323,U1341,A,2H-CC,12.54,12.64,X,P,,,,2,CC,H,,,,323-U1341A-2H-CC,169914ad1b8469486659f2ff7a070f92
323,U1341,A,3H-CC,22.33,22.43,A,G,,,,3,CC,H,,,,323-U1341A-3H-CC,5e389fa6eeaec9ae1206ad405fcc63fe
323,U1341,A,4H-CC,31.67,31.77,A,G,,,,4,CC,H,,,,323-U1341A-4H-CC,c1591083d400a6864757d883c2b9445f
323,U1341,A,5H-CC,41.22,41.32,F,G,,,,5,CC,H,,,,323-U1341A-5H-CC,d64f95a4ed7a4a22d6f8e216030b4a2c
323,U1341,A,6H-CC,50.85,50.95,F,G,,,,6,CC,H,,,,323-U1341A-6H-CC,0470521720f452a9f6edfa078d354207
323,U1341,A,7H-CC,60.41,60.51,C,G,,,,7,CC,H,,,,323-U1341A-7H-CC,c1be50c84e41e62c64bf9f7e71806cb6
323,U1341,A,8H-CC,69.31,69.41,F,G,,,,8,CC,H,,,,323-U1341A-8H-CC,7ac0d89b2b9c55ee1466ba1ed0f2d62a
323,U1341,A,9H-CC,79.56,79.66,F,G,,,,9,CC,H,,,,323-U1341A-9H-CC,6e767bfb05112aa1585a9fd1a98fa980
323,U1341,A,10H-CC,89.02,89.12,C,G,,,,10,CC,H,,,,323-U1341A-10H-CC,685f657a5623fb8a4ef4238d7d5e67f0
323,U1341,A,12H-CC,108.06,108.16,C,G,,,,12,CC,H,,,,323-U1341A-12H-CC,2be09d03af9828279643555aa9b3cadf
323,U1341,A,14H-CC,127.00,127.10,F,G,,,,14,CC,H,,,,323-U1341A-14H-CC,c86beb7ecb3b459a7b5262058240aeb7
323,U1341,A,16H-CC,145.97,146.07,R,M,,T,,16,CC,H,,,,323-U1341A-16H-CC,50e414708f5bf8e4f5da7aebf48519c7
323,U1341,A,17H-CC,155.53,155.63,A,G,,,,17,CC,H,,,,323-U1341A-17H-CC,4f1b53655ba34141bcc84031768048fb
323,U1341,A,18H-CC,164.92,165.02,X,P,,,,18,CC,H,,,,323-U1341A-18H-CC,b7c236a4b76f9d1cdafd01a189038e83
323,U1341,A,19H-CC,174.39,174.49,C,G,,,,19,CC,H,,,,323-U1341A-19H-CC,d30e78db6b2446372f682c52086d07a1
323,U1341,A,20H-CC,183.82,183.92,F,G,,,,20,CC,H,,,,323-U1341A-20H-CC,8be190572d0b9431d833bffc0a5214eb
323,U1341,A,25H-CC,231.33,231.43,R,M,,,,25,CC,H,,,,323-U1341A-25H-CC,c3c26923f66a95f949e5065c98d1e0af
323,U1341,A,26H-CC,233.11,233.21,F,G,,,,26,CC,H,,,,323-U1341A-26H-CC,aa3e66c4760a84f00b8c6aa6405a77e4
323,U1341,A,27H-CC,241.40,241.50,A,G,R,,,27,CC,H,,,,323-U1341A-27H-CC,27cd155ac4385997f12fa9e1c0488165
323,U1341,A,28H-CC,252.44,252.54,C,G,,,,28,CC,H,,,,323-U1341A-28H-CC,e0c2ab3bdf1581b0e092b438fbfd4fd2
323,U1341,A,29H-CC,262.14,262.24,C,G,T,,,29,CC,H,,,,323-U1341A-29H-CC,e7853fa0b8524414474a73c8a35f77bb
323,U1341,A,30H-CC,271.72,271.82,A,G,T,,,30,CC,H,,,,323-U1341A-30H-CC,701cfb13a39878ab9256dd6e81aca32d
323,U1341,A,34H-CC,309.42,309.52,C,G,T,,,34,CC,H,,,,323-U1341A-34H-CC,bf4edd79cdd31e308f2de4733460f1bb
323,U1341,A,35H-CC,318.92,319.02,F,G,,,,35,CC,H,,,,323-U1341A-35H-CC,00770ebd87aecac023d168a703851b4a
323,U1341,A,36H-CC,328.09,328.19,A,G,R,,,36,CC,H,,,,323-U1341A-36H-CC,c82516e622e8c74988843a0d535b2182
323,U1341,A,37H-CC,332.71,332.81,A,G,T,R,T,37,CC,H,,,,323-U1341A-37H-CC,35dfc293a4279876dfd514df3b58cd90
323,U1341,A,38H-CC,342.16,342.26,F,G,T,T,T,38,CC,H,,,,323-U1341A-38H-CC,76546feac8526df8346b41406b408158
323,U1341,A,39H-CC,351.93,352.03,C,G,T,F,R,39,CC,H,,,,323-U1341A-39H-CC,c7fa38d653b892ec68396ba7d49b96d0
323,U1341,A,40H-CC,356.68,356.78,A,G,,R,R,40,CC,H,,,,323-U1341A-40H-CC,95d6ce05c5f6d89c058ed1858083d8de
323,U1341,A,41H-CC,359.02,359.12,A,G,T,R,R,41,CC,H,,,,323-U1341A-41H-CC,e0f6caa119afe28198f4bf1a46562feb
