Exp,Site,Hole,"Core, section",Top Depth [m],Bottom Depth [m],Abundance,Preservation,Ebriopsis antiqua antiqua,Ebriopsis antiqua cornuta,Core,Section,Type,Top [cm],Bottom [cm],A/W,Sample,eodp_id
323,U1341,B,3H-CC,28.08,28.18,F,G,,,3,CC,H,,,,323-U1341B-3H-CC-nan,ac746952470e71cbd563558d451f8859
323,U1341,B,4H-CC,37.6,37.7,F,G,,,4,CC,H,,,,323-U1341B-4H-CC-nan,577b954a76a3a4a2cf4dd0da61564768
323,U1341,B,5H-CC,47.04,47.18,T,M,,,5,CC,H,,,,323-U1341B-5H-CC-nan,ad16bbf5ca45f4ad90ccbf0ca610f90a
323,U1341,B,6H-CC,56.58,56.68,R,G,,,6,CC,H,,,,323-U1341B-6H-CC-nan,dbe0a4a8efc9e73561947b953cf33e5f
323,U1341,B,7H-CC,66.08,66.18,C,G,,,7,CC,H,,,,323-U1341B-7H-CC-nan,6551fc412e369ef2fa05780580578a16
323,U1341,B,8H-CC,75.65,75.75,C,G,,,8,CC,H,,,,323-U1341B-8H-CC-nan,2b1cd280b9db345759bfc924ba0430e9
323,U1341,B,9H-CC,85.14,85.24,A,G,,,9,CC,H,,,,323-U1341B-9H-CC-nan,667ffe502aaffa7aad7171a615d37a28
323,U1341,B,10H-CC,94.1,94.2,A,G,,,10,CC,H,,,,323-U1341B-10H-CC-nan,e543d6b248740ec428d4435b12dd424a
323,U1341,B,23H-CC,209.68,209.78,T,P,,,23,CC,H,,,,323-U1341B-23H-CC-nan,f11077df5d4a048e1aad0c60fbff6dd3
323,U1341,B,24H-CC,218.83,218.93,F,M,,,24,CC,H,,,,323-U1341B-24H-CC-nan,ee9adde71e0dfe42dd7973c34594bb24
323,U1341,B,25H-CC,228.42,228.52,R,M,,,25,CC,H,,,,323-U1341B-25H-CC-nan,15bc0450029d9da85620a8faa8de32e0
323,U1341,B,26H-CC,238.11,238.21,C,M,,,26,CC,H,,,,323-U1341B-26H-CC-nan,8136500641b9239ad646a0bd61f5e2cb
323,U1341,B,27H-CC,247.5,247.6,F,G,,,27,CC,H,,,,323-U1341B-27H-CC-nan,9b8f750d573d055ae001cbf0fc343ad3
323,U1341,B,28H-CC,257.09,257.19,F,G,,,28,CC,H,,,,323-U1341B-28H-CC-nan,8c6212d769c9cf7590165521bcf9d552
323,U1341,B,29H-CC,265.92,266.02,C,G,,,29,CC,H,,,,323-U1341B-29H-CC-nan,2a0eb861b93510b55c31c54f0bc92ba6
323,U1341,B,30H-CC,276.09,276.19,F,G,,,30,CC,H,,,,323-U1341B-30H-CC-nan,89ff012fde65bee158dfc55938716771
323,U1341,B,34H-CC,307.22,307.32,R,G,,,34,CC,H,,,,323-U1341B-34H-CC-nan,22d7c0d49839332b5c5fbe2f87ff612a
323,U1341,B,35H-CC,316.65,316.75,F,G,,,35,CC,H,,,,323-U1341B-35H-CC-nan,67ea80155f9b111887cc7bd0098b9d47
323,U1341,B,36H-CC,325.83,325.93,A,G,,,36,CC,H,,,,323-U1341B-36H-CC-nan,02767d69581d5836d9c345429570ff87
323,U1341,B,37H-CC,335.18,335.28,A,G,R,,37,CC,H,,,,323-U1341B-37H-CC-nan,c118cecaed25a7f8e5db872a51da6ca1
323,U1341,B,38H-CC,345.68,345.78,A,G,R,R,38,CC,H,,,,323-U1341B-38H-CC-nan,577571d71b59435324432df6dc37fb47
323,U1341,B,39H-CC,354.99,355.09,A,G,F,T,39,CC,H,,,,323-U1341B-39H-CC-nan,b78d0d9fc2e9f7be61dab33a506bbfe7
323,U1341,B,40H-CC,358.01,358.11,A,G,R,F,40,CC,H,,,,323-U1341B-40H-CC-nan,8106ea4c8a3246e24c9fbe9f8bc9d418
323,U1341,B,41H-CC,366.14,366.24,A,G,F,F,41,CC,H,,,,323-U1341B-41H-CC-nan,7b43fd7d2c942d8db5750778e5a2e540
323,U1341,B,55H-CC,458.3,458.36,F,G,,,55,CC,H,,,,323-U1341B-55H-CC-nan,b4e92834a2c0fc40d1f52eb3190fd329
323,U1341,B,71X-CC,601.77,601.87,C,M,T,R,71,CC,X,,,,323-U1341B-71X-CC-nan,58e1042e878f4c2f067f2fd0debf15bd
