Exp,Site,Hole,"Core, Section, Interval",Top Depth [m],Abundance,Preservation,Achnanthes lanceolatum,Achnanthes spp.,Actinocyclus sp.1,Actinocyclus sp. 2,Actinocyclus curvatulus,Actinocyclus ochotensis,Astromphalus brookei,Aulacoseira sp.,Azpeitia cf. tabularis,Bacterosira fragilis,Chaetoceros resting spore,Cocconeis costata,Cocconeis placentula,Cyclotella sp.,Delphineis surirella,Diploneis angustata,Fragilariopsis cylindrus,Fragilariopsis oceanica,Hyalochaete,Navicula distans,Neodenticula seminae,Nitzschia spp.,Odontella aurita,Paralia sulcata,Pinnularia gibba,Pinnularia lata,Pyxidicula turris,Rhabdonema spp.,Rhizosolenia hebetata f. semispina,Rhizosolenia hebetata f. heimalis,Rhizosolenia hebetata f. hebetata,Rhizosolenia spp.,Rhizosolenia sp 1,Stellarima microtrias,Thalassionema bacillaris,Thalassionema nitzschioides,Thalassiosira antarctica spore,Thalassiosira decipiens,Thalassiosira gravida,Thalassiosira hyalina,Thalassiosira lineata,Thalassiosira nordenskioeldii,Thalassiosira oestrupii,Thalassiosira poroseriata,Thalassiosira spp.,Thalassiosira latimarginata sl.,Thalassiothrix longissima,Diatom Zone (NPD) in Yanagisawa and Akiba (1998),Unnamed: 55,Section,Core,Type,Top [cm],Bottom [cm],Bottom Depth [m],A/W,Sample,eodp_id
323,U1339,A,1H-CC,4.82,,,,R,,,F,,R,,,R,C,,,,,R,F,C,C,,C,F,C,,,R,,,,,,,,,,,,,C,,,,F,,R,C,,Neodenticula seminae (NPD 12),,CC,1,H,,,,,323-U1339A-1H-CC,7c692cc4bf8aee2434e25cfe73a6b540
323,U1339,A,2H-CC,14.64,,,,,R,,R,T,,T,,R,,,T,,C,,,,,,A,,F,,,,,,,,,,,,,,,,C,T,,F,C,,,C,,,,CC,2,H,,,,,323-U1339A-2H-CC,d42568e534656e3b0384d668047b2ee4
323,U1339,A,3H-CC,24.23,,,T,T,,,F,,,F,,C,A,,,,,,,F,F,,F,,F,,T,,,,,,T,,,,,,,,A,T,,,C,,,C,,,,CC,3,H,,,,,323-U1339A-3H-CC,a669ac1246912bae69df1e58bccd11e0
323,U1339,A,"4H-1, 150-152",25.4,,,,,F,,,,,R,,C,A,F,T,R,R,,,,,,C,,R,R,,,F,T,,T,,T,T,,,C,C,,,C,R,R,,,,F,T,,,1,4,H,150,152,,,323-U1339A-4H-1,12de624e5552e78c3cafbc3bdf2e152b
323,U1339,A,"4H-3, 150-156",28.4,,,,,T,T,,,T,,R,R,A,,T,R,,,T,,,,C,T,R,T,,,T,R,T,,,,,,T,F,A,R,R,F,R,R,T,R,,R,,,,3,4,H,150,156,,,323-U1339A-4H-3,a8b8596a182115996cedcced7bb4ddbe
323,U1339,A,"4H-3, 156-159",28.46,,,,,T,,,,,T,,F,A,,,F,T,,,,,R,F,R,R,T,,,,T,,T,,T,,R,,R,A,,R,F,T,,T,T,T,R,,,,3,4,H,156,159,,,323-U1339A-4H-3,b890adf937327465ed7a11afbb4bcaed
323,U1339,A,4H-CC,33.79,,,,,,,F,,,,,R,A,,,,,,R,F,,,A,,F,,,,,,C,,F,,,,,,,,C,R,,,C,,,,,,,CC,4,H,,,,,323-U1339A-4H-CC,64b09dfabb8181a50b0e277b01b2448f
