Exp,Site,Hole,Core,Type,Section,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Abundance,Globigerina bulloides,Globigerina umbilicata,Neogloboquadrina pachyderma (dex),Neogloboquadrina pachyderma (sin),Comments,A/W,Sample,eodp_id
323,U1345,C,1,H,CC,0,10,5.86,5.96,VG,D,D,,,A,dominant IRD,,323-U1345C-1H-CC,fd54ce0cf221014ccca79354be1d83a7
323,U1345,C,2,H,CC,13,23,15.72,15.82,G,F,R,,,F,"dominant IRD, pyrite, mica, few yellow foraminiferal tests",,323-U1345C-2H-CC,cacbdd84a73e694dd96777b195b8fa17
323,U1345,C,3,H,CC,18,28,25.56,25.66,G,R,R,,,R,"dominant IRD, pyrite, mica",,323-U1345C-3H-CC,a6f9a4e37c010c4fa682fe9df5f6d98d
323,U1345,C,4,H,CC,27,37,35.04,35.14,G,A,F,,,A,"dominant IRD, pyrite, mica",,323-U1345C-4H-CC,d87e1323ab2718f1ae1651119122be64
323,U1345,C,5,H,CC,32,42,43.94,44.04,G,R,R,,,R,"dominant IRD, pyrite, mica",,323-U1345C-5H-CC,eee606e732d21b262c90138dcaaaf711
323,U1345,C,6,H,CC,30,40,53.77,53.87,G,F,R,,,F,"dominant IRD, pyrite, mica",,323-U1345C-6H-CC,678fee4d2ffafbd5fd3d8a2382f847c9
323,U1345,C,7,H,CC,57,67,63.11,63.21,M,R,,,,R,"dominant IRD, pyrite, mica",,323-U1345C-7H-CC,ac947bc0db429e615b399853a45205e1
323,U1345,C,8,H,CC,37,47,72.5,72.6,M,R,R,,,,"dominant IRD, pyrite, mica",,323-U1345C-8H-CC,c29bd46340f074179fc33521311b944f
323,U1345,C,9,H,CC,31,41,82.04,82.14,G,A,A,,,A,"dominant IRD, pyrite, mica",,323-U1345C-9H-CC,2687714ce671958fceec3e5502dfc73b
323,U1345,C,10,H,CC,28,38,91.81,91.91,G,R,R,,P,,"dominant IRD, pyrite, mica",,323-U1345C-10H-CC,2f8b02b96ce216fd65fc01f9113482d3
