"Core, section, interval (cm)",Preservation,Abundance (%),Zone/Subzone,Catapsydrax dissimillis,Catapsydrax parvulus,Catapsydrax unicavus,Clavatorella bermudezi,Dentoglobigerina altispira,Dentoglobigerina altispira globosa,Dentoglobigerina baroemoensis,Dentoglobigerina larmeui,Dentoglobigerina tripartita s.s.,Globigerina angustiumbilicata,Globigerina bulloides,Globigerina ciperoensis,Globigerina falconensis,Globigerina praebulloides,Globigerina winkleri,Globigerinita glutinata,Globigerinoides altiaperturus,Globigerinoides bisphericus,Globigerinoides obliquus,Globigerinoides primordius,Globigerinoides quadrilobatus,Globigerinoides sacculifer,Globigerinoides subquadratus,Globigerinoides trilobus,Globoquadrina binaiensis,Globoquadrina dehiscens,Globoquadrina sellii,Globoquadrina venezuelana,Globorotalia (Fohsella) fohsi,Globorotalia (Forsella) fohsi lobata,Globorotalia (Fohsella) fohsi robusta,Globorotalia (Fohsella) peripheroacuta,Globorotalia (Fohsella) peripheroronda,Globorotalia (Fohsella) “praefohsi”,Globorotalia (Men ardella) menardii,Globorotalia (Menardella) praemenardii,Globorotalia praescitula,Globorotaloides suteri,Globoturborotalita druryi,Orbulina suturalis,Orbulina universa,Paragloborotalia bella,Paragloborotalia continuosa,Paragloborotalia kugleri,Paragloborotalia mayeri,Paragloborotalia nana,Paragloborotalia pseudocontinuosa,Paraglobrotalia pseudokugleri,Paragloborotalia semivera,Paragloborotalia siakensis,Praeobulina glomerosa,Praeorbulina curva,Praeorbulina sicana,Sphaeroidinellopsis seminulina,Sphaeroidnellopsis disjuncta,Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
320-U1336B-1H-CC,M,42,N12,,,,,D,F,A,,,,,,R,,,,,,,,,,,,,F,,A,P,P,P,,,,,,P,,,R,,,P,,P,,,,,,,,,,,320-U1336B-1H-CC,,,,,320,U1336,B,1,H,CC,,ca499909b81032456e5bde71112b2824
320-U1336B-2H-CC,M,87,N12,,,,,D,,A,,,,R,,F,,,,,,,,P,P,R,,,R,,R,P,P,,,,R,P,,R,,,P,P,,P,,A,,,,,P,,,,P,,320-U1336B-2H-CC,,,,,320,U1336,B,2,H,CC,,e46096a052a48dac5fc1e463802585db
320-U1336B-3H-CC,M,99,N10,,,,R,D,,A,,,,,,,,,P,,,R,,P,P,P,R,,P,,F,,,,R,,,P,P,P,,,R,R,,,,R,,,,,R,,,,R,,320-U1336B-3H-CC,,,,,320,U1336,B,3,H,CC,,7b246b95f885ba198f088c31fed131e7
320-U1336B-4H-CC,M,87,M5b,,,,,D,,F,,,,,,,P,,,,,R,,R,,F,R,,R,,D,,,,,P,,,P,P,,,,,,P,,R,,,,,,,,,,,320-U1336B-4H-CC,,,,,320,U1336,B,4,H,CC,,8c809e43fb504e731f464617bd8609ad
320-U1336B-5H-CC,M,92,M5b,,,R,,D,R,A,,,,,,,R,,,,,R,,R,,R,,,R,,A,,,,,,,,,,P,,,,,,,F,,,,,,P,R,R,,,320-U1336B-5H-CC,,,,,320,U1336,B,5,H,CC,,549718c5f1ecded2cbab859d75fac55d
320-U1336B-6H-CC,P,24,M4,,,,,D,R,R,A,,,,,,,,,,P,,R,,,R,R,,R,,F,,,,,,,,,,,,,,,,,F,,,,,R,,P,R,,,320-U1336B-6H-CC,,,,,320,U1336,B,6,H,CC,,2b09c8eb760ebb07432424c0f05b14b3
320-U1336B-7H-CC,M,40,M4,,,R,,D,R,R,A,F,,,,,,,,,,,,,,P,,,F,,A,,,,,,,,,,,,,,,,,P,,,,,,,,,,R,320-U1336B-7H-CC,,,,,320,U1336,B,7,H,CC,,84dd362d9629552d650a9dfeb379ae23
320-U1336B-8H-CC,M,84,M2-M3,R,,,,D,A,R,A,R,R,,,,,,,,,,,,,,,,F,,A,,,,,,,,,,P,,,,P,,,F,,,,,,,,,,,320-U1336B-8H-CC,,,,,320,U1336,B,8,H,CC,,e5c501306d5f0434d8e5f7282a64ef4f
320-U1336B-9H-CC,M,96,M2-M3,R,,R,,R,D,R,A,A,R,,,,R,,,,,,R,,,,,P,,P,A,,,,,,,,,,,,,,P,P,,F,,,,P,,,,,,,320-U1336B-9H-CC,,,,,320,U1336,B,9,H,CC,,f7341f21baa7caad30caf59070abeaf4
320-U1336B-10H-CC,M,89,M2-M3,R,,,,A,R,,A,A,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,P,,,F,,,,P,,,,,,,320-U1336B-10H-CC,,,,,320,U1336,B,10,H,CC,,e392525dbd5e4e2b9da49cc1626bd51d
320-U1336B-11H-CC,M,95,M2-M3,F,R,,,F,,,D,A,R,,,,,,,P,,,P,,,,,P,,P,A,,,,,,,,,,,,,,P,,,P,,,,P,F,,,,,,320-U1336B-11H-CC,,,,,320,U1336,B,11,H,CC,,7ace6c53992a35f37c2c1a3ab16974cc
320-U1336B-12H-CC,P,95,M1b,R,,F,,,,,A,R,A,,,,R,,,,,,,,,,R,,,,A,,,,,,,,,,,,,,R,,P,A,,,,P,F,,,,,,320-U1336B-12H-CC,,,,,320,U1336,B,12,H,CC,,7e44ab782eb59258dd838efa1855e04e
320-U1336B-13H-CC,P,78,M1b,R,,R,,A,,R,A,F,F,,,,,,,,,,,,,,R,P,R,P,A,,,,,,,,,,,,,,R,,P,F,,,,R,,,,,,,320-U1336B-13H-CC,,,,,320,U1336,B,13,H,CC,,10148b613d85b36b46411afb28ae0deb
