Exp,Site,Hole,Core,Section,interval (cm),Top Depth [m],Zone/Subzone,Preservation,Abundance (%),Catapsydrax dissimilis,Catapsydrax unicavus,Chiloguembelina cubensis,Dentoglobigerina altispira,Dentoglobigerina baroemoensis,Dentoglobigerina galavisi,Dentoglobigerina globularis,Dentoglobigerina larmeui,Dentoglobigerina pseudovenezuelana,Dentoglobigerina tripartita,Dentoglobigerina spp.,Globigerina angulisuturalis,Globigerina apertura,Globigerina ciperoensis,Globigerina praebulloides,Globigerina woodi,Globigerina spp.,Globigerinoides altiapertura,Globigerinoides bulloideus,Globigerinoides diminutus,Globigerinoides extremus,Globigerinoides immaturus,Globigerinoides mitra,Globigerinoides sacculifer,Globigerinoides seiglei,Globigerinoides triloba,Globigerinoides spp.,Globoquadrina binaiensis,Globoquadrina dehiscens,Globoquadrina euapertura,Globoquadrina praedehiscens,Globoquadrina rohri,Globoquadrina sellii,Globoquadrina tapurensis,Globoquadrina venezuelana,Globorotalia (Globoconella) panda,Globorotalia (Globoconella) praesctula,Globorotalia (Fohsella) fohsi fohsi,Globorotalia (Fohsella) fohsi lobata,Globorotalia (Fohsella) fohsi robusta,Globorotalia (Fohsella) “praefohsi”,Globorotalia (Fohsella) peripheroacuta,Globorotalia (Fohsella) peripheroronda,Globorotalia (Menardella) archaeomenardii,Globorotalia (Menardella) praemenardii,Globorotaloides hexagona,Globoturborotalita anguliofficinalis,Neogloboquadrina acostaensis,Orbulina bilobata,Orbulina universa,Paragloborotalia nana,Paragloborotalia opima,Paragloborotalia pseudocontuosa,Paragloborotalia pseudokugleri,Paragloborotalia semivera,Paragloborotalia siakensis/mayeri,Paragloborotalia kugleri,Praeorbulina circularis,Praeorbulina glomerosa,Praeorbulina sicana,Praeorbulina transitoria,Sphaeroidinellopsis disjuncta,Subbotina angiporoides,Subbotina spp.,Tenuitellinata angustiumbilicata,Tenuitella munda,Turborotalia ampliapertura,Turborotalia increbescans,Top [cm],Bottom [cm],Type,Bottom Depth [m],A/W,Sample,eodp_id
320,U1336,A,1,3,38-40,3.38,M9b/N12,G,>90,,,,P,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,P,P,P,,,,,,P,,,,,P,,,,,,P,,,,,,P,,,,,,,38,40,H,,,320-U1336A-1H-3-nan,e090335e659b20a30c5f845ad81b6794
320,U1336,A,1,5,38-40,6.38,M9b/N12,G,95,,,,P,,,,,,,,,P,,,,,P,,,,,,,,,,,,,,,,,P,,,P,P,P,,,,,,,,,P,P,,,,,,P,,,,,,P,,,,,,,38,40,H,,,320-U1336A-1H-5-nan,358daae6ef065f7b49811bdd32c55293
320,U1336,A,1,CC,,8.19,M8–M9b/N12,G,90,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,P,,,P,P,,,,,,P,,,P,,P,,,,,,P,,,,,,P,,,,,,,,,H,,,320-U1336A-1H-CC-nan,3d37b830b6a43f2561dd8c4f4d108ed9
320,U1336,A,2,CC,,17.68,M8–M9b/N12,G,>90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,P,,,P,,,,,P,,,,,,,,,,,,P,,,,P,,,,,H,,,320-U1336A-2H-CC-nan,f83e49ebc96b712ee018524c96c29ec2
320,U1336,A,3,2,38-40,19.38,M7/N11,M,95,,,,P,P,,,,,,,,,,,,,,,,,,,,,,,,P,,,P,,P,,,,,,,P,P,P,,,,,,,P,,,,,,P,,,,P,P,P,,,,,,,38,40,H,,,320-U1336A-3H-2-nan,03fa660784db32d85183f69b5d52a6eb
320,U1336,A,3,5,38-40,23.88,M7/N10,M,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,P,,,P,P,,,,,,P,,,P,,,,,P,,,,,,P,,,,P,,,,,,,,,38,40,H,,,320-U1336A-3H-5-nan,0beeeac99fd111a940894533bf9ae958
320,U1336,A,3,CC,,27.47,M6/N9,G,90,,,,P,,,,,,,,,,,,,,,,,,P,,,,,P,,,,,P,,,P,P,,,,,,,P,P,,,,,,,,,,,,P,,,,P,,,,,,,,,,,H,,,320-U1336A-3H-CC-nan,5730baa78f3610ecb8e6dc9f7bc1588e
320,U1336,A,4,3,38-40,30.38,M5b,M,90,,,,,P,,,,,,,,,,,P,,,,,,,,,,,P,,,,,P,,,,,,,,,,,P,,,,,,,,,,,,,P,,,P,P,,,,,,P,,,38,40,H,,,320-U1336A-4H-3-nan,375fc241e19481439dc893668b04ff7a
320,U1336,A,4,5,38-40,33.38,M5b,G,95,,,,,P,,,,,,,,,,,P,,,,,,,,,P,,,,,,,,,,,,,,,,,,P,,,P,,,,,,,,,,P,,P,P,P,,,,,,,,,38,40,H,,,320-U1336A-4H-5-nan,0ca9cb69e12fb295970f8765de86b3ce
320,U1336,A,4,CC,,36.20,M5b,G,98,,,,P,P,,,,,,,,,,,,,,,,,,P,,,P,,,,,,,,,,,,,,,,,P,P,,,,,,,,,,,,P,,,P,P,,,,,,P,,,,,H,,,320-U1336A-4H-CC-nan,f72583c4c857c6b448f91595b1b92967
