Exp,Site,Hole,Core,Type,Section,Top Depth [m],Bottom Depth [m],Preservation,Benthic abundance,Brizalina pygmaea,Brizalina earlandi,Bulimina aff. exilis,Bulimina sp.,Cancris cf. phillipinensis,Cassidulina sp.,Elphidium cf. batialis,Globobulimina pacifica,Globocassidulina sp.,Gyroidinoides soldanii,Islandiella norcrossi,Melonis barleanum,Nonionella labradorica,Nonionella turgida digitata,Uvigerina cf. peregrina,Valvulineria sp.,IRD,Other observations,Top [cm],Bottom [cm],A/W,Sample,eodp_id
323,U1340,C,1,H,CC,9.75,9.85,G,F,,R,P,,R,,,,,P,P,,P,,F,P,F,Quartz,,,,323-U1340C-1H-CC-nan,76f52136b9b37f257e05908dbee7be84
323,U1340,C,2,H,CC,19.47,19.57,G,A,,,,,F,F,,A,,,,F,F,,D,R,L,Abundant sponge spicules,,,,323-U1340C-2H-CC-nan,4ce25796d871d8a0771d05f57893259b
323,U1340,C,3,H,CC,28.98,29.08,G,A,A,F,D,,F,,R,,,F,,,F,P,,R,R,,,,,323-U1340C-3H-CC-nan,654ebe523fabc3495206a6f003f3ee09
