Sample,Top Depth [m],Bottom Depth [m],Radiolarian zone,Abundance,Preservation,Mixing,Acrocubus octopylus,Amphirhopalum ypsilon,Anthocyrtidium angulare,Anthocyrtidum pliocenica,Botryostrobus miralestensis,Calocycletta caepa,Calocycletta costata,Calocycletta robusta,Calocycletta virginis,Carpocanopsis cingulata,Carpocanopsis cristata,Centrobotris petrushevskayae,Collosphaera tuberosa,Cycladophora davisiana,Cyrtocapsella cornuta,Cyrtocapsella japonica,Cyrtocapsella tetrapera,Diartus hughesi,Diartus petterssoni,Didymocyrtis antipenultima,Didymocyrtis avita,Didymocyrtis bassanii,Didymocyrtis laticonus,Didymocyrtis mammifera,Didymocyrtis penultima,Didymocyrtis prismatica,Didymocyrtis tetratharamus,Didymocyrtis tubaria,Didymocyrtis violina,Dorcadospyris dentata,Dorcadospyris forcipata,Dorcadospyris praeforcipata,Dorcadospyris scambos,Eucyrtidium diaphanes,Lamaprocyrtis heteroporos,Lamaprocyrtis neoheteroporos,Liriospyris parkerae,Liriospyris stauropora,Lithopera neotera,Lithopera renzae,Lophocyrtis leptetrum,Lophocyrtis pegetrum,Lychnocanoma elongata,Lychnodictyum audax,Nephrospyris renila,Phormostichoartus doliolum,Phormostichoartus fistula,Pterocanium prismatium,Solenosphaera omnitubus,Spongaster berminghami,Spongaster pentas,Spongaster tetras tetras,Stichocorys armata,Stichocorys delmontensis,Stichocorys johnsoni,Stichocorys pergrina,Stichocorys wolffii,Stylatractus universus,Theocorythium trachelium,Theocorythium vetulum,Theocyrtis annosa,Top [cm],Bottom [cm],Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
321-U1337A-1H-CC,0.14,0.14,RN16–RN17,A,G,,,R,,,,,,,,,,,C,R,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,C,,,,,321,U1337,A,1,H,CC,,613b460be4c7fd835ee3924d356b9141
321-U1337A-2H-CC,15.44,15.44,RN13,C,G,,,F,R,,,,,,,,,,,F,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,R,,,,,,,C,,,,,,R,F,,,,,321,U1337,A,2,H,CC,,173476feb3403114973c4ff209c7bbb2
321-U1337A-3H-CC,24.91,24.91,RN13,A,G,,,F,R,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,R,,,,,,,C,,,,,,,C,F,,,,321,U1337,A,3,H,CC,,96b9d0303c506bf1d68026b3433650a5
321-U1337A-4H-CC,34.44,34.44,RN12,A,G,,,R,,,,,,,,,,,,R,,,,,,,,,,,,,C,,,,,,,,R,R,,,,,,,,,R,,,R,,,,F,,,,,,R,,F,,,,321,U1337,A,4,H,CC,,8b6d805c9c24741cbae4994d670a7823
321-U1337A-5H-CC,43.8,43.8,RN11b,A,M,,,R,,,,,,,,,,,,,,,,,,,R,,,,,,C,,,,,,,,R,,,,,,,,,,R,,,R,,,,F,,,,C,,R,,F,,,,321,U1337,A,5,H,CC,,adacee8a45b58f43b029cc1aea8dffb8
321-U1337A-6H-CC,53.45,53.45,RN11b,A,M,,,R,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,R,,,F,,,,R,,,,C,,R,,R,,,,321,U1337,A,6,H,CC,,80d4b01c04932bdf0318202959266f37
321-U1337A-7H-CC,62.86,62.86,RN10,A,M,,,R,,,,,,,,,,,,,,,,,,,R,,,,,,C,,,,,,,,,,,,,,,,,,R,R,,F,,,,R,,,,C,,,,R,,,,321,U1337,A,7,H,CC,,d1cb68152188d6b3cc4bc47c4a2d18c8
321-U1337A-8H-CC,71.55,71.55,RN10,A,M,,,,,R,,,,,,,,,,,,,,,,,R,,,,,,R,,,,,,,,,,,,,,,,,,,,R,R,,,,,,,,C,,,,R,,,,321,U1337,A,8,H,CC,,9746a83d669e4b929b652956c6e38332
321-U1337A-9H-CC,81.94,81.94,RN9,A,M,,,,,R,,,,,,,,,,,,,,,,,R,,,,R,,R,,,,,,,,,,,,,,,,,,,F,R,,,,R,,,,,C,,,,R,,,,321,U1337,A,9,H,CC,,75f62ce9e0deba1d72c99ebde2efe715
321-U1337A-10H-CC,91.53,91.53,RN9,C,M,,,,,R,,,,,,,,,,,,,,,,,,,,,R,,R,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,C,,R,,R,,,,321,U1337,A,10,H,CC,,5f876b28cf46457e5657166ed5458138
