Exp,Site,Hole,Core,Type,Section,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Abundance,Alabaminella weddellensis,Brizalina earlandi,Bulimina aff. exilis,Cassidulina laevigata var. carinata,Cassidulina sp.,Cassidulinoides tenuis,Cibicidoides sp.,Dentalina sp.,Elphidium cf. batialis,Fissurina sp,Fursenkoina sp.,Glandulina sp.,Globobulimina pacifica,Globocassidulina sp.,Gyroidinoides soldanii,Islandiella norcrossi,Melonis barleanum,Melonis pompilioides,Nodosaria aff. pyrula,Nodosaria spp.,Nonionella labradorica,Nonionella turgida,Nonionella turgida digitata,Oridorsalis umbonatus,Planulina wuellerstorfi,Pullenia bulloides,Pullenia sp.,Pyrgo sp.,Quinqueloculina sp.,Reophax dentaliniformis,Rhabdammina sp.,Saccammina sp.,Sphaeroidina bulloides,Triloculina cf. trihedra,Uvigerina auberiana,Uvigerina cf. peregrina,Valvulineria sp.,Cibicidoides mundulus,Oolina globosa?,Comments,A/W,Sample,eodp_id
323,U1344,A,1,H,1,0,0,0,0,G,R,,,,,,,,,,,,,P,,,R,,,,,,,,,,,,,,R,P,P,,,,,,,,DIATOMS,,323-U1344A-1H-1,91901c72c3509923c76c26327a6b1aa2
323,U1344,A,1,H,CC,4,14,9.04,9.14,G,A,,,R,,,,,,A,,,,R,,,,,,,,F,,P,,,,P,,,,,,,,F,,,,,MICA,,323-U1344A-1H-CC,6601882c6963256abf2dd21756ad1a40
323,U1344,A,2,H,CC,10,20,18.65,18.75,G,A,,,,,,,,,F,,,,F,,,,,R,,,R,F,P,,,,,,,,,,,,P,,R,,,"PYRITE FORAM CAST, TUBES",,323-U1344A-2H-CC,a4f60bd7d3374bfb8555e023872135af
323,U1344,A,3,H,CC,13,23,28.62,28.72,G,F,,,,,,,,,R,,,,,,,,,,,,P,P,,,P,,,R,R,,,,,R,P,,,,,PYRITE TUBES,,323-U1344A-3H-CC,4451d616c1d9e91ab3c24c47b18a493f
323,U1344,A,4,H,CC,28,38,38.12,38.22,M,F,,,,,,,,,P,,,,R,,,,,,,,F,,,,,,,,P,,,,,,,,F,,,PYRITE TUBES,,323-U1344A-4H-CC,86628c0964aa0eadc58846215b80f232
323,U1344,A,5,H,CC,44,54,47.51,47.61,G,R,,,P,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,P,,P,,,P,,,,,323-U1344A-5H-CC,4aa9aba5e7fd9d829c156cee243c5a69
323,U1344,A,6,H,CC,28,38,57.19,57.29,G,A,,,,,,,,,F,,,,R,,F,R,,F,,,P,R,,,,,,P,,,,,,,P,,,,,"PYR TUBES, WOOD",,323-U1344A-6H-CC,af96590d92097e6a0f7b7fb1db646d1a
323,U1344,A,7,H,CC,56,66,66.58,66.68,M,A,,,R,,,,,,,,F,P,F,,,,,,,,P,A,,,R,,P,,P,,,,,,,,,,,"PYRITE TUBES, ORANGE FORAMS",,323-U1344A-7H-CC,2316f10cb2434837ae98b5abcb4f6c0a
323,U1344,A,8,H,CC,50,60,75.22,75.32,M,A,,,,,,,,,,,,,A,,,,,,,,R,,,,,,P,,P,,,,,,,,,,,"PYR TUBES, WOOD",,323-U1344A-8H-CC,db2d71af1f8526b195746617e328ac44
323,U1344,A,9,H,CC,59,69,85.11,85.21,G,R,,,,,,,,,,P,,,R,,,,,,,,,,,,P,,P,,,,,,,,,,P,,,PYRITE,,323-U1344A-9H-CC,b6d6e375fe59d09b6cba792a864bec4f
323,U1344,A,10,H,CC,41,51,95.09,95.19,M,R,,,,,,,,,R,,R,,R,,,,,,,,,,,,,,,,P,,,,,P,P,,R,,,"PYRITE, FEW YELLOW FORAMS",,323-U1344A-10H-CC,7bcd4ead7be82aefca2312a52554b12d
323,U1344,A,11,H,CC,38,48,104.36,104.46,M,A,,,,,,,,,,P,,,A,,R,,,,,,,P,,,P,,,,,,,,,,,R,R,,,PYRITE,,323-U1344A-11H-CC,cf09c76ce42133025ade97b31c17a3d4
323,U1344,A,12,H,CC,23,33,113.86,113.96,M,D,,,,,,R,,,D,,,,R,,,,,R,,,R,,,,,,,,,,,,,,P,,P,,,"PYRITE, YELLOW FORAMS",,323-U1344A-12H-CC,2f3a1f7d936a230281fa0b20ad74639f
323,U1344,A,13,H,CC,37,47,123.39,123.49,G,F,,,F,,,F,,,P,,,,,,P,,,P,,,,,,,R,,,,,,,,,,,,R,,,"PYRITE, MICA",,323-U1344A-13H-CC,faf30f737b3d5f16936d8e32bd68eca0
323,U1344,A,14,H,CC,32,42,132.79,132.89,G,A,P,,A,,,,,,A,,,,,,,,,,,,P,,,,R,,,,,,,,,,R,,P,,,PYRITE,,323-U1344A-14H-CC,281236c50dc7d9740895b19b5795f1a0
323,U1344,A,15,H,CC,10,20,142.35,142.45,M,R,,,R,,,,,,R,,,,R,,,,,,,,,,,,,,,,,,,,,,R,,,,,"pyrite, yellow forams",,323-U1344A-15H-CC,afe2a51c8c6437c8e5dc4b70565ab9f8
323,U1344,A,16,H,CC,27,37,152.13,152.23,M,D,,,,,,P,,,D,,,,R,,R,,,,,,R,,,,R,,,P,P,,,,,,R,,P,,,PYRITE,,323-U1344A-16H-CC,c707d522ec0f719c51487a4042fb2b78
323,U1344,A,17,H,CC,16,26,161.17,161.27,G,F,,,,,,,,,F,,,,,,,,,,,,,,,,P,,,,,,,,,,P,,,,,"PYR TUBES, MICA",,323-U1344A-17H-CC,8723f49d8743e6e7409099add99f8f83
323,U1344,A,18,H,CC,26,36,171.24,171.34,M,F,,,P,,,,,,R,,,,R,,,,,,,,,,,,,,,,,,,,,,P,P,P,,,"PYR TUBES, MICA, RARE GLAUCONITE",,323-U1344A-18H-CC,96f7c4e08ae2d30557ba837e3d53fc21
323,U1344,A,19,H,CC,42,52,180.07,180.17,G,F,,,,,,,,,R,,,,,,,,,F,P,,,,,,,F,,R,,,,,,,,,P,,,"PYR TUBES, MICA",,323-U1344A-19H-CC,a56e1ab4bf60c4842f3c20479b8f5518
