Leg,Site,H,Age Model Type           ,Depth (mbsf),    Age (Ma),Control Point Comment
,,,,,,
,,,,,,
,,,,,,
130, 803,D,Initial Reports          ,      17.600,    1.880000,Olduvai (O)
,,,,,,
130, 803,D,Initial Reports          ,      36.500,    3.180000,Mammoth (O)
,,,,,,
130, 803,D,Initial Reports          ,      69.850,    5.000000,LO D. quinqueramus (N)
,,,,,,
130, 803,D,Initial Reports          ,     174.350,    8.700000,LO D. hamatus (N)
,,,,,,
130, 803,D,Initial Reports          ,     239.150,   14.900000,FO G. peripheroacuta (F)
,,,,,,
130, 803,D,Initial Reports          ,     244.390,   15.400000,Young side hiatus
,,,,,,
130, 803,D,Initial Reports          ,     244.400,   19.500000,Old side hiatus
,,,,,,
130, 803,D,Initial Reports          ,     246.600,   19.500000,LO T. carinatus (N)
,,,,,,
130, 803,D,Initial Reports          ,     255.480,   20.000000,FO S. belemnos (N)
,,,,,,
130, 803,D,Initial Reports          ,     255.490,   20.000000,Young side hiatus
,,,,,,
130, 803,D,Initial Reports          ,     255.500,   21.799999,Old side hiatus
,,,,,,
130, 803,D,Initial Reports          ,     260.300,   21.799999,LO G. kugleri (F)
,,,,,,
130, 803,D,Initial Reports          ,     317.850,   23.700001,FO G. kugleri (F)
,,,,,,
130, 803,D,Initial Reports          ,     346.800,   28.200001,LO G. opima (F)
,,,,,,
130, 803,D,Initial Reports          ,     519.950,   34.900002,LO E. formosa (N)
,,,,,,
130, 803,D,Initial Reports          ,     585.900,   40.000000,LO C. grandis (N)
,,,,,,
130, 803,D,Initial Reports          ,     606.700,   42.900002,FO D. hesslandii (N)
,,,,,,
130, 803,D,Initial Reports          ,     621.800,   45.009998,130 803D 67R CC
,,,,,,
