Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Uvigerina senticosa	Sphaeroidina spp.	Rutherfordoides sp. A	Oridorsalis tener	Melonis pompilioides	Lagenid taxa	Gyroidinoides planulatus	Gyroidinoides altiformis	Gyroidina spp.	Globobulimina pacifica	Eggerella bradyi	Cibicides spp.	Cibicides kullenbergi	Bulimina inflata	Sphaeroidina bulloides	Cibicidoides sp. A	Stainforthia rotunda	Stainforthia complanata	Eponides turgida	Bolivina seminuda	Rosalina cf. R. columbiensis	Pullenia salisburyi	Pullenia quinqueloba	Pullenia bulloides	Miliolina spp.	Melonis barleeanus	Gyroidina quinqueloba	Globocassidulina spp.	Globobulimina affinis	Epistominella sp. B	Epistominella sp. A	Cibicidoides wuellerstorfi	Chilostomella oolina	Valvulineria sp. A	Miliammina sp. A	Lenticulina spp.	Spirosigmoilinella spp.	Pyrgo murrhina	Cassidulinoides spp.	Bolivina spp.	Bolivina pacifica	Valvulineria laevigata	Triloculina spp.	Nonionella stella	Buliminella tenuata	Uvigerina dirupta	Reussella sp. A	Hoeglundina elegans	Cassidulina cushmani	Bulimina rostrata	Saccammina sp. A	Ammodiscus sp. A	Comment



  IR	                 	                 	                  	              	139	 855	A	  1	R	 1	   0.00	      0.0000	Brunner  	Benthic Foraminifers                         	A              	                  	+                  	                 	                     	                 	                    	            	                        	                        	              	                      	                	              	                     	                	                      	                  	                    	                       	                	                 	                            	                   	                    	+                 	              	                  	                     	                     	+                    	                   	                   	+                         	+                   	+                 	                	                	                       	+             	                    	             	                 	                      	                	                 	                   	+                	               	+                  	+                   	                 	+               	+               	from ODP Leg 139 IR; Chapter 5; Tables 4 & 5; pp. 114-118

  IR	                 	                 	                  	              	139	 855	A	  1	R	CC	   6.00	      6.9600	Brunner  	Benthic Foraminifers                         	A              	M                 	+                  	                 	                     	                 	                    	+           	                        	                        	+             	                      	                	              	+                    	+               	                      	                  	                    	                       	                	                 	                            	                   	+                   	+                 	              	                  	                     	                     	+                    	                   	                   	                          	                    	+                 	                	                	                       	+             	                    	             	+                	+                     	                	                 	                   	+                	+              	+                  	+                   	+                	                	                	from ODP Leg 139 IR; Chapter 5; Tables 4 & 5; pp. 114-118

  IR	                 	                 	                  	              	139	 855	A	  2	R	CC	  14.00	     14.7700	Brunner  	Benthic Foraminifers                         	A              	M                 	                   	                 	                     	                 	+                   	+           	+                       	                        	              	+                     	                	              	+                    	                	+                     	+                 	                    	                       	                	                 	                            	+                  	                    	+                 	              	                  	                     	+                    	+                    	                   	                   	                          	+                   	                  	                	                	                       	              	                    	             	                 	+                     	+               	+                	+                  	                 	               	                   	                    	                 	                	                	from ODP Leg 139 IR; Chapter 5; Tables 4 & 5; pp. 114-118

  IR	                 	                 	                  	              	139	 855	A	  3	R	CC	   0.00	     21.4300	Brunner  	Benthic Foraminifers                         	A              	M                 	+                  	                 	+                    	                 	+                   	            	+                       	                        	+             	                      	                	              	                     	                	                      	                  	+                   	+                      	+               	                 	                            	                   	                    	                  	              	                  	+                    	                     	                     	                   	                   	                          	+                   	+                 	                	                	+                      	+             	+                   	+            	+                	                      	                	                 	                   	                 	               	                   	                    	                 	                	                	from ODP Leg 139 IR; Chapter 5; Tables 4 & 5; pp. 114-118
