Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Neogloboquadrina pachyderma (sinistral),Turborotalita quinqueloba,Neogloboquadrina pachyderma (dextral),Globigerinita glutinata,Globigerina clarkei,Globigerina bulloides,Globorotalia scitula,Globigerinita uvula uvula,Globigerinita uvula minuta,Globigerina bulloides umbilicata,Orbulina universa,Globigerina falconensis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Holocene         ,                  ,CD1           ,169,1035,A,  1,H, 1,   0.00,      0.0000,Brunner  ,Planktonic Foraminifers                      ,R              ,P                 ,                                       ,                         ,                                     ,                       ,                   ,R                    ,                    ,                         ,                          ,                                ,                 ,                       ,"Core top with much orange stain, oxidized iron sulfides, sponge spicules, diatoms, radiolarians, agglutinated foraminifers, very rare planktonic foraminifers."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Holocene         ,                  ,CD1           ,169,1035,A,  1,H, 1,  34.00,      0.3400,Brunner  ,Planktonic Foraminifers                      ,A              ,M                 ,C                                      ,                         ,F                                    ,                       ,                   ,C                    ,R                   ,                         ,R                         ,                                ,                 ,F                      ,"Planktonic foraminifers dominate the sample, with common benthonic foraminifers and rare siliceous fossils."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,CD1           ,169,1035,A,  1,H, 1,  86.00,      0.8600,Brunner  ,Planktonic Foraminifers                      ,A              ,M                 ,C                                      ,                         ,R                                    ,R                      ,                   ,A                    ,R                   ,R                        ,R                         ,C                               ,R                ,                       ,"Planktonic foraminifers dominate the sand with few benthonic foraminifers and common pyrite, and green clay lumps in the fine fraction 63-150 microns"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,CD2           ,169,1035,A,  1,H, 2,   0.00,      1.5000,Brunner  ,Planktonic Foraminifers                      ,C              ,M                 ,C                                      ,R                        ,R                                    ,R                      ,                   ,C                    ,R                   ,R                        ,R                         ,R                               ,                 ,                       ,Planktonic foraminifers dominate the sand size fraction. Calcareous benthonic foraminifers are quite rare as are diatoms and sponge spicules. Abundant mineral grains in the fine sand fraction.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,CD2           ,169,1035,A,  2,H,CC,  25.00,     17.4200,Brunner  ,Planktonic Foraminifers                      ,A              ,G                 ,C                                      ,F                        ,                                     ,                       ,                   ,C                    ,                    ,                         ,                          ,                                ,                 ,                       ,"Planktonic foraminifers dominate the sand size material, with common calcareous benthonic foraminifers"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,CD2           ,169,1035,A,  3,H, 1, 103.00,     18.0300,Brunner  ,Planktonic Foraminifers                      ,A              ,M                 ,C                                      ,R                        ,R                                    ,R                      ,                   ,C                    ,R                   ,R                        ,R                         ,F                               ,                 ,                       ,Planktonic foraminifers dominate the sand size fraction.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,CD2           ,169,1035,A,  3,H, 2,  92.00,     19.4200,Brunner  ,Planktonic Foraminifers                      ,F              ,P                 ,A                                      ,R                        ,R                                    ,R                      ,                   ,C                    ,                    ,R                        ,                          ,                                ,                 ,                       ,"Mineral grains dominate. Almost no sand size material in 10 cc sample. One benthonic foraminifer, Sphaeroidina bulloides."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,CD2           ,169,1035,A,  3,H, 3,  93.00,     20.9300,Brunner  ,Planktonic Foraminifers                      ,F              ,M                 ,C                                      ,R                        ,                                     ,R                      ,                   ,C                    ,R                   ,                         ,                          ,                                ,                 ,                       ,"Planktonic foraminifers dominate sand size fraction, but there is very little sand size material. There are few mineral grains and a few benthonic foraminifers."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,169,1035,A,  3,H, 7,  11.00,     26.1100,Brunner  ,Planktonic Foraminifers                      ,F              ,P                 ,A                                      ,R                        ,R                                    ,R                      ,R                  ,R                    ,                    ,                         ,                          ,                                ,                 ,                       ,"Mineral grains dominate, sulfides"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,169,1035,A,  4,H,CC,  34.00,     36.4700,Brunner  ,Planktonic Foraminifers                      ,R              ,P                 ,R                                      ,                         ,                                     ,                       ,                   ,                     ,                    ,                         ,                          ,                                ,                 ,                       ,"Mineral grains dominate, sulfide grains; pyritized tubes, Chilostomella, and one planktonic foraminifer. The sample is NOT indurated."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
