Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Pseudoemiliania lacunosa,Discoaster brouweri,Coccolithus pelagicus,Calcidiscus leptoporus,Helicosphaera sellii,Calcidiscus macintyrei (>11 um),Helicosphaera carteri,Gephyrocapsa oceanica s.l.,Gephyrocapsa (small),Gephyrocapsa sp. 3,Emiliania huxleyi,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN15              ,              ,167,1018,C,  1,H,CC,  11.00,      6.5200,Fornaciari,Nannofossils                                 ,F/C            ,M                 ,                        ,                   ,F                    ,                      ,                    ,                               ,                     ,F                         ,C                   ,                  ,+                ,from IR. Ch 12. Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN15              ,              ,167,1018,C,  2,H,CC,  19.00,     16.3200,Fornaciari,Nannofossils                                 ,F              ,M                 ,                        ,                   ,F                    ,                      ,                    ,                               ,                     ,                          ,C                   ,                  ,+                ,from IR. Ch 12. Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN15              ,              ,167,1018,C,  3,H,CC,  16.00,     25.8400,Fornaciari,Nannofossils                                 ,C              ,M/G               ,                        ,                   ,F                    ,                      ,                    ,                               ,R                    ,R                         ,C                   ,                  ,+                ,from IR. Ch 12. Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN14b             ,CN15          ,167,1018,C,  4,H,CC,  29.00,     35.7500,Fornaciari,Nannofossils                                 ,F/C            ,M                 ,                        ,                   ,F/C                  ,R                     ,                    ,                               ,R                    ,R                         ,C                   ,                  ,                 ,from IR. Ch 12. Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN14b             ,CN15          ,167,1018,C,  7,H,CC,  25.00,     64.3000,Fornaciari,Nannofossils                                 ,C              ,M/G               ,                        ,                   ,F                    ,                      ,                    ,                               ,                     ,C                         ,A                   ,                  ,                 ,from IR. Ch 12. Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN14b             ,CN15          ,167,1018,C,  8,H,CC,  19.00,     69.7200,Fornaciari,Nannofossils                                 ,R/F            ,P                 ,                        ,                   ,R                    ,                      ,                    ,                               ,                     ,R                         ,C                   ,                  ,                 ,from IR. Ch 12. Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN14b             ,CN15          ,167,1018,C,  9,H,CC,  25.00,     78.3900,Fornaciari,Nannofossils                                 ,F              ,P                 ,                        ,                   ,                     ,RR                    ,                    ,                               ,                     ,R                         ,+                   ,RR                ,                 ,from IR. Ch 12. Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
