Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Heterohelix sp.,Globotruncana arca,Globotruncanita sp.,Gansserina wiedenmayeri,Archaeoglobigerina blowi,Rugoglobigerina hexacamerata,Globotruncana ventricosa,Globotruncana bulloides,Gansserina gansseri,Rugoglobigerina sp.,Hedbergella sp.,Globigerinelloides alvarezi,Archaeoglobigerina cretacea,Rugoglobigerina rugosa,Pseudoguembelina costulata,Heterohelix globulosa,Globotruncana lapparenti,Globigerinelloides messinae,Archaeoglobigerina sp.,Archaeoglobigerina sp. cf. A. blowi,Globotruncanita sp. cf. G. stuartiformis,Globotruncana sp. cf. G. arca,Contusotruncana plummerae,Globotruncana orientalis,Globigerinelloides prairiehillensis,Heterohelix punctulata,Globotruncana sp. cf. G. rosetta,Rugoglobigerina rotundata,Globotruncanita stuartiformis,Rugoglobigerina macrocephala,Globotruncanita pettersi,Globotruncana rosetta,Pseudotextularia elegans,Globigerinelloides sp.,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,G. gansseri       ,              ,144, 875,C,  1,M, 1,   0.00,      0.0000,Erba     ,Planktonic Foraminifers                      ,               ,                  ,1              ,                  ,                   ,                       ,                        ,                            ,                        ,                       ,                   ,1                  ,               ,                           ,                           ,                      ,                          ,                     ,                        ,                           ,                      ,                                   ,                                        ,                             ,                         ,                        ,                                   ,                      ,                                ,                         ,                             ,                            ,                        ,                     ,                        ,                      ,from ODP LEG 144 SR; Ch 8; T6; p 164
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,G. gansseri       ,              ,144, 875,C,  1,M, 1,  34.00,      0.3400,Erba     ,Planktonic Foraminifers                      ,               ,                  ,1              ,                  ,                   ,                       ,                        ,                            ,                        ,                       ,                   ,1                  ,               ,                           ,                           ,                      ,                          ,                     ,                        ,                           ,1                     ,                                   ,                                        ,                             ,                         ,                        ,                                   ,                      ,                                ,                         ,                             ,                            ,                        ,                     ,1                       ,1                     ,from ODP LEG 144 SR; Ch 8; T6; p 164
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,G. gansseri       ,              ,144, 875,C,  2,M, 1,  61.00,     10.1100,Erba     ,Planktonic Foraminifers                      ,               ,                  ,1              ,                  ,                   ,                       ,                        ,                            ,                        ,                       ,                   ,1                  ,               ,                           ,                           ,                      ,                          ,                     ,                        ,                           ,1                     ,                                   ,                                        ,                             ,                         ,                        ,                                   ,                      ,                                ,                         ,                             ,                            ,                        ,                     ,                        ,                      ,from ODP LEG 144 SR; Ch 8; T6; p 164
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,G. gansseri       ,              ,144, 875,C,  4,M, 1,   2.00,     27.1200,Erba     ,Planktonic Foraminifers                      ,               ,                  ,               ,                  ,                   ,                       ,                        ,                            ,                        ,                       ,                   ,                   ,               ,                           ,                           ,1                     ,                          ,                     ,                        ,                           ,                      ,                                   ,                                        ,1                            ,                         ,                        ,                                   ,                      ,                                ,                         ,                             ,                            ,                        ,?                    ,                        ,                      ,from ODP LEG 144 SR; Ch 8; T6; p 164
