Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Ceratolithus cristatus,Amaurolithus delicatus,Sphenolithus moriformis,Sphenolithus heteromorphus,Reticulofenestra sp. (<5 microns),Helicosphaera kamptneri,Discoaster sp.,Discoaster deflandrei,Cyclicargolithus floridanus,Cyclicargolithus abisectus,Coccolithus pelagicus,Helicosphaera euphratis,Pontosphaera sp.,Reticulofenestra sp.,Discoaster variabilis,Calcidiscus leptoporus,Sphenolithus sp.,Discoaster lenticularis,Discoaster challengeri,Discoaster aulakos,Dictyococcites sp.,Sphenolithus abies/neoabies,Discoaster quinqueramus,Discoaster pentaradiatus,Triquetrorhabdulus rugosus,Helicosphaera sp.,Discoaster triradiatus,Discoaster surculus,Discoaster sp. (6-rayed),Discoaster intercalaris,Discoaster berggrenii,Calcidiscus macintyrei,Amaurolithus sp.,Discoaster neorectus,Semihololithus sp. ,Hayaster perplexus,Amaurolithus tricorniculatus,Discoaster sp. (9-rayed),Discoaster calcaris,Scyphosphaera sp.,Reticulofenestra pseudoumbilica (>7microns),Pontosphaera sp (large),Discoaster brouweri,Ceratolithus sp.,Pseudoemiliania lacunosa,Dictyococcites bisectus,Rhabdosphaera sp.,Syracosphaera pulchra,Rhabdosphaera clavigera,Discoaster sp. (5-rayed),Discoaster tamalis,Oolithotus fragilis,Umbilicosphaera mirabilis,Pontosphaera discopora,Gephyrocapsa spp. small (<3.5 microns),Pontosphaera japonica,Gephyrocapsa oceanica (4-5.5 microns)  ,Coccolithus sp.,Micrantholithus sp.,Scapholithus fossilis,Reticulofenestra sp. (5-7 microns),Helicosphaera inversa,Ceratolithus rugosus,Helicosphaera sellii,Pontosphaera multipora,Ceratolithus acutus,Ceratolithus telesmus,Ceratolithus simplex,Catinaster umbrellus,Gephyrocapsa spp. large (>5.5 microns),Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Pleistocene,                 ,CN14b             ,              ,134, 832,B,  7,R, 1,  56.00,    202.7600,Staerker ,Nannofossils                                 ,R              ,E                 ,R                     ,rR                    ,                       ,                          ,                                 ,C                      ,rC            ,                     ,                           ,                          ,R                    ,                       ,S               ,R                   ,rS                   ,C                     ,                ,                       ,                      ,                  ,                  ,rC                         ,rS                     ,rS                      ,                          ,                 ,                      ,rS                 ,                        ,                       ,                     ,                      ,                ,                    ,                   ,                  ,                            ,                        ,                   ,                 ,                                           ,                       ,rS                 ,R               ,rR                      ,                       ,                 ,C                    ,S                      ,                        ,rR                ,                   ,C                        ,S                     ,V                                     ,S                    ,C                                      ,               ,                   ,S                    ,                                  ,                     ,                    ,                    ,                      ,                   ,                     ,                    ,                    ,                                      ,from ODP Leg 134 SR Chapter 10 Table 7 pp 212-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Pleistocene,                 ,CN14b             ,              ,134, 832,B,  8,R, 1,  46.00,    212.3600,Staerker ,Nannofossils                                 ,R              ,E                 ,R                     ,                      ,                       ,                          ,                                 ,C                      ,rS            ,                     ,                           ,                          ,R                    ,                       ,S               ,R                   ,rS                   ,C                     ,                ,                       ,                      ,                  ,                  ,rS                         ,rS                     ,rS                      ,                          ,                 ,rR                    ,rR                 ,                        ,                       ,                     ,                      ,                ,                    ,                   ,                  ,                            ,                        ,                   ,                 ,                                           ,                       ,rS                 ,R               ,rR                      ,                       ,                 ,C                    ,S                      ,                        ,rR                ,                   ,C                        ,S                     ,V                                     ,S                    ,A                                      ,               ,                   ,S                    ,                                  ,                     ,                    ,                    ,                      ,                   ,                     ,                    ,                    ,                                      ,from ODP Leg 134 SR Chapter 10 Table 7 pp 212-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Pleistocene,                 ,CN14b             ,              ,134, 832,B,  9,R, 2,  75.00,    223.6500,Staerker ,Nannofossils                                 ,R              ,E                 ,R                     ,                      ,                       ,                          ,                                 ,C                      ,rS            ,                     ,                           ,                          ,R                    ,                       ,S               ,                    ,rS                   ,C                     ,                ,                       ,                      ,                  ,                  ,rC                         ,rS                     ,rS                      ,                          ,                 ,                      ,rR                 ,                        ,                       ,                     ,                      ,                ,                    ,                   ,                  ,                            ,                        ,                   ,                 ,                                           ,                       ,rS                 ,R               ,rR                      ,                       ,                 ,C                    ,S                      ,                        ,                  ,                   ,C                        ,S                     ,C                                     ,S                    ,C                                      ,               ,                   ,R                    ,                                  ,R                    ,                    ,                    ,                      ,                   ,                     ,                    ,                    ,                                      ,from ODP Leg 134 SR Chapter 10 Table 7 pp 212-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Pleistocene,                 ,CN14b             ,              ,134, 832,B, 13,R, 1,  96.00,    260.9600,Staerker ,Nannofossils                                 ,R              ,E                 ,R                     ,                      ,                       ,                          ,                                 ,C                      ,rS            ,                     ,                           ,                          ,R                    ,                       ,S               ,R                   ,rS                   ,C                     ,                ,                       ,                      ,                  ,                  ,rC                         ,rS                     ,rS                      ,                          ,                 ,                      ,rR                 ,                        ,                       ,                     ,                      ,                ,                    ,                   ,                  ,                            ,                        ,                   ,                 ,                                           ,                       ,rS                 ,R               ,rR                      ,                       ,                 ,C                    ,S                      ,                        ,                  ,                   ,C                        ,S                     ,C                                     ,S                    ,C                                      ,               ,                   ,R                    ,                                  ,R                    ,                    ,                    ,                      ,                   ,                     ,                    ,                    ,                                      ,from ODP Leg 134 SR Chapter 10 Table 7 pp 212-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Pleistocene,                 ,CN14b             ,              ,134, 832,B, 14,R, 1,  71.00,    270.4100,Staerker ,Nannofossils                                 ,R              ,E                 ,R                     ,                      ,                       ,                          ,                                 ,C                      ,rS            ,                     ,                           ,                          ,R                    ,                       ,S               ,R                   ,rS                   ,C                     ,                ,                       ,                      ,                  ,                  ,rS                         ,rS                     ,rS                      ,                          ,                 ,                      ,rR                 ,                        ,                       ,                     ,                      ,                ,                    ,                   ,                  ,                            ,                        ,                   ,                 ,                                           ,                       ,rS                 ,R               ,rR                      ,                       ,                 ,C                    ,S                      ,                        ,                  ,                   ,C                        ,S                     ,C                                     ,S                    ,C                                      ,               ,                   ,R                    ,                                  ,R                    ,                    ,                    ,                      ,                   ,                     ,                    ,                    ,                                      ,from ODP Leg 134 SR Chapter 10 Table 7 pp 212-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Pleistocene,                 ,CN14b             ,              ,134, 832,B, 15,R, 1,  27.00,    279.6700,Staerker ,Nannofossils                                 ,R              ,E                 ,R                     ,                      ,                       ,                          ,                                 ,C                      ,rS            ,                     ,                           ,                          ,R                    ,                       ,S               ,R                   ,rS                   ,C                     ,                ,                       ,                      ,                  ,                  ,rS                         ,rS                     ,rS                      ,                          ,                 ,                      ,rR                 ,                        ,                       ,                     ,                      ,                ,                    ,                   ,                  ,                            ,                        ,                   ,                 ,                                           ,                       ,rS                 ,R               ,rR                      ,                       ,                 ,C                    ,S                      ,                        ,                  ,                   ,C                        ,S                     ,C                                     ,S                    ,C                                      ,               ,                   ,R                    ,                                  ,R                    ,                    ,                    ,                      ,                   ,                     ,                    ,                    ,                                      ,from ODP Leg 134 SR Chapter 10 Table 7 pp 212-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Pleistocene,                 ,CN14b             ,              ,134, 832,B, 16,R, 2,  10.00,    290.6000,Staerker ,Nannofossils                                 ,R              ,E                 ,R                     ,                      ,                       ,                          ,                                 ,C                      ,rS            ,                     ,                           ,                          ,R                    ,                       ,S               ,                    ,rS                   ,C                     ,                ,                       ,                      ,                  ,                  ,rS                         ,rS                     ,rS                      ,                          ,                 ,                      ,rR                 ,                        ,                       ,                     ,                      ,                ,                    ,                   ,                  ,                            ,                        ,                   ,                 ,                                           ,                       ,rS                 ,R               ,rR                      ,                       ,                 ,C                    ,S                      ,                        ,                  ,                   ,C                        ,S                     ,C                                     ,S                    ,C                                      ,               ,                   ,R                    ,                                  ,R                    ,                    ,                    ,                      ,                   ,                     ,                    ,                    ,                                      ,from ODP Leg 134 SR Chapter 10 Table 7 pp 212-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Pleistocene,                 ,CN14b             ,              ,134, 832,B, 17,R, 1,  75.00,    299.4500,Staerker ,Nannofossils                                 ,R              ,E                 ,R                     ,                      ,                       ,                          ,                                 ,C                      ,rS            ,                     ,                           ,                          ,R                    ,                       ,S               ,                    ,rS                   ,C                     ,                ,                       ,                      ,                  ,                  ,rS                         ,rS                     ,rS                      ,                          ,                 ,                      ,rR                 ,                        ,                       ,                     ,                      ,                ,                    ,                   ,                  ,                            ,                        ,                   ,                 ,                                           ,                       ,rS                 ,R               ,rR                      ,                       ,                 ,C                    ,S                      ,                        ,                  ,                   ,C                        ,S                     ,C                                     ,S                    ,S                                      ,               ,                   ,R                    ,                                  ,R                    ,                    ,                    ,                      ,                   ,                     ,                    ,                    ,                                      ,from ODP Leg 134 SR Chapter 10 Table 7 pp 212-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Pleistocene,                 ,CN14b             ,              ,134, 832,B, 17,R, 3,  76.00,    300.9600,Staerker ,Nannofossils                                 ,R              ,E                 ,R                     ,                      ,                       ,                          ,                                 ,C                      ,rC            ,                     ,                           ,                          ,R                    ,                       ,R               ,                    ,                     ,C                     ,                ,                       ,                      ,                  ,                  ,rS                         ,rR                     ,rR                      ,                          ,                 ,                      ,                   ,                        ,                       ,                     ,                      ,                ,                    ,                   ,                  ,                            ,                        ,                   ,                 ,                                           ,                       ,rR                 ,R               ,                        ,                       ,                 ,S                    ,S                      ,                        ,                  ,                   ,C                        ,S                     ,C                                     ,S                    ,S                                      ,               ,                   ,R                    ,                                  ,R                    ,                    ,                    ,                      ,                   ,                     ,                    ,                    ,                                      ,from ODP Leg 134 SR Chapter 10 Table 7 pp 212-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Pleistocene,                 ,CN14b             ,              ,134, 832,B, 18,R, 1,  84.00,    309.2400,Staerker ,Nannofossils                                 ,R              ,E                 ,R                     ,                      ,                       ,                          ,                                 ,C                      ,rS            ,                     ,                           ,                          ,R                    ,                       ,R               ,                    ,                     ,C                     ,                ,                       ,                      ,                  ,                  ,rC                         ,rR                     ,rR                      ,                          ,                 ,                      ,                   ,                        ,                       ,                     ,                      ,                ,                    ,                   ,                  ,                            ,                        ,                   ,                 ,                                           ,                       ,rR                 ,R               ,rS                      ,                       ,                 ,S                    ,S                      ,                        ,                  ,                   ,C                        ,S                     ,C                                     ,S                    ,S                                      ,               ,                   ,R                    ,                                  ,R                    ,                    ,                    ,                      ,                   ,                     ,                    ,                    ,                                      ,from ODP Leg 134 SR Chapter 10 Table 7 pp 212-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Pleistocene,                 ,CN14b             ,              ,134, 832,B, 18,R, 3,  33.00,    311.5700,Staerker ,Nannofossils                                 ,R              ,E                 ,R                     ,                      ,                       ,                          ,                                 ,C                      ,rC            ,                     ,                           ,                          ,R                    ,                       ,R               ,                    ,                     ,C                     ,                ,                       ,                      ,                  ,                  ,rC                         ,rR                     ,rR                      ,                          ,                 ,                      ,                   ,                        ,                       ,                     ,                      ,                ,                    ,                   ,                  ,                            ,                        ,                   ,                 ,                                           ,                       ,rS                 ,R               ,rC                      ,                       ,                 ,C                    ,S                      ,                        ,                  ,                   ,C                        ,S                     ,C                                     ,S                    ,S                                      ,               ,                   ,R                    ,                                  ,R                    ,                    ,                    ,                      ,                   ,                     ,                    ,                    ,                                      ,from ODP Leg 134 SR Chapter 10 Table 7 pp 212-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Pleistocene,                 ,CN14b             ,              ,134, 832,B, 19,R, 1, 120.00,    319.3000,Staerker ,Nannofossils                                 ,R              ,E                 ,R                     ,                      ,                       ,                          ,                                 ,C                      ,rC            ,                     ,                           ,                          ,R                    ,                       ,R               ,                    ,                     ,C                     ,                ,                       ,                      ,                  ,                  ,rC                         ,rR                     ,rR                      ,                          ,                 ,                      ,                   ,                        ,                       ,                     ,                      ,                ,                    ,                   ,                  ,                            ,                        ,                   ,                 ,                                           ,                       ,rS                 ,R               ,                        ,                       ,                 ,C                    ,S                      ,                        ,                  ,                   ,C                        ,S                     ,C                                     ,S                    ,S                                      ,               ,                   ,R                    ,                                  ,R                    ,                    ,                    ,                      ,                   ,                     ,                    ,                    ,R                                     ,from ODP Leg 134 SR Chapter 10 Table 7 pp 212-215
