Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group	Group Abundance	Group Preservation	Thalassiosira spp.	Thalassionema nitzschioides var. nitzschioides	Skeletonema costatum	Silicoflagellates (all taxa)	Roperia tesselata	Pseudosolenia calcar-avis	Neodelphineis pelagica	Ditylum brightwelli	Coscinodiscus spp.	Chaetoceros spp. (resting spores)	Bacteriastrum comosum	Aulacoseira granulata/islandica	Actinoptychus vulgaris	Actinoptychus senarius	Actinocyclus octonarius var. tenella	Actinocyclus curvatulus	Z Actiniscus pentasterias	Thalassiothrix spp. (incl. Lioloma)	Rhizosolenia setigera/pungens	Pseudoeunotia doliolus	Nitzschia reinholdii	Cyclotella spp.	Azpeitia nodulifera	"other Freshwater (Achnanthes; Fragilaria, etc.)"	Rhizosolenia styliformis	Nitzschia fossilis	Coscinodiscus plicatus	Asteromphalus spp.	Actinocyclus octonarius	non-planktonic diatoms	Thalassionema hirosakiensis	Actinocyclus ellipticus	Azpeitia neocrenulata	Stephanopyxis spore (apiculata)	Rhizosolenia bergonii	Hemidiscus cuneiformis	"Rhizosolenia ""Imbricatae"""	X Phytoliths diff. shapes	Thalassionema nitzschioides  var. parva	Cyclotella litoralis	Stephanopyxis palmeriana	Coscinodiscus radiatus	Pseudotriceratium punctatum	Nitzschia marina	Paralia sulcata	Nitzschia bicapitata	Cyclotella stylorum	Azpeitia tabularis	Porosira denticulata	Stephanodiscus astraea	Comment



  IR				NTD 17	175	1077	A	1	H	CC	13	4.93	Lange	Diatoms	A	M	9	64		1				4		67		4								+		38	+	1					2	3										3							1			1	area counted= 0.45 mm2 a slide= 484 mm2 *setae

  IR				NTD 17	175	1077	A	2	H	CC	18	10.78	Lange	Diatoms	A	G	13	33	2	2						71		3		1		2		1	2	3		35		4	1			1											7	3		1					+			2	a counted = 0.47 mm2 a slide= 484 mm2 *setae *T. punctigera (angstii)

  IR				NTD 17	175	1077	A	3	H	CC	16	24.09	Lange	Diatoms	A	MG	12	257	10	2	+					201	2	2								2		14		1					1	1	1							+	1			1							1		a counted= 1.37 mm2 a slide= 484 mm2 *setae radic. *pyrite inside diatoms

  IR				NTD 17	175	1077	A	4	H	CC	18	33.85	Lange	Diatoms	C	M	7	115	103	5	1	1				43		2	2					1	1	2		23		3				1	1	2	3				1				3						1	1	6	1			a counted= 1.37 mm2 a slide= 484 mm2

  IR				NTD 17	175	1077	A	5	H	CC	23	43.39	Lange	Diatoms	A	M	7	76		2			2			47	1	1				1				1		49		1						1													+	1							a counted= 0.68 mm2 a slide 484 mm2 * pyrite in diats

  IR				NTD 17	175	1077	A	6	H	CC	19	52.93	Lange	Diatoms	A	M	9	132	3	1		1		1		102	2	5				2				1		7		1				1		2									7			1									a counted= 0.96 mm2 a slide= 484 mm2 *RS seiracanthus

  IR				NTD 17	175	1077	A	7	H	CC	31	62.55	Lange	Diatoms	C	MP	11	132		3		1				55	1	1										6						1										+	6												a counted= 1.82 mm2 a slide= 484 mm2 *pyrite inside Thalassionema *Chrysophyte cysts

