Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Valvulineria welcomensis,Stichocassidulina thalmanni,Oridorsalis umbonatus,Nodosaria longiscata,Nodogenerina sp.,Hopkinsina sp. cf. U. danvillensis Howe & Wallace,Gyroidina octocamerata,Globocassidulina subglobosa,Globocassidulina globosa,Globobulimina pseudovata,Glandulina laevigata,Eponides sp. cf. E. minima,Buliminella peruviana,Buliminella chirana,Bulimina peruviana,Bulimina chirana,Bolivinellina sp.,Bolivinellina basisenta,Bolivina maculata,Bathysiphon eocenica,Anomalina chirana,Alabamina atlantisae,Vaginulina sp.,Uvigerina ecuadorensis,Unilocular species,Robulus sp.,Pleurostomella sp.,Globobulimina sp. cf. oregonensis,Fursenkoina sp.,Cibicidoides sp. cf. C.havanensis,Cibicidoides sp. cf. C.grimsdalei,Brizalina sp. cf. B. jacksonensis,Bolivina sp. cf. B. ignara,Asterigerina crassaformis,Quinqueloculina sp. cf. Q. naheolensis,Pullenia duplicata,Plectofrondicularia volkesi,Nuttallides truempyi,Dorothia principensis,Cyclammina simiensis,Cibicidoides sp.,Cibicides sp. cf. C.martinezensis,Chilostomella serrata,Buliminella mirifica,Bulimina stalacta,Bolivina chirana,Anomalinoides mantaensis,Parrelloides bradyi,Globocassidulina sp.,Bulimina truncanella,Vulvulina sp.,Uvigerina sp. cf. U.postica,Uvigerina rustica,Spirolocammina tenuis,Siphonodosaria paucistriata,Pullenia bulloides,Plectofrondicularia sp.,Nuttallides sp. cf. P. decorata,Nodosaria sp. cf. D.consobrina Orbigny,Nodogenerina spp.,Melonis pompilioides,Melonis affinis,Martinottiella cyclostomata,Hansenisca soldanii,Hansenisca altiformis,Cibicidoides trinitatensis,Cibicidoides kullenbergi,Bulimina translucens,Bulimina striata,Bulimina alazanensis,Brizalina sp. cf. B. gladius,Bolivina sp. ex. gr. B. vaughani,Anomalinoides pompiloides,Amphimorphina stainforthi,Uvigerina mantaensis,Sphaeroidina bulloides,Rotorbinella sp. cf. garveyensis,Planulina renzi,Osangularia culter,Nodogenerina spinea,Hansenisca zealandica,Gyroidina turgida,Globocassidulina subglobosa horizontalis,Bolivina decussata,Alabamina polita,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,                  ,              ,112, 683,B,  3,X,CC,  24.00,    424.7400,Resig    ,Benthic Foraminifers                         ,               ,                  ,                        ,                           ,17                   ,1                   ,                ,                                                 ,                      ,                           ,                        ,                        ,                    ,                          ,                     ,                   ,                  ,                ,                 ,                       ,                 ,                    ,                 ,                    ,              ,                      ,2                 ,           ,                  ,                                 ,               ,                                 ,                                 ,                                 ,                          ,                         ,                                      ,                  ,                           ,                    ,                     ,                    ,                ,                                 ,                     ,                    ,                 ,                ,                        ,3                  ,                    ,                    ,             ,                           ,1                ,1                    ,1                          ,3                 ,                       ,                               ,                                      ,                 ,3                   ,5              ,2                          ,5                  ,1                    ,                          ,7                       ,3                   ,2               ,9                   ,                            ,4                               ,1                        ,3                        ,2                   ,3                     ,2                               ,1              ,3                 ,2                  ,4                    ,4                ,1                                       ,2                 ,1               ,count=179 from ODP Leg 112 SR Chapter 16 Table 7 p 285
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,                  ,              ,112, 683,B,  5,X,CC,  29.00,    444.1600,Resig    ,Benthic Foraminifers                         ,               ,                  ,                        ,                           ,2                    ,22                  ,                ,                                                 ,                      ,                           ,                        ,                        ,                    ,                          ,                     ,                   ,                  ,                ,                 ,                       ,                 ,                    ,                 ,                    ,              ,                      ,4                 ,           ,                  ,                                 ,               ,                                 ,                                 ,                                 ,                          ,                         ,                                      ,                  ,                           ,                    ,                     ,                    ,                ,                                 ,                     ,                    ,                 ,                ,                        ,3                  ,                    ,                    ,1            ,2                          ,1                ,2                    ,1                          ,2                 ,2                      ,14                             ,2                                     ,7                ,1                   ,3              ,1                          ,5                  ,1                    ,2                         ,3                       ,2                   ,1               ,1                   ,4                           ,6                               ,2                        ,3                        ,                    ,                      ,                                ,               ,                  ,                   ,                     ,                 ,                                        ,                  ,                ,count=106 from ODP Leg 112 SR Chapter 16 Table 7 p 285
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,                  ,              ,112, 683,B,  7,X, 3,  26.00,    462.7600,Resig    ,Benthic Foraminifers                         ,               ,                  ,                        ,5                          ,T                    ,5                   ,4               ,                                                 ,1                     ,                           ,7                       ,                        ,                    ,                          ,11                   ,1                  ,T                 ,3               ,4                ,10                     ,6                ,                    ,                 ,4                   ,              ,1                     ,                  ,2          ,                  ,                                 ,               ,                                 ,                                 ,                                 ,                          ,                         ,                                      ,T                 ,                           ,                    ,                     ,                    ,                ,                                 ,                     ,26                  ,                 ,                ,1                       ,T                  ,2                   ,6                   ,             ,                           ,                 ,                     ,                           ,                  ,                       ,                               ,                                      ,                 ,                    ,               ,                           ,                   ,                     ,                          ,                        ,                    ,                ,                    ,                            ,                                ,                         ,                         ,                    ,                      ,                                ,               ,                  ,                   ,                     ,                 ,                                        ,                  ,                ,count=499 from ODP Leg 112 SR Chapter 16 Table 7 p 286
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,                  ,              ,112, 683,B,  7,X,CC,  24.00,    463.1100,Resig    ,Benthic Foraminifers                         ,               ,                  ,T                       ,15                         ,                     ,T                   ,1               ,                                                 ,3                     ,                           ,T                       ,T                       ,T                   ,                          ,21                   ,                   ,T                 ,9               ,5                ,17                     ,T                ,T                   ,                 ,                    ,              ,4                     ,                  ,           ,                  ,                                 ,               ,                                 ,                                 ,                                 ,                          ,                         ,T                                     ,T                 ,T                          ,T                   ,T                    ,T                   ,3               ,T                                ,T                    ,17                  ,1                ,1               ,T                       ,                   ,                    ,                    ,             ,                           ,                 ,                     ,                           ,                  ,                       ,                               ,                                      ,                 ,                    ,               ,                           ,                   ,                     ,                          ,                        ,                    ,                ,                    ,                            ,                                ,                         ,                         ,                    ,                      ,                                ,               ,                  ,                   ,                     ,                 ,                                        ,                  ,                ,count=1312 from ODP Leg 112 SR Chapter 16 Table 7 p 286
