Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Cyprideis pannonica,Comment
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,                  ,              ,160, 967,A, 13,H, 4, 109.00,    119.3900,Spezzaferri,Ostracodes                                   ,               ,                  ,+                  ,Pliocene forms present. Paratethian ostracods present. from Leg 160SR Ch 2 Table 5.
,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,                  ,              ,160, 967,A, 13,H, 5, 103.00,    120.8300,Spezzaferri,Ostracodes                                   ,               ,                  ,+                  ,Dwarf forms present. Pliocene forms present. from Leg 160SR Ch 2 Table 5.
,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,                  ,              ,160, 967,A, 13,H, 6,  24.00,    121.5400,Spezzaferri,Ostracodes                                   ,               ,                  ,R                  ,Terrigenous grains abundant. Pliocene forms present. from Leg 160SR Ch 2 Table 5.
,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,                  ,              ,160, 967,A, 13,H, 6, 117.00,    122.4700,Spezzaferri,Ostracodes                                   ,               ,                  ,+                  ,Terrigenous gains rare. Pliocene forms abundant. from Leg 160SR Ch 2 Table 5.
,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,                  ,              ,160, 967,A, 13,H, 7,  12.00,    122.9200,Spezzaferri,Ostracodes                                   ,               ,                  ,A                  ,Pliocene forms present. from Leg 160SR Ch 2 Table 5.
,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,                  ,              ,160, 967,A, 13,H, 7,  29.00,    123.0900,Spezzaferri,Ostracodes                                   ,               ,                  ,+                  ,Pliocene forms present. from Leg 160SR Ch 2 Table 5.
,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,                  ,              ,160, 967,A, 14,X, 1,  50.00,    123.8000,Spezzaferri,Ostracodes                                   ,               ,                  ,C                  ,Pliocene forms very rare. from Leg 160SR Ch 2 Table 5.
,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,                  ,              ,160, 967,A, 14,X, 2,  21.00,    125.0100,Spezzaferri,Ostracodes                                   ,               ,                  ,C                  ,Pliocene forms rare. from Leg 160SR Ch 2 Table 5.
,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,                  ,              ,160, 967,A, 14,X, 2, 114.00,    125.9400,Spezzaferri,Ostracodes                                   ,               ,                  ,+                  ,from Leg 160SR Ch 2 Table 5.
,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,                  ,              ,160, 967,A, 14,X, 3,  40.00,    126.7000,Spezzaferri,Ostracodes                                   ,               ,                  ,+                  ,from Leg 160SR Ch 2 Table 5.
,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,                  ,              ,160, 967,A, 14,X, 4,  14.00,    127.9400,Spezzaferri,Ostracodes                                   ,               ,                  ,+                  ,Pliocene forms very rare. from Leg 160SR Ch 2 Table 5.
,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,                  ,              ,160, 967,A, 15,X, 1, 131.00,    130.4100,Spezzaferri,Ostracodes                                   ,               ,                  ,+                  ,from Leg 160SR Ch 2 Table 5.
,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,                  ,              ,160, 967,A, 15,X, 4,   6.00,    133.6600,Spezzaferri,Ostracodes                                   ,               ,                  ,+                  ,Pliocene forms rare. Dwarf forms present. from Leg 160SR Ch 2 Table 5.
,,,,,,,,,,,,,,,,,,
