Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Uvigerina senticosa,Triloculina sp. A,Textularia sp. A,Stainforthia complanata,Pullenia salisburyi,Pullenia bulloides,Oridorsalis tener,Nonionella labradorica,Nonionella digitata,Melonis pompilioides,Melonis barleeanus,Lagenid taxa,Karreriella sp. A,Gyroidina sp. A,Globobulimina affinis,Cibicides wuellerstorfi,Chilostomellina frimbriata,Chilostomella oolina,Buliminella elegantissima,Bolivina pacifica,Agglutinated spp. (indeterminate),Valvulineria spp.,Valvulineria laevigata,Valvulineria inaequalis,Uvigerina dirupta,Pyrgo murrhina,Gyroidinoides planulatus,Globocassidulina spp.,Globobulimina ovula,Eponides turgida,Bulimina cf. B. inflata,Bolivina seminuda,Bolivina aliformis,Uvigerina hispida,Sphaeroidina bulloides,Saccammina sp. A,Hormosina sp. A,Eggerella spp.,Cribrostomoides sp. A,Ammodiscus sp. A,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 858,C,  1,H, 1,   0.00,      0.0000,Brunner  ,Benthic Foraminifers                         ,C              ,                  ,+                  ,                 ,                ,                       ,+                  ,                  ,                 ,                      ,                   ,                    ,+                 ,            ,+                ,+              ,                     ,                       ,                          ,                    ,                         ,                 ,+                                ,                 ,                      ,                       ,                 ,+             ,                        ,                     ,+                  ,+               ,                       ,+                ,                  ,+                ,+                     ,+               ,+              ,+             ,+                    ,+               ,from ODP Leg 139 IR; Chapter 8; Tables 6 & 8; p 460-463 + 466
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 858,C,  1,H,CC,  12.00,      3.4800,Brunner  ,Benthic Foraminifers                         ,C              ,                  ,+                  ,+                ,                ,+                      ,                   ,                  ,+                ,                      ,                   ,+                   ,+                 ,+           ,                 ,+              ,+                    ,+                      ,                          ,+                   ,                         ,+                ,                                 ,+                ,+                     ,+                      ,+                ,+             ,+                       ,+                    ,+                  ,+               ,+                      ,+                ,+                 ,                 ,                      ,                ,               ,              ,                     ,                ,from ODP Leg 139 IR; Chapter 8; Tables 6 & 8; p 460-463 + 466
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 858,C,  2,H,CC,  18.00,     13.1300,Brunner  ,Benthic Foraminifers                         ,A              ,                  ,+                  ,+                ,+               ,+                      ,+                  ,+                 ,+                ,+                     ,+                  ,+                   ,+                 ,+           ,+                ,+              ,+                    ,+                      ,+                         ,+                   ,+                        ,+                ,+                                ,                 ,                      ,                       ,                 ,              ,                        ,                     ,                   ,                ,                       ,                 ,                  ,                 ,                      ,                ,               ,              ,                     ,                ,from ODP Leg 139 IR; Chapter 8; Tables 6 & 8; p 460-463 + 466
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
