Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Amaurolithus spp.,Reticulofenestra pseudoumbilicus,Discoaster pentaradiatus,Sphenolithus spp.,Calcidiscus macintyrei (>11 um),Amaurolithus primus,Discoaster brouweri,Discoaster surculus,Pseudoemiliania lacunosa,Ceratolithus acutus,Helicosphaera sellii,Discoaster tamalis,Ceratolithus spp.,Helicosphaera carteri,Discoaster asymmetricus,Coccolithus pelagicus,Calcidiscus leptoporus,Gephyrocapsa oceanica s.l.,Gephyrocapsa (small),Ceratolithus telesmus,Gephyrocapsa sp. 3,Emiliania huxleyi,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN15              ,              ,167,1016,A,  1,H,CC,  13.00,      7.4900,Fornaciari,Nannofossils                                 ,C              ,P                 ,                 ,                                ,                        ,                 ,                               ,                   ,                   ,                   ,                        ,                   ,                    ,                  ,R                ,F                    ,                       ,F                    ,R                     ,+                         ,F/C                 ,                     ,F/C               ,+                ,from IR. Ch 10. Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN14b             ,CN15          ,167,1016,A,  2,H, 6, 100.00,     16.1000,Fornaciari,Nannofossils                                 ,F              ,P                 ,                 ,                                ,                        ,                 ,                               ,                   ,                   ,                   ,                        ,                   ,                    ,                  ,                 ,                     ,                       ,                     ,                      ,                          ,+                   ,                     ,                  ,                 ,from IR. Ch 10. Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN14b             ,CN15          ,167,1016,A,  2,H,CC,  29.00,     17.4900,Fornaciari,Nannofossils                                 ,C              ,M/G               ,                 ,                                ,                        ,                 ,                               ,                   ,                   ,                   ,                        ,                   ,                    ,                  ,R                ,R                    ,                       ,F                    ,R                     ,R                         ,C/A                 ,                     ,                  ,                 ,from IR. Ch 10. Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN14b             ,CN15          ,167,1016,A,  3,H, 1,  95.00,     18.0500,Fornaciari,Nannofossils                                 ,RR             ,P                 ,                 ,                                ,                        ,                 ,                               ,                   ,                   ,                   ,                        ,                   ,                    ,                  ,                 ,                     ,                       ,C                    ,                      ,                          ,                    ,                     ,                  ,                 ,from IR. Ch 10. Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN14b             ,CN15          ,167,1016,A,  3,H, 2,  95.00,     19.5500,Fornaciari,Nannofossils                                 ,RR             ,P                 ,                 ,                                ,                        ,                 ,                               ,                   ,                   ,                   ,                        ,                   ,                    ,                  ,                 ,                     ,                       ,                     ,                      ,+                         ,                    ,                     ,                  ,                 ,from IR. Ch 10. Table 5.
