Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Neogloboquadrina pachyderma (sinistral),Comment
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,178,1102,C,  2,R,CC,   0.00,      4.0000,Osterman ,Planktonic Foraminifers                      ,F              ,M                 ,R                                      ,       
,,,,,,,,,,,,,,,,,,
