Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Stichocorys johnsoni	Stichocorys delmontensis	Solenosphaera omnitubus omnitubus	Siphostichartus corona	Diartus hughesi	Calocycletta caepa	Botryostrobus miralestensis	Stichocorys peregrina	Theocorythium vetulum	Stylatractus universus	Spongaster tetras	Pterocanium prismatium	Phormostichoartus fistula	Phormostichoartus doliolum	Lychnodictyum audax	Didymocyrtis penultima	Anthocyrtidium pliocenica	Anthocyrtidium jenghisi	Amphirhopalum ypsilon	Theocorythium trachelium trachelium	Lamprocyrtis heteroporos	Theocalyptra davisiana	Lamprocyrtis neoheteroporos	Comment



  SR	                 	                 	P prismat.(RN12)SWSR	              	138	 848	C	  4	H	 1	  60.00	     25.1000	Moore    	Radiolarians                                 	A              	G                 	                    	                        	                                 	                      	               	                  	                           	                     	F                    	R                     	R                	R                     	                         	                          	                   	                      	                         	-                      	R                    	-                                  	R                       	R                     	R                          	from ODP Leg 138 SR Chapter 11 Fig 5 pp 206-207

  SR	                 	                 	P prismat.(RN12)SWSR	              	138	 848	C	  4	H	 2	  60.00	     26.6000	Moore    	Radiolarians                                 	A              	G                 	                    	                        	                                 	                      	               	                  	                           	rT                   	R                    	R                     	R                	R                     	                         	                          	                   	                      	                         	R                      	R                    	-                                  	R                       	R                     	-                          	from ODP Leg 138 SR Chapter 11 Fig 5 pp 206-207

  SR	                 	                 	A. jenghisi M95   	              	138	 848	C	  4	H	 3	  60.00	     28.1000	Moore    	Radiolarians                                 	A              	G                 	                    	                        	                                 	                      	               	                  	                           	C                    	F                    	R                     	R                	R                     	                         	                          	                   	                      	                         	R                      	R                    	-                                  	R                       	-                     	-                          	from ODP Leg 138 SR Chapter 11 Fig 5 pp 206-207

  SR	                 	                 	A. jenghisi M95   	              	138	 848	C	  4	H	 4	  60.00	     29.6000	Moore    	Radiolarians                                 	A              	G                 	                    	                        	                                 	                      	               	                  	                           	C                    	F                    	R                     	R                	R                     	                         	                          	                   	                      	-                        	R                      	R                    	-                                  	R                       	                      	                           	from ODP Leg 138 SR Chapter 11 Fig 5 pp 206-207

  SR	                 	                 	A. jenghisi M95   	              	138	 848	C	  4	H	 5	  60.00	     31.1000	Moore    	Radiolarians                                 	A              	G                 	                    	                        	                                 	                      	               	                  	                           	C                    	F                    	R                     	R                	R                     	-                        	                          	                   	                      	-                        	R                      	R                    	R                                  	                        	                      	                           	Uncertain identity of T. trachelium; from ODP Leg 138 SR Chapter 11 Fig 5 pp 206-207

  SR	                 	                 	A. jenghisi M95   	              	138	 848	C	  4	H	 5	 130.00	     31.8000	Moore    	Radiolarians                                 	A              	G                 	                    	                        	                                 	                      	               	                  	                           	C                    	F                    	R                     	R                	R                     	-                        	                          	                   	                      	-                        	R                      	R                    	-                                  	                        	                      	                           	from ODP Leg 138 SR Chapter 11 Fig 5 pp 206-207

