Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Pontosphaera spp.,Coccolithus pelagicus,Calcidiscus macintyrei,Calcidiscus leptoporus,Reticulofenestra minutula,Pseudoemiliania lacunosa,Gephyrocapsa spp. (small),Gephyrocapsa muellerae,Gephyrocapsa caribbeanica,Gephyrocapsa oceanica,Syracosphaera pulchra,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1032,A,  1,R, 1, 110.00,    185.6000,Su       ,Nannofossils                                 ,A              ,M-G               ,                 ,F                    ,                      ,                      ,                         ,?                       ,R                        ,R                     ,F                        ,T                    ,R                    ,from unpublished FOSSILIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1032,A,  2,R, 1,  39.00,    194.4900,Su       ,Nannofossils                                 ,C              ,P-M               ,                 ,T                    ,                      ,                      ,                         ,F                       ,A                        ,C                     ,                         ,T                    ,                     ,from unpublished FOSSILIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1032,A,  2,R, 2,  20.00,    195.8000,Su       ,Nannofossils                                 ,R              ,P-M               ,                 ,C                    ,                      ,                      ,                         ,F                       ,                         ,F                     ,                         ,                     ,                     ,from unpublished FOSSILIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1032,A,  2,R,CC,   8.00,    196.4700,Su       ,Nannofossils                                 ,A              ,M-G               ,                 ,R                    ,                      ,                      ,                         ,A                       ,F                        ,C                     ,                         ,                     ,                     ,from unpublished FOSSILIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1032,A,  3,R, 1,  50.00,    204.2000,Su       ,Nannofossils                                 ,R              ,M                 ,                 ,R                    ,                      ,                      ,                         ,R                       ,D                        ,F                     ,                         ,R                    ,                     ,from unpublished FOSSILIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1032,A,  4,R,CC,   3.00,    213.3300,Su       ,Nannofossils                                 ,R              ,M                 ,                 ,A                    ,                      ,                      ,                         ,T                       ,C                        ,F                     ,                         ,                     ,                     ,from unpublished FOSSILIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1032,A,  5,R, 1, 105.00,    223.9500,Su       ,Nannofossils                                 ,C              ,M                 ,                 ,C                    ,                      ,                      ,                         ,R                       ,A                        ,R                     ,                         ,                     ,                     ,from unpublished FOSSILIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
