Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Amaurolithus spp.	Reticulofenestra pseudoumbilicus	Calcidiscus macintyrei (>11 um)	Discoaster surculus	Sphenolithus spp.	Discoaster pentaradiatus	Coccolithus pelagicus	Ceratolithus spp.	Ceratolithus acutus	Pseudoemiliania lacunosa	Discoaster triradiatus	Calcidiscus leptoporus	Helicosphaera sellii	Discoaster brouweri	Discoaster tamalis	Ceratolithus telesmus	Ceratolithus rugosus	Helicosphaera carteri	Gephyrocapsa oceanica s.l.	Gephyrocapsa large	Gephyrocapsa (small)	Gephyrocapsa sp. 3	Emiliania huxleyi	Comment



  IR	                 	                 	CN15              	              	167	1014	A	  1	H	CC	   8.00	      3.0800	Fornaciari	Nannofossils                                 	A              	G                 	                 	                                	                               	                   	                 	                        	                     	                 	                   	                        	                      	R                     	                    	                   	                  	                     	                    	C                    	C                         	                  	A                   	                  	+                	from IR. Ch 8. Table 5.

  IR	                 	                 	CN14b             	CN15          	167	1014	A	  2	H	CC	  20.00	     13.1200	Fornaciari	Nannofossils                                 	A              	G                 	                 	                                	                               	                   	                 	                        	F                    	R                	                   	                        	                      	                      	                    	                   	                  	                     	                    	C                    	+                         	                  	C                   	+                 	                 	from IR. Ch 8. Table 5.

  IR	                 	                 	CN14b             	CN15          	167	1014	A	  4	H	CC	  20.00	     31.9400	Fornaciari	Nannofossils                                 	F/C            	G                 	                 	                                	                               	                   	                 	                        	C                    	                 	                   	                        	                      	R                     	                    	                   	                  	                     	                    	                     	+                         	                  	                    	                  	                 	from IR. Ch 8. Table 5.

  IR	                 	                 	CN14a             	              	167	1014	A	  5	H	CC	  19.00	     41.3700	Fornaciari	Nannofossils                                 	A              	G                 	                 	                                	                               	                   	                 	                        	                     	                 	                   	C                       	                      	F                     	                    	                   	                  	                     	                    	F                    	+                         	                  	A                   	                  	                 	from IR. Ch 8. Table 5.

  IR	                 	                 	CN14a             	              	167	1014	A	  6	H	 1	   0.00	     41.1000	Fornaciari	Nannofossils                                 	A              	G                 	                 	                                	                               	                   	                 	                        	F                    	                 	                   	C                       	                      	R                     	                    	                   	                  	                     	                    	                     	+                         	                  	                    	                  	                 	from IR. Ch 8. Table 5.

  IR	                 	                 	CN14a             	              	167	1014	A	  6	H	CC	  21.00	     49.4700	Fornaciari	Nannofossils                                 	C/A            	M                 	                 	                                	                               	                   	                 	                        	C                    	                 	                   	                        	                      	R                     	                    	                   	                  	                     	                    	                     	                          	                  	A                   	F                 	                 	from IR. Ch 8. Table 5.

  IR	                 	                 	CN13b             	              	167	1014	A	  7	X	CC	  20.00	     54.0700	Fornaciari	Nannofossils                                 	A              	G                 	                 	                                	                               	                   	                 	                        	C                    	                 	                   	C                       	                      	                      	                    	                   	                  	                     	                    	+                    	                          	                  	D                   	                  	                 	from IR. Ch 8. Table 5.

