Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Orbulina universa	Neogloboquadrina asanoi	Globigerinoides ruber	Globigerinita glutinata	Globigerina bulloides	Neogloboquadrina sp. "rounded"	Globigerina umbilicata	Neogloboquadrina pachyderma (dextral)	Globorotalia tumida	Globorotalia crassaformis	Globorotalia cf. Gr. conoidea	Sphaeroidinellopsis seminulina	Neogloboquadrina humerosa	Globorotalia puncticulata	Globorotalia inflata	Globorotalia scitula	Sphaeroidinella dehiscens	Globigerina apertura	Globigerina quinqueloba	Neogloboquadrina pachyderma (sinistral)	Globorotalia tosaensis	Globorotalia hirsuta	Neogloboquadrina dutertrei	Globorotalia truncatulinoides	Globigerinoides conglobatus	Comment



  IR	                 	                 	N22               	N23           	167	1014	A	  1	H	CC	   8.00	      3.0800	Kennett  	Planktonic Foraminifers                      	A              	G                 	F                	                       	                     	                       	A                    	                              	                      	                                     	                   	                         	                             	                              	                         	                         	                    	F                   	                         	                    	A                      	A                                      	                      	                    	C                         	R                            	                           	from IR. Ch 8. Table 3.

  IR	                 	                 	N22               	N23           	167	1014	A	  2	H	CC	  20.00	     13.1200	Kennett  	Planktonic Foraminifers                      	A              	G                 	F                	                       	F                    	                       	A                    	                              	                      	A                                    	                   	                         	                             	                              	                         	                         	A                   	F                   	                         	                    	                       	                                       	                      	                    	A                         	F                            	R                          	from IR. Ch 8. Table 3.

  IR	                 	                 	N22               	N23           	167	1014	A	  3	H	CC	  20.00	     22.2900	Kennett  	Planktonic Foraminifers                      	A              	G                 	F                	                       	R                    	                       	A                    	                              	                      	C                                    	                   	                         	                             	                              	                         	                         	R                   	                    	                         	                    	                       	A                                      	                      	                    	                          	                             	                           	from IR. Ch 8. Table 3.

  IR	                 	                 	N22               	N23           	167	1014	A	  4	H	CC	  20.00	     31.9400	Kennett  	Planktonic Foraminifers                      	A              	G                 	                 	                       	                     	                       	A                    	                              	                      	F                                    	                   	                         	                             	                              	                         	                         	R                   	                    	                         	                    	A                      	A                                      	                      	                    	                          	                             	                           	from IR. Ch 8. Table 3.

  IR	                 	                 	N22               	N23           	167	1014	A	  5	H	CC	  19.00	     41.3700	Kennett  	Planktonic Foraminifers                      	C/A            	M                 	                 	                       	                     	                       	A                    	                              	                      	                                     	                   	                         	                             	                              	                         	                         	R                   	                    	                         	                    	                       	A                                      	                      	                    	R                         	                             	                           	from IR. Ch 8. Table 3.

  IR	                 	                 	N22               	N23           	167	1014	A	  6	H	CC	  21.00	     49.4700	Kennett  	Planktonic Foraminifers                      	A              	G                 	R                	                       	                     	                       	A                    	                              	                      	                                     	                   	R                        	                             	                              	                         	                         	C                   	R                   	                         	R                   	                       	A                                      	                      	                    	F                         	                             	                           	from IR. Ch 8. Table 3.

