Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Triceratium schultzii	Stephanopyxis turris intermedia	Stephanopyxis tunis var. cylindrus	Stephanopyxis sp.	Sceptroneis sp.	Rhizosolenia cretacea	Pterotheca kittoniana	Paralia sulcata	Hemiaulus ? velatus	Hemiaulus sp. 2	Hemiaulus sp. 1	Hemiaulus rossicus	Hemiaulus peripterus	Grunowiella palaeocaenica var. alternans	Grunowiella gemmata	Goniothecium spp.	Coscinodiscus argus	Xanthiopyxis sp. aff. X.structuralis	Xanthiopyxis sp.	Trinacria senta	Trinacria deciusii	Stellarima primalabiata	Sphynctolethus hemiauloides	Sceptroneis sp. 1	Hemiaulus polymorphus var. charkovianus	Hemiaulus incisus	Grunowiella palaeocaenica var. palaeocaenica	Ethmodiscus sp. (fragments)	? Hemiaulus sp. 4	? Hemiaulus oonkii	? Hemiaulus beatus	Trinacria aries	Pterotheca evermanni	Pseudopodosira simplex	Coscinodiscus cruxii	Stellarima microtrias	Pterotheca clavata	Hemiaulus sp.	Diatom gen. et sp. indet. 1	Trinacria pileolus	Trinacria conifera	Sceptroneis ligulatus	Hemiaulus sp. aff. H.grassus	Coscinodiscus bulliens	Acanthodiscus spp.	? Hemiaulus sp.	Trinacria sp.	Stephanopyxis marginata	Pterotheca aculeifera	Pseudopodosira bella	Odontotropis sp.	Acanthosphaeridium reticulatum	Xanthiopyxis sp. 2	Trochosira sp.	Trochosira marginata	Trinacria simulacroides	Stephanopyxis sp. 1	Rhizosolenia hebetata var.	Pseudostictodiscus angulatus	Pseudopyxilla russica	Eunotogramma spp.	Stephanopyxis sp. 2	Hyalodiscus ambiguus	Hemiaulus ? ciesielskii	Hemiaulus sp. F (Harwood 1988)	Anaulus spp.	Hemiaulus sp. 3	Hemiaulus fragilis	Arachnoidiscus spp.	Pseudopyxilla tempereana	Trochosira radiata	Hemiaulus sp. aff. H.speciosus	Triceratium mirabile	Stephanopyxis schulzii	Stephanopyxis discrepans	Hyalodiscus sp.	Hemiaulus subacutus	Hemiaulus kristofferseni	Trochosira sp. aff. T.mirabilis	Trochosira gracillima	Coscinodiscus uralensis	Hemiaulus sp. 5	Hemiaulus nocchiae	Hemiaulus inequilaterus	? Chaetaceros clavigerus	Hemiaulus elegans var. intermedia	Triceratium gombosii	Hemiaulus altus	Odontotropis cristata	Hyalodiscus sp. (oval)	Hemiaulus inaequilaterus var.	Triceratium cellulosum	? Hemiaulus fragilis	Hemiaulus sp. 4	Pseudostictodiscus sp.	Hemiaulus ?  conicus	Hemiaulus incurvus	Coscinodiscus sp.	Pterotheca aculeifera var. spinosa	Melosira sp. 1	Hemiaulus affinis	Trinacria excavata	Pterotheca sp. 1	Comment



  SR	                 	                 	                  	              	114	 700	B	 26	R	 1	  40.00	    238.4000	Fenner   	Diatoms                                      	               	                  	                     	                               	                                  	                 	               	                     	                     	               	                   	               	               	                  	                    	                                        	                   	                 	                   	                                    	                	               	                  	                       	                           	                 	                                       	                 	                                            	                           	                 	                  	                  	               	                    	                      	                    	                     	                  	             	                           	                  	                  	                     	                            	                      	                  	               	             	                       	                     	                    	                	                              	                  	              	                    	                       	                   	                          	                            	                     	                 	                   	                    	                       	                              	            	               	                  	                   	                        	                  	                              	                    	                      	                        	               	                   	                        	                               	                     	                       	               	                  	                       	                        	                                 	                    	               	                     	                      	S                            	                      	                    	               	                      	                    	                  	                 	                                  	              	                 	                  	                	from ODP Leg 114 SR Chapter 6 Table 3 p.130-133

  SR	                 	                 	                  	              	114	 700	B	 26	R	 1	 106.00	    239.0600	Fenner   	Diatoms                                      	               	                  	                     	                               	S                                 	                 	               	                     	                     	               	                   	               	               	                  	                    	                                        	                   	                 	                   	                                    	                	               	                  	                       	                           	                 	                                       	                 	                                            	                           	                 	                  	                  	               	                    	                      	                    	                     	                  	             	                           	                  	                  	                     	                            	                      	                  	               	             	                       	                     	                    	                	                              	                  	              	                    	                       	                   	                          	                            	                     	                 	                   	                    	                       	                              	            	               	                  	                   	                        	                  	                              	                    	                      	                        	               	                   	                        	                               	                     	                       	               	                  	                       	                        	                                 	                    	               	                     	                      	                             	                      	                    	               	                      	                    	                  	                 	                                  	              	                 	                  	                	from ODP Leg 114 SR Chapter 6 Table 3 p.130-133

  SR	                 	                 	                  	              	114	 700	B	 26	R	 2	 106.00	    240.5600	Fenner   	Diatoms                                      	               	P                 	                     	F                              	                                  	                 	               	                     	                     	F              	F                  	               	               	                  	                    	F                                       	C                  	R                	F                  	                                    	F               	               	                  	                       	                           	R                	                                       	                 	S                                           	                           	                 	                  	                  	               	                    	R                     	S                   	                     	                  	             	                           	                  	                  	                     	                            	                      	                  	               	             	                       	S                    	R                   	                	                              	                  	              	                    	S                      	                   	                          	                            	                     	                 	                   	                    	                       	                              	            	               	                  	                   	                        	                  	                              	                    	                      	                        	               	F                  	                        	                               	                     	                       	               	                  	                       	                        	                                 	                    	               	                     	                      	F                            	                      	                    	F              	                      	                    	                  	                 	                                  	              	                 	                  	                	from ODP Leg 114 SR Chapter 6 Table 3 p.130-133

  SR	                 	                 	                  	              	114	 700	B	 26	R	CC	  45.00	    242.3900	Fenner   	Diatoms                                      	               	P                 	                     	R                              	C                                 	R                	               	                     	                     	S              	C                  	               	               	                  	                    	F                                       	F                  	                 	C                  	                                    	F               	               	R                 	                       	                           	                 	                                       	                 	F                                           	                           	                 	                  	                  	S              	                    	                      	R                   	                     	S                 	R            	                           	                  	R                 	                     	                            	                      	                  	               	             	                       	R                    	R                   	                	                              	                  	F             	                    	                       	                   	                          	                            	S                    	                 	                   	                    	R                      	                              	            	               	                  	                   	                        	                  	R                             	                    	                      	                        	R              	F                  	R                       	F                              	                     	                       	               	                  	                       	R                       	                                 	                    	               	                     	                      	R                            	                      	                    	F              	                      	                    	R                 	                 	                                  	              	                 	                  	S               	from ODP Leg 114 SR Chapter 6 Table 3 p.130-133
