Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Naviculopsis lata var. 1	Naviculopsis foliacea tumida	Naviculopsis eobiapiculata	Naviculopsis biapiculata	Corbisema triacantha triacantha	Corbisema hastata globulata	Bachmannocena apiculata apiculata	Naviculopsis sp. cf. Naviculopsis biapiculata	Naviculopsis constricta	Distephanus stradneri grandis	Naviculopsis sp. cf. Naviculopsis constricta	Bachmannocena apiculata glabra	Corbisema apiculata variety 1	Dictyocha deflandrei	Distephanus crux	Corbisema triacantha mediana	Corbisema apiculata	Comment



  SR	                 	                 	C. apiculata      	              	159	 959	D	  1	R	CC	   0.00	    426.2500	Watkins  	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                        	                            	2                         	                        	4                              	6                          	                                 	                                             	                       	                             	                                            	                              	1                            	                    	3               	2                           	1                  	Total count = 19. from Leg 159 Ch 36 Table 4

  SR	                 	                 	C. apiculata      	              	159	 959	D	  2	R	 1	  14.00	    427.4400	Watkins  	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                        	                            	                          	1                       	5                              	1                          	                                 	                                             	                       	                             	                                            	                              	                             	1                   	1               	                            	                   	Total count = 9. from Leg 159 Ch 36 Table 4

  SR	                 	                 	C. apiculata      	              	159	 959	D	  2	R	CC	   0.00	    427.5400	Watkins  	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                        	                            	                          	                        	4                              	1                          	1                                	                                             	                       	                             	                                            	                              	                             	1                   	                	                            	                   	Total count = 7. from Leg 159 Ch 36 Table 4

  SR	                 	                 	C. apiculata      	              	159	 959	D	  3	R	CC	   9.00	    436.8900	Watkins  	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                        	                            	1                         	                        	1                              	2                          	                                 	                                             	                       	                             	                                            	                              	1                            	                    	                	                            	                   	Total count = 5. from Leg 159 Ch 36 Table 4

  SR	                 	                 	C. apiculata      	              	159	 959	D	  3	R	CC	  18.00	    436.9800	Watkins  	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                        	                            	                          	1                       	2                              	                           	1                                	                                             	                       	                             	                                            	                              	1                            	                    	                	                            	                   	Total count = 5. from Leg 159 Ch 36 Table 4

  SR	                 	                 	C. apiculata      	              	159	 959	D	  5	R	CC	   1.00	    455.8100	Watkins  	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                        	                            	                          	1                       	4                              	4                          	1                                	4                                            	12                     	                             	2                                           	1                             	                             	                    	                	                            	                   	Total count = 29. from Leg 159 Ch 36 Table 4

  SR	                 	                 	C. apiculata      	              	159	 959	D	  5	R	CC	   9.00	    455.8900	Watkins  	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	2                       	                            	1                         	                        	6                              	2                          	5                                	4                                            	35                     	1                            	                                            	                              	                             	                    	                	                            	                   	Total count = 54. from Leg 159 Ch 36 Table 4

  SR	                 	                 	C. apiculata      	              	159	 959	D	  7	R	CC	  15.00	    469.4500	Watkins  	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	3                       	1                           	12                        	13                      	2                              	1                          	1                                	                                             	                       	                             	                                            	                              	                             	                    	                	                            	                   	Total count = 30. from Leg 159 Ch 36 Table 4

