Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Zeugrhabdotus elegans	Zeugrhabdotus acanthus	Watznaueria supracretacea	Watznaueria ovata	Watznaueria barnesae	Tranolithus gabalus	Tranolithus exiguus	Stoverius achylosus	Rotelapillus laffittei	Rhagodiscus angustus	Radiolithus planus	Radiolithus orbiculatus	Quadrum intermedium	Quadrum gartneri	Quadrum eneabrachium	Prediscosphaera spinosa	Prediscosphaera intercisa	Prediscosphaera columnata	Prediscosphaera cantabrigensis	Parhabdolithus melanoarachnion	Microrhabdulus decoratus	Manivitella pemmatoidea	Glaukolithus diplogrammus	Gephyrorhabdus coronadventis	Gartnerago obliquum (small)	Gartnerago obliquum	Eprolithus octopetalus	Eprolithus floralis	Eprolithus eptapetalus	Eiffellithus turriseiffelii (form 2)	Eiffellithus turriseiffelii	Cribrosphaerella ehrenbergii	Corollithion signum	Corollithion exiguum	Chiastozygus platyrhethus	Broinsonia dentata	Biscutum constans	Axopodorhabdus albianus	Amphizygus brooksii	Ahmuellerella octoradiata	Watznaueria biporta	Microstaurus ficula	Microrhabdulus belgicus	Laguncula sp.	Kamptnerius tabulatus	Discorhabdus ignotus	Aspidolithus bevieri	Zeugrhabdotus pseudanthophorus	Stradneria crenulata	Stoverius coronatus	Scampanella cornuta	Prediscosphaera ponticula	Marthasterites furcatus	Lithraphidites carniolensis	Lithastrinus septenarius	Liliasterites atlanticus	Glaukolithus bicrescenticus	Gartnerago diversum	Flabellites oblongus	Eiffellithus eximius	Helicolithus trabeculatus	Cretarhabdus conicus	Rhagodiscus splendens	Quadrum eptabrachium	Placozygus fibuliformis	Rotelapillus crenulatus	Prediscosphaera cretacea	Stoverius asymmetricus	Zeugrhabdotus sp. cf. Z. erectus	Tranolithus phacelosus	Stoverius biarcus	Micula decussata 1	Chiastozygus litterarius	Prediscosphaera honjoi	Micula decussata 2	Micula concava	Tranolithus minimus	Lithastrinus grillii	Vekshinella stradnerii	Reinhardtites anthophorus	Ahmuellerella regularis	Eiffellithus gorkae	Calculites obscurus	Toweius eminens	Sphenolithus primus	Rhomboaster bitrifida	Hornibrookina australis	Heliolithus riedelii	Heliolithus megastypus	Heliolithus kleinpellii	Fasciculithus tympaniformis	Fasciculithus lillianae	Discoaster multiradiatus	Chiasmolithus bidens	Toweius pertusus	Placozygus sigmoides	Ericsonia robusta	Ellipsolithus macellus	Discoaster mohleri	Cruciplacolithus frequens	Chiasmolithus consuetus	Chiasmolithus californicus	Fasciculithus richardii	Zygodiscus herlynii	Toweius tovae	Neochiastozygus junctus	Cruciplacolithus tenuis	Markalius inversus	Discoaster nobilis	Ellipsolithus lajollaensis	Discoaster delicatus	Coccolithus eopelagicus	Bomolithus conicus	Discoaster lenticularis	Reticulofenestra umbilica	Fasciculithus involutus	Coccolithus pelagicus	Campylosphaera dela	Tribrachiatus bramlettei	Lophodolithus mochlophorus	Ellipsolithus distichus	Discoaster salisburgensis	Discoaster diastypus	Tribrachiatus contortus	Discoaster binodosus	Discoaster barbadiensis	Chiasmolithus grandis	Chiasmolithus eograndis	Tribrachiatus orthostylus	Toweius magnicrassus	Sphenolithus radians	Discoaster tanii	Discoaster lodoensis	Discoaster kuepperi	Cyclicargolithus gammation	Coccolithus formosus	Chiasmolithus solitus	Neococcolithes dubius	Helicosphaera seminulum	Helicosphaera lophota	Discoaster nodifer	Discoaster sublodoensis	Discoaster elegans	Chiasmolithus expansus	Discoaster saipanensis	Coccolithus staurion	Chiasmolithus gigas	Reticulofenestra dictyoda	Pseudotriquetrorhabdulus inversus	Nannotetrina fulgens	Lophodolithus nascens	Sphenolithus spiniger	Nannotetrina pappii	Sphenolithus elongatus	Pontosphaera multipora	Sphenolithus moriformis	Sphenolithus furcatolithoides	Nannotetrina cristata	Discoaster deflandrei	Discoaster wemmelensis	Cyclicargolithus luminis	Discoaster strictus	Reticulofenestra samodurovii	Zygrhablithus bijugatus	Helicosphaera dinesenii	Helicosphaera papillata	Discoaster bifax	Helicosphaera obliqua	Dictyococcites scrippsae	Chiasmolithus nitidus	Cyclicargolithus reticulatus	Daktylethra punctulata	Dictyococcites bisectus	Sphenolithus pseudoradians	Reticulofenestra lockerii	Cyclicargolithus floridanus	Sphenolithus predistentus	Sphenolithus distentus	Helicosphaera truempyi	Comment



  SR	Early Oligocene  	                 	CP18              	              	159	 959	D	  5	R	CC	   9.00	    455.8900	Shafik   	Nannofossils                                 	A              	G                 	                     	                      	                         	                 	                    	                   	                   	                   	                      	                    	                  	                       	                   	                	                    	                       	                         	                         	                              	                              	                        	                       	                         	                            	                           	                   	                      	                   	                      	                                    	                           	                            	                   	                    	                         	                  	                 	                       	                   	                         	                   	                   	                       	             	                     	                    	                    	                              	                    	                   	                   	                         	                       	                           	                        	                        	                           	                   	                    	                    	                         	                    	                     	                    	                       	                       	                        	                      	                                	                      	                 	                  	                        	                      	                  	              	                   	                    	                      	                         	                       	                   	                   	               	                   	                     	                       	                    	                      	                       	                           	                       	                        	                    	                	                    	                 	                      	                  	                         	                       	                          	                       	                   	             	                       	                       	                  	                  	                          	                    	F                      	                  	                       	                         	                       	C                    	                   	                        	                          	                       	                         	                    	                       	                    	                       	                     	                       	                         	                    	                    	                	                    	                   	                          	                    	                     	                     	                       	                     	                  	                       	                  	                      	                      	                    	                   	                         	                                 	                    	                     	                     	                   	                      	                      	F                      	                             	                     	C                    	                      	                        	                   	                            	                       	                       	                       	                	                     	F                       	                     	                            	                      	                       	R                         	F                        	A                          	F                        	F                     	R                     	from Leg 159 Ch 32 Table 2

  SR	Early Oligocene  	                 	CP17              	              	159	 959	D	  7	R	CC	  15.00	    469.4500	Shafik   	Nannofossils                                 	F              	P                 	                     	                      	                         	                 	                    	                   	                   	                   	                      	                    	                  	                       	                   	                	                    	                       	                         	                         	                              	                              	                        	                       	                         	                            	                           	                   	                      	                   	                      	                                    	                           	                            	                   	                    	                         	                  	                 	                       	                   	                         	                   	                   	                       	             	                     	                    	                    	                              	                    	                   	                   	                         	                       	                           	                        	                        	                           	                   	                    	                    	                         	                    	                     	                    	                       	                       	                        	                      	                                	                      	                 	                  	                        	                      	                  	              	                   	                    	                      	                         	                       	                   	                   	               	                   	                     	                       	                    	                      	                       	                           	                       	                        	                    	                	                    	                 	                      	                  	                         	                       	                          	                       	                   	             	                       	                       	                  	                  	                          	                    	                       	                  	                       	                         	                       	R                    	                   	                        	                          	                       	                         	                    	                       	                    	                       	                     	R                      	                         	                    	                    	                	                    	                   	                          	                    	                     	                     	                       	                     	                  	                       	                  	                      	                      	                    	                   	                         	                                 	                    	                     	                     	                   	                      	                      	R                      	                             	                     	C                    	                      	                        	                   	                            	                       	                       	                       	                	                     	                        	                     	                            	                      	                       	                          	F                        	C                          	                         	                      	                      	Uncertain zone and age assignments. from Leg 159 Ch 32 Table 2

  SR	Middle Eocene    	Late Eocene      	CP14b             	CP15a         	159	 959	D	 14	R	 2	  71.00	    535.0100	Shafik   	Nannofossils                                 	F              	P                 	                     	                      	                         	                 	                    	                   	                   	                   	                      	                    	                  	                       	                   	                	                    	                       	                         	                         	                              	                              	                        	                       	                         	                            	                           	                   	                      	                   	                      	                                    	                           	                            	                   	                    	                         	                  	                 	                       	                   	                         	                   	                   	                       	             	                     	                    	                    	                              	                    	                   	                   	                         	                       	                           	                        	                        	                           	                   	                    	                    	                         	                    	                     	                    	                       	                       	                        	                      	                                	                      	                 	                  	                        	                      	                  	              	                   	                    	                      	                         	                       	                   	                   	               	                   	                     	                       	                    	                      	                       	                           	                       	                        	                    	                	                    	                 	                      	                  	                         	                       	                          	                       	                   	             	                       	                       	                  	                  	                          	                    	F                      	                  	                       	R                        	                       	                     	                   	                        	                          	                       	                         	                    	                       	                    	C                      	                     	                       	                         	                    	                    	F               	                    	                   	                          	                    	                     	                     	                       	                     	F                 	                       	                  	                      	F                     	                    	                   	                         	                                 	                    	                     	                     	                   	                      	                      	F                      	                             	                     	                     	                      	                        	                   	                            	R                      	                       	                       	                	                     	F                       	                     	                            	                      	R                      	R                         	                         	                           	                         	                      	                      	Uncertain zone and age assignments. from Leg 159 Ch 32 Table 2

  SR	Middle Eocene    	Late Eocene      	CP14b             	CP15a         	159	 959	D	 14	R	CC	  20.00	    535.8500	Shafik   	Nannofossils                                 	F              	P                 	                     	                      	                         	                 	                    	                   	                   	                   	                      	                    	                  	                       	                   	                	                    	                       	                         	                         	                              	                              	                        	                       	                         	                            	                           	                   	                      	                   	                      	                                    	                           	                            	                   	                    	                         	                  	                 	                       	                   	                         	                   	                   	                       	             	                     	                    	                    	                              	                    	                   	                   	                         	                       	                           	                        	                        	                           	                   	                    	                    	                         	                    	                     	                    	                       	                       	                        	                      	                                	                      	                 	                  	                        	                      	                  	              	                   	                    	                      	                         	                       	                   	                   	               	                   	                     	                       	                    	                      	                       	                           	                       	                        	                    	                	                    	                 	                      	                  	                         	                       	                          	                       	                   	             	                       	                       	                  	                  	                          	                    	                       	                  	                       	                         	                       	VR                   	                   	                        	                          	                       	                         	                    	                       	                    	C                      	                     	                       	                         	                    	                    	                	                    	                   	                          	VR                  	                     	                     	                       	                     	                  	                       	C                 	                      	A                     	                    	                   	VR                       	                                 	                    	                     	                     	                   	                      	                      	R                      	                             	                     	                     	                      	                        	                   	                            	                       	                       	                       	                	                     	                        	                     	                            	                      	VR                     	                          	                         	                           	                         	                      	                      	Uncertain zone and age assignments. from Leg 159 Ch 32 Table 2
