Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Hedbergella spp.	Globigerinelloides spp.	Hedbergella planispira	Hedbergella delrioensis	Rotalipora appenninica	Hedbergella simplex	Truncorotaloides rohri	Pseudohastigerina micra	Planorotalites pseudoscitulus	Morozovella spinulosa	Marginotruncana spp.	Globorotalia cerroazulensis frontosa	Globorotalia bolivariana	Globigerinoides higginsi	Globigerina eocaena	Catapsydrax spp.	Acarinina pentacamerata	Acarinina bullbrooki	Acarinina broedermanni	Truncorotaloides topilensis	Pseudohastigerina wilcoxensis	Globorotaloides spp.	Globorotalia cerroazulensis	Globigerina senni	Globigerina linaperta	Globigerina inaequispira	Globigerina cryptomphala	Acarinina primitiva	Morozovella aragonensis	Globigerina spp.	Morozovella lehneri	Acarinina pseudotopilensis	Comment



  SR	Middle Eocene    	                 	P12               	              	149	 897	D	  1	R	 3	  23.00	    599.2300	Gervais  	Planktonic Foraminifers                      	F              	G                 	                	                       	                      	                       	                      	                   	F                     	                       	                             	F                    	                    	                                    	                        	R                       	R                  	                	R                      	R                   	R                     	                           	                             	R                   	                           	R                	R                    	                        	                        	R                  	                       	                	                   	R                         	from 149 SR. Chapter 6. Table 4. page 173.

  SR	Middle Eocene    	                 	P12               	              	149	 897	D	  1	R	CC	  15.00	    601.8400	Gervais  	Planktonic Foraminifers                      	C              	M                 	                	                       	                      	                       	                      	                   	F                     	                       	R                            	F                    	                    	R                                   	                        	F                       	F                  	                	F                      	F                   	F                     	                           	                             	R                   	R                          	R                	F                    	                        	?                       	R                  	                       	                	R                  	                          	from 149 SR. Chapter 6. Table 4. page 173.

  SR	Middle Eocene    	                 	P12               	              	149	 897	D	  2	R	 1	  46.00	    607.2600	Gervais  	Planktonic Foraminifers                      	R              	M                 	                	                       	                      	                       	                      	                   	                      	                       	                             	R                    	                    	                                    	                        	                        	                   	                	                       	R                   	R                     	                           	                             	                    	                           	                 	                     	                        	                        	                   	                       	R               	                   	                          	from 149 SR. Chapter 6. Table 4. page 173.

  SR	Early Eocene     	Middle Eocene    	P9                	P11           	149	 897	D	  2	R	 5	   9.00	    612.7000	Gervais  	Planktonic Foraminifers                      	F              	M                 	                	                       	                      	                       	                      	                   	R                     	                       	                             	R                    	                    	R                                   	                        	                        	R                  	                	R                      	R                   	                      	                           	                             	                    	                           	                 	                     	                        	                        	?                  	R                      	                	                   	                          	from 149 SR. Chapter 6. Table 4. page 173.

  SR	Early Eocene     	Middle Eocene    	P9                	P11           	149	 897	D	  2	R	CC	  14.00	    613.0500	Gervais  	Planktonic Foraminifers                      	F              	M                 	                	                       	                      	                       	                      	                   	                      	R                      	                             	R                    	                    	                                    	                        	                        	R                  	                	R                      	R                   	R                     	                           	                             	                    	                           	                 	                     	                        	                        	                   	                       	                	                   	                          	from 149 SR. Chapter 6. Table 4. page 173.

  SR	Early Eocene     	Middle Eocene    	P9                	P11           	149	 897	D	  3	R	 3	  72.00	    620.2200	Gervais  	Planktonic Foraminifers                      	A              	G                 	                	                       	                      	                       	                      	                   	F                     	C                      	R                            	C                    	                    	R                                   	R                       	F                       	F                  	R               	F                      	F                   	F                     	R                          	F                            	R                   	R                          	R                	R                    	R                       	R                       	R                  	                       	                	                   	                          	from 149 SR. Chapter 6. Table 4. page 173.

  SR	Early Eocene     	Middle Eocene    	P9                	P11           	149	 897	D	  3	R	 4	  20.00	    621.2500	Gervais  	Planktonic Foraminifers                      	C              	M                 	r               	                       	                      	                       	                      	                   	R                     	R                      	R                            	F                    	r                   	R                                   	R                       	R                       	R                  	R               	F                      	R                   	R                     	                           	                             	                    	                           	                 	                     	                        	                        	                   	                       	                	                   	                          	from 149 SR. Chapter 6. Table 4. page 173.

  SR	Albian           	                 	R. appenninica    	              	149	 897	D	  6	R	 3	  59.00	    648.5900	Gervais  	Planktonic Foraminifers                      	F              	P                 	                	                       	R                     	F                      	R                     	R                  	                      	                       	                             	                     	                    	                                    	                        	                        	                   	                	                       	                    	                      	                           	                             	                    	                           	                 	                     	                        	                        	                   	                       	                	                   	                          	from 149 SR. Chapter 6. Table 4. page 173.

  SR	Aptian           	Albian           	                  	              	149	 897	D	  6	R	CC	  15.00	    648.7600	Gervais  	Planktonic Foraminifers                      	F              	P                 	C               	F                      	R                     	R                      	                      	                   	                      	                       	                             	                     	                    	                                    	                        	                        	                   	                	                       	                    	                      	                           	                             	                    	                           	                 	                     	                        	                        	                   	                       	                	                   	                          	from 149 SR. Chapter 6. Table 4. page 173.

  SR	Aptian           	Albian           	                  	              	149	 897	D	  7	R	 1	  41.00	    655.6100	Gervais  	Planktonic Foraminifers                      	R              	P                 	R               	R                      	                      	                       	                      	                   	                      	                       	                             	                     	                    	                                    	                        	                        	                   	                	                       	                    	                      	                           	                             	                    	                           	                 	                     	                        	                        	                   	                       	                	                   	                          	from 149 SR. Chapter 6. Table 4. page 173.

