Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Sphaeroidinellopsis seminulina	Globorotalia tosaensis	Globorotalia crassaformis	Globigerinoides extremus	Dentoglobigerina altispira	Sphaeroidinella dehiscens	Globorotalia multicamerata	Neogloboquadrina dutertrei	Globigerinoides sacculifer	Globorotalia tumida	Globorotalia menardii	Globigerinoides ruber	Globorotalia inflata	Pulleniatina obliquiloculata	Globorotalia truncatulinoides	Globigerinoides fistulosus	Globigerinoides conglobatus	Globigerinoides ruber (pink)	Comment



  IR	Pleistocene      	Pleistocene      	N22               	N22           	184	1145	A	  1	H	CC	   8.00	      1.2800	forams   	Planktonic Foraminifers                      	A              	G                 	                              	                      	                         	                        	                          	P                        	                          	A                         	A                         	                   	F                    	A                    	F                   	F                           	P                            	                          	P                          	                            	       

  IR	Pleistocene      	Pleistocene      	N22               	N22           	184	1145	A	  2	H	CC	   9.00	     10.1100	forams   	Planktonic Foraminifers                      	A              	G                 	                              	                      	                         	                        	                          	                         	                          	F                         	F                         	                   	F                    	A                    	A                   	F                           	                             	                          	R                          	                            	       

  IR	Pleistocene      	Pleistocene      	N22               	N22           	184	1145	A	  3	H	CC	   8.00	     20.4100	forams   	Planktonic Foraminifers                      	A              	M                 	                              	                      	                         	                        	                          	P                        	                          	A                         	F                         	                   	F                    	A                    	F                   	A                           	P                            	                          	F                          	                            	<0.12 Ma

  IR	Pleistocene      	Pleistocene      	N22               	N22           	184	1145	A	  4	H	CC	   0.00	     29.5600	forams   	Planktonic Foraminifers                      	A              	G                 	                              	                      	                         	                        	                          	P                        	                          	F                         	R                         	                   	R                    	A                    	F                   	F                           	P                            	                          	                           	P                           	>0.12 Ma

  IR	Pleistocene      	Pleistocene      	N22               	N22           	184	1145	A	  5	H	CC	  49.00	            	forams   	Planktonic Foraminifers                      	A              	G                 	                              	                      	                         	                        	                          	                         	                          	F                         	R                         	                   	R                    	A                    	F                   	F                           	R                            	                          	R                          	P                           	       

  IR	Pleistocene      	Pleistocene      	N22               	N22           	184	1145	A	  6	H	CC	   0.00	     48.3300	forams   	Planktonic Foraminifers                      	A              	G                 	                              	                      	                         	                        	                          	P                        	                          	F                         	R                         	                   	R                    	A                    	F                   	R                           	F                            	                          	R                          	P                           	       

  IR	Pleistocene      	Pleistocene      	N22               	N22           	184	1145	A	  7	H	CC	  36.00	     58.7600	forams   	Planktonic Foraminifers                      	A              	G                 	                              	                      	                         	                        	                          	P                        	                          	R                         	R                         	                   	R                    	A                    	F                   	R                           	P                            	                          	R                          	P                           	<0.4 Ma

  IR	Pleistocene      	Pleistocene      	N22               	N22           	184	1145	A	  8	H	CC	  19.00	     67.7800	forams   	Planktonic Foraminifers                      	A              	M                 	                              	                      	                         	                        	                          	                         	                          	                          	                          	                   	F                    	A                    	                    	A                           	P                            	                          	                           	                            	>0.4 Ma

