Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Pulleniatina obliquiloculata,Globorotalia truncatulinoides,Globorotalia crassaformis,Neogloboquadrina acostaensis,Neogloboquadrina dutertrei,Globigerinoides ruber,Globorotalia inflata,Globigerinoides ruber (pink),Globorotalia menardii,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,N22               ,N22           ,184,1147,A,  1,H,CC,   0.00,      5.2300,forams   ,Planktonic Foraminifers                      ,A              ,VG                ,R                           ,                             ,                         ,                            ,                          ,A                    ,F                   ,                            ,P                    ,<0.12 Ma
,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,N22               ,N22           ,184,1147,A,  2,H,CC,   7.00,     14.4800,forams   ,Planktonic Foraminifers                      ,A              ,VG                ,A                           ,                             ,                         ,                            ,                          ,F                    ,R                   ,R                           ,F                    ,>0.12 Ma
,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,N22               ,N22           ,184,1147,A,  3,H,CC,  16.00,     24.6400,forams   ,Planktonic Foraminifers                      ,A              ,G                 ,A                           ,A                            ,                         ,                            ,F                         ,                     ,A                   ,R                           ,                     ,<0.4 Ma
,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,N22               ,N22           ,184,1147,A,  4,H,CC,   9.00,     33.9800,forams   ,Planktonic Foraminifers                      ,A              ,VG                ,A                           ,                             ,R                        ,                            ,F                         ,A                    ,A                   ,P                           ,                     ,>0.4 Ma
,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,N22               ,N22           ,184,1147,A,  5,H,CC,  16.00,     43.6600,forams   ,Planktonic Foraminifers                      ,A              ,VG                ,F                           ,P                            ,                         ,                            ,                          ,A                    ,R                   ,                            ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,N22               ,N22           ,184,1147,A,  6,H,CC,   0.00,     52.2900,forams   ,Planktonic Foraminifers                      ,A              ,M                 ,F                           ,R                            ,R                        ,                            ,F                         ,A                    ,                    ,                            ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,N22               ,N22           ,184,1147,A,  7,H,CC,  18.00,     62.6800,forams   ,Planktonic Foraminifers                      ,A              ,VG                ,F                           ,R                            ,                         ,                            ,R                         ,                     ,                    ,                            ,                     ,>0.75 Ma
,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,N22               ,N22           ,184,1147,A,  8,H,CC,  16.00,     71.6600,forams   ,Planktonic Foraminifers                      ,A              ,M                 ,                            ,R                            ,                         ,R                           ,                          ,                     ,                    ,                            ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,N22               ,N22           ,184,1147,A,  9,H,CC,  19.00,     81.7100,forams   ,Planktonic Foraminifers                      ,A              ,P                 ,A                           ,R                            ,R                        ,                            ,                          ,                     ,                    ,                            ,                     ,<1.6 Ma
,,,,,,,,,,,,,,,,,,,,,,,,,,
