Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Truncorotalia truncatulinoides (sin.),Truncorotalia truncatulinoides (dex.),Truncorotalia crassaformis hessi,Truncorotalia crassaformis,Sphaeroidinella dehiscens,Pulleniatina obliquiloculata,Neogloboquadrina pachyderma,Menardella menardii (sinistral),Menardella menardii (dextral),Globigerinoides obliquus,Globoconella inflata,Globigerina bulloides,Globoturborotalita rubescens,Globorotalia tumida,Globigerina falconensis,Globigerina bermudezi,Hirsutella hirsuta,Hastigerina pelagica,Globigerinella calida,Globorotalia tumida flexuosa,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,172,1058,A,  1,H,CC,  13.00,      9.8200,Chaisson ,Planktonic Foraminifers                      ,F              ,G                 ,R                                    ,F                                    ,                                ,-                         ,-                        ,R                           ,+                          ,-                              ,-                            ,r                       ,F                   ,-                    ,R                           ,-                  ,                       ,-                    ,-                 ,-                   ,-                    ,                            ,diluted by nannos
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,172,1058,A,  2,H, 1,  70.00,     10.2000,Chaisson ,Planktonic Foraminifers                      ,C              ,M                 ,-                                    ,+                                    ,-                               ,+                         ,-                        ,+                           ,                           ,                               ,                             ,                        ,+                   ,                     ,                            ,                   ,                       ,                     ,                  ,                    ,                     ,-                           ,no flexuosa<0.068
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,172,1058,A,  2,H, 3,  70.00,     13.2000,Chaisson ,Planktonic Foraminifers                      ,C              ,G                 ,-                                    ,+                                    ,-                               ,+                         ,-                        ,+                           ,                           ,+                              ,-                            ,                        ,+                   ,                     ,                            ,                   ,                       ,                     ,                  ,                    ,                     ,                            ,no flexuosa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,172,1058,A,  2,H, 5,  70.00,     16.2000,Chaisson ,Planktonic Foraminifers                      ,C              ,VG                ,+                                    ,+                                    ,-                               ,+                         ,+                        ,+                           ,                           ,-                              ,+                            ,                        ,+                   ,                     ,                            ,+                  ,                       ,                     ,                  ,                    ,                     ,-                           ,no flexuosa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,172,1058,A,  2,H, 6,  70.00,     17.7000,Chaisson ,Planktonic Foraminifers                      ,C              ,G                 ,+                                    ,+                                    ,                                ,                          ,                         ,                            ,                           ,                               ,                             ,                        ,+                   ,                     ,                            ,                   ,                       ,                     ,                  ,                    ,                     ,+                           ,>0.068
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
