Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Stephanopyxis grunowii	Pyxilla reticulata	Hemiaulus polymorphus	Vulcanella hannae	Trinacria excavata	Stephanopyxis turris	Stephanopyxis superba	Stephanopyxis splendidus	Sceptroneis ligulatus	Rhizosolenia hebetata	Pterotheca danica	Paralia sulcata	Hemiaulus polycystinorum	Hemiaulus incisus	Hemiaulus dissimilis	Hemiaulus caracteristicus	Goniothecium odontella	Goniothecium decoratum	Eurossia irregularis	Distephanosira architecturalis	Coscinodiscus spp.	Cocconeis spp.	Chaetoceros spp.	Biddulphia spp.	Actinoptychus senarius	Thalassiosira torokina	Thalassiosira oliverana	Rhizosolenia styliformis	Eucampia antarctica	Actinocyclus karstenii	Actinocyclus fasciculatus	Thalassiosira vulnifica	Thalassiosira tetraoestrupii var. reimeri	Thalassiosira praeconvexa var. aspinosa	Thalassiosira oestrupii	Thalassiosira lentiginosa	Thalassiosira kolbei	Thalassiosira inura	Thalassiosira insigna/inura trans	Thalassiosira insigna	Thalassiosira elliptipora	Thalassionema nitzschioides	Stellarima stellaris	Stellarima microtrias	Rouxia diploneides	Rouxia antarctica	Rhizosolenia sp. D	Rhizosolenia hebetata f. hiemalis	Porosira pseudodenticulata	Isthmia spp.	Fragilariopsis obliquecostata	Fragilariopsis curta	Dactyliosolen antarcticus	Actinocyclus ingens	Thalassiosira maculeata	Rouxia isopolica	Corethron criophilum	Trichotoxon reinboldii	Thalassiosira tumida	Thalassiosira fasciculata	Trachyneis aspera	Rouxia spp.	Fragilariopsis sublinearis	Fragilariopsis ritscheri	Fragilariopsis kerguelensis	Thalassiosira ritscherii	Thalassiosira antarctica	Odontella weissflogii	Fragilariopsis separanda	Diploneis spp.	Azpeitia tabularis	Asteromphalus parvulus	Actinocyclus actinochilus	Thalassiosira gracilis	Fragilariopsis rhombica	Fragilariopsis cylindrus	Comment



  IR	                 	                 	                  	              	188	1166	A	  1	R	 2	  72.00	      2.1800	paleo    	Diatoms                                      	A              	MG                	                      	                  	                     	                 	                  	                    	                     	                        	                     	R                    	                 	               	                        	                 	                    	                         	                      	                      	                    	                              	                  	              	R               	               	                      	                      	                       	                        	F                  	                      	                         	                       	                                         	                                       	                       	F                        	                    	                   	                                 	                     	                         	                           	                    	                     	                  	                 	                  	                                 	R                         	            	C                            	C                   	R                        	                   	                       	                	                    	                      	F                   	                         	                 	           	F                         	                        	C                          	                        	C                       	                     	R                       	              	                  	                      	F                        	F                     	C                      	R                       	T. lentiginosa Zone (<0.66 Ma)

  IR	                 	                 	                  	              	188	1166	A	  1	R	CC	  23.00	      2.9800	paleo    	Diatoms                                      	F              	M                 	                      	                  	                     	                 	                  	                    	                     	                        	                     	                     	                 	               	                        	                 	                    	                         	                      	                      	                    	                              	R                 	              	R               	               	                      	F                     	R                      	                        	F                  	                      	                         	                       	                                         	                                       	                       	R                        	                    	                   	                                 	                     	                         	                           	R                   	                     	                  	                 	                  	                                 	                          	            	F                            	                    	R                        	                   	                       	                	                    	                      	                    	                         	                 	           	                          	R                       	F                          	R                       	F                       	R                    	R                       	R             	R                 	R                     	R                        	                      	                       	                        	Quaternary (<0.66 Ma?) unzoned.

  IR	                 	                 	                  	              	188	1166	A	  2	R	CC	  24.00	     10.6400	paleo    	Diatoms                                      	T              	P                 	                      	                  	                     	                 	                  	                    	                     	                        	                     	                     	                 	               	                        	                 	                    	                         	                      	                      	                    	                              	R                 	              	                	               	                      	R                     	                       	                        	R                  	                      	                         	                       	                                         	                                       	                       	                         	                    	                   	                                 	                     	                         	                           	                    	                     	                  	                 	                  	                                 	                          	            	                             	                    	                         	                   	                       	                	                    	                      	                    	                         	                 	           	                          	                        	R                          	                        	                        	                     	                        	              	                  	                      	                         	                      	                       	                        	 (<3.2 Ma) unzoned, rare diatom fragments

  IR	                 	                 	                  	              	188	1166	A	 13	R	 1	  70.00	    114.0000	paleo    	Diatoms                                      	A              	G                 	                      	                  	                     	                 	                  	                    	                     	                        	                     	                     	                 	               	                        	                 	                    	                         	                      	                      	                    	                              	                  	R             	R               	               	                      	F                     	R                      	R                       	R                  	F                     	R                        	                       	                                         	                                       	F                      	R                        	R                   	                   	R                                	                     	F                        	                           	                    	F                    	                  	R                	                  	R                                	                          	            	                             	R                   	R                        	                   	                       	                	                    	R                     	                    	                         	R                	R          	R                         	R                       	                           	                        	                        	                     	                        	              	                  	                      	                         	                      	                       	                        	T. kolbei Zone (1.9-2.3 Ma)
