Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Rhizammina indivisa,Paratrochamminoides spp.,Rhabdammina spp.,Reophax  nodulosus,Psammosphaera sp.,Lituotuba lituiformis,Hyperammina spp.,Hormosina ovuloides,Haplophragmoides walteri excavatus,Haplophragmium walteri,Glomospira irregularis,Glomospira charoides,Dendrophyra robusta,Bathysiphon spp.,Hormosinella distans,Haplophragmoides horridus,Bathysiphon microraphidus,Ammodiscus latus,Subreophax scalaris,Rzehakina epigona minima,Psammosphaera fusca,Praecystammina sp.,Hyperammina rugosa,Hormosina velascoensis,Glomospira sp.,Cyclammina placenta,Ammosphaeroidina pseudopauciloculata,Ammodiscus tenuissimus,Trochamminoides subcoronatus,Spiroplectammina spectabilis,Saccammina grzybowskii,Reophax pilulifer,Karrerulina horrida,Kalamopsis grzybowskii,Hormosina ovulum ovulum,Glomospira glomerata,Tolypammina sp.,Reophax elongatus,Dendrophyra latissima,Reticulophragmium amplectens,Recurvoides walteri,Karrerulina conversa,Glomospira gordialis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Oligocene        ,                 ,                  ,              ,124, 767,C,  6,R, 1,  22.00,    726.4200,Kaminski ,Benthic Foraminifers                         ,               ,                  ,C                  ,                        ,                ,                  ,                 ,                     ,R               ,                   ,                                  ,R                     ,                      ,                    ,                   ,F               ,F                   ,                         ,                         ,R               ,                   ,                        ,                   ,                  ,                  ,                      ,              ,                   ,                                    ,                      ,                            ,                            ,                      ,                 ,                   ,                      ,                       ,                    ,               ,F                ,                     ,F                           ,                   ,                    ,                    ,from ODP Leg 124 SR Chapter 12 Table 2 p 175
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Oligocene        ,                 ,                  ,              ,124, 767,C,  6,R, 2,  34.00,    728.0400,Kaminski ,Benthic Foraminifers                         ,               ,                  ,C                  ,                        ,                ,                  ,                 ,                     ,                ,                   ,                                  ,                      ,                      ,                    ,F                  ,F               ,                    ,                         ,                         ,R               ,                   ,                        ,                   ,                  ,                  ,                      ,              ,                   ,                                    ,                      ,                            ,                            ,                      ,                 ,                   ,                      ,                       ,                    ,               ,                 ,                     ,                            ,                   ,                    ,R                   ,from ODP Leg 124 SR Chapter 12 Table 2 p 175
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Oligocene        ,                 ,                  ,              ,124, 767,C,  6,R, 5,  13.00,    730.7800,Kaminski ,Benthic Foraminifers                         ,               ,                  ,C                  ,                        ,C               ,                  ,                 ,                     ,                ,                   ,R                                 ,R                     ,R                     ,R                   ,F                  ,C               ,F                   ,R                        ,F                        ,R               ,                   ,                        ,                   ,                  ,                  ,                      ,              ,                   ,                                    ,                      ,                            ,                            ,R                     ,R                ,                   ,                      ,                       ,R                   ,               ,F                ,                     ,F                           ,F                  ,R                   ,R                   ,from ODP Leg 124 SR Chapter 12 Table 2 p 175
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Oligocene        ,                 ,                  ,              ,124, 767,C,  7,R, 2,  40.00,    737.7000,Kaminski ,Benthic Foraminifers                         ,               ,                  ,F                  ,                        ,R               ,                  ,                 ,                     ,                ,                   ,                                  ,                      ,                      ,R                   ,                   ,                ,                    ,                         ,                         ,                ,                   ,                        ,                   ,                  ,                  ,                      ,              ,                   ,                                    ,                      ,                            ,                            ,                      ,                 ,                   ,                      ,                       ,                    ,               ,                 ,                     ,R                           ,                   ,                    ,                    ,from ODP Leg 124 SR Chapter 12 Table 2 p 175
