Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Helicosphaera waltrans	Helicosphaera intermedia	Umbilicosphaera rotula	Umbilicosphaera jafari	Triquetrorhabdulus milowii	Sphenolithus moriformis	Sphenolithus heteromorphus	Reticulofenestra pseudoumbilica(5-7microns)	Reticulofenestra minutula	Reticulofenestra haqii	Helicosphaera vedderi	Discoaster petaliformis	Discoaster musicus	Discoaster deflandrei	Cyclicargolithus floridanus	Coronocyclus nitescens	Coccolithus pelagicus	Discoaster spp.	Reticulofenestra pseudoumbilica (>7microns)	Orthorhabdus serratus	Discoaster pansus	Discoaster exilis	Calcidiscus tropicus	Helicosphaera carteri	Coccolithus miopelagicus	Discoaster bollii	Cryptococcolithus mediaperforatus	Calcidiscus leptoporus	Discoaster kugleri	Sphenolithus abies	Calcidiscus macintyrei	Triquetrorhabdulus rugosus	Pseudoemiliania lacunosa	Florisphaera profunda	Discoaster challengeri	Discoaster bellus	Catinaster coalitus	Helicosphaera stalis	Discoaster hamatus	Discoaster brouweri	Discoaster braarudii	Catinaster calyculus	Hughesius gizoensis	Discoaster prepentaradiatus	Pontosphaera multipora	Helicosphaera sellii	Discoaster variabilis	Discoaster triradiatus	Discoaster quinqueramus	Discoaster pentaradiatus	Discoaster berggrenii	Discoaster bergenii	Discoaster surculus	Discoaster loeblichii	Amaurolithus tricorniculatus	Amaurolithus primus	Amaurolithus delicatus	Sphenolithus spp.	Sphenolithus grandis	Scyphosphaera ventriosa	Ceratolithus cristatus	Reticulofenestra minuta	Pseudoemiliania ovata	Rhabdosphaera clavigera	Gephyrocapsa spp. (small)	Discoaster tamalis	Ceratolithus cristatus var. telesmus	Pontosphaera japonica	Discoaster asymmetricus	Oolithotus fragilis	Syracosphaera pulchra	Helicosphaera carteri var. walichii	Reticulofenestra spp.	Umbilicosphaera sibogae var. sibogae	Helicosphaera inversa	Gephyrocapsa oceanica	Gephyrocapsa muellerae	Gephyrocapsa caribbeanica	Cyclolithus annulus	Coccolithus pelagicus (with bar)	Umbilicosphaera hulburtiana	Pontosphaera discopora	Gephyrocapsa omega	Gephyrocapsa ericsonii	Syracosphaera spp.	Reticulofenestra asanoi	Umbilicosphaera sibogae var. foliosa	Umbellosphaera tenuis	Umbellosphaera irregularis	Neosphaera coccolithomorpha	Holodiscolithus macroporus	Gephyrocapsa large	Emiliania huxleyi	Scyphosphaera spp.	Braarudosphaera bigelowii	Comment



  IR	                 	                 	                  	NN21A         	190	1173	A	  2	H	CC	  28.00	     17.1300	nannos   	Nannofossils                                 	C              	M                 	                      	                        	                      	                      	                          	                       	                          	                                           	                         	                      	                     	                       	                  	                     	                           	                      	                     	               	                                           	                     	                 	                 	                    	F                    	                        	                 	                                 	R0                    	                  	                  	                      	                          	                        	F                    	                      	                 	                   	                    	                  	                   	                    	                    	                   	                           	                      	                    	                     	                      	                       	                        	                     	                   	                   	                     	                            	                   	                      	                 	                    	                       	                      	F                      	                     	F                      	                         	                  	                                    	                     	                       	                   	                     	                                   	                     	F1                                  	                     	A                    	C                     	                         	                   	                                	                           	F                     	                  	                      	                  	                       	                                    	R0                   	                          	                           	                          	                  	D                	                  	                         	       

  IR	                 	                 	                  	NN21A         	190	1173	A	  3	H	CC	  34.00	     26.1600	nannos   	Nannofossils                                 	C              	M                 	                      	                        	                      	                      	                          	                       	                          	                                           	                         	                      	                     	                       	                  	                     	                           	                      	F                    	R0             	                                           	                     	                 	                 	                    	R1                   	                        	                 	                                 	F                     	                  	                  	                      	                          	R1                      	F                    	                      	                 	                   	                    	                  	                   	                    	                    	                   	                           	                      	                    	                     	                      	                       	                        	                     	                   	                   	                     	                            	                   	                      	                 	R0                  	                       	                      	                       	                     	                       	                         	                  	                                    	                     	                       	                   	                     	                                   	                     	F2                                  	                     	C13                  	C                     	                         	                   	                                	                           	                      	                  	C                     	                  	                       	                                    	R0                   	                          	                           	                          	                  	D                	                  	                         	reworked sphenoliths, discoasterids

  IR	                 	                 	                  	NN21          	190	1173	A	  4	H	CC	  36.00	     36.4800	nannos   	Nannofossils                                 	C              	M                 	                      	                        	                      	                      	                          	                       	                          	R0                                         	                         	                      	                     	                       	                  	                     	                           	                      	F                    	               	                                           	                     	                 	                 	                    	R1                   	                        	                 	                                 	C                     	                  	                  	                      	                          	                        	C                    	                      	                 	                   	                    	                  	                   	                    	                    	                   	                           	                      	                    	                     	                      	                       	                        	                     	                   	                   	                     	                            	                   	                      	                 	                    	                       	R                     	F1                     	                     	                       	                         	                  	                                    	                     	                       	                   	R0                   	                                   	                     	                                    	R0                   	A                    	C                     	                         	                   	                                	                           	                      	                  	C                     	                  	                       	                                    	F1                   	                          	                           	                          	                  	D                	                  	R                        	reworked reticulofenstrids

  IR	                 	                 	                  	NN21          	190	1173	A	  5	H	CC	  17.00	     45.7200	nannos   	Nannofossils                                 	C              	M                 	                      	                        	                      	                      	                          	                       	                          	                                           	                         	                      	                     	                       	                  	                     	                           	                      	F                    	               	                                           	                     	                 	                 	                    	                     	                        	                 	                                 	C                     	                  	                  	                      	                          	R                       	C                    	                      	                 	                   	                    	                  	                   	                    	                    	                   	                           	                      	                    	                     	                      	                       	                        	                     	                   	                   	                     	                            	                   	                      	F                	                    	                       	F                     	F                      	                     	                       	                         	                  	                                    	                     	                       	                   	                     	                                   	                     	                                    	                     	A                    	C                     	                         	                   	                                	                           	                      	                  	C                     	                  	                       	                                    	R                    	                          	R                          	                          	                  	D                	                  	                         	reworked reticulofenstrids
