Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Thalassionema nitzschioides var. nitzschioides	Cyclotella spp.	Coscinodiscus radiatus	Chaetoceros spp. (resting spores)	X Phytoliths diff. shapes	Skeletonema costatum	Rhizosolenia setigera/pungens	Rhizosolenia bergonii	Nitzschia marina	Ditylum brightwelli	Coscinodiscus spp.	Azpeitia nodulifera	Actinoptychus senarius	Actinocyclus curvatulus	Thalassiothrix spp. (incl. Lioloma)	Stephanopyxis spore (apiculata)	Silicoflagellates (all taxa)	Pseudoeunotia doliolus	Opephora sp.	Dimeregramma sp.	Delphineis surirella var. australis	Paralia sulcata	Hemidiscus cuneiformis	Aulacoseira granulata/islandica	Comment



  IR	                 	                 	                  	              	175	1078	A	  5	H	 2	 126.00	     38.7900	Lange    	Diatoms                                      	R              	P                 	                                              	5              	                      	1                                	                         	                    	                             	                     	                	                   	                  	                   	                      	                       	+                                  	                               	                            	                      	            	                	                                   	               	                      	                               	a counted= 27.9 mm2 *light layer freshwater input

  IR	                 	                 	                  	              	175	1078	A	  5	H	 2	 127.50	     38.8050	Lange    	Diatoms                                      	R              	P                 	                                              	               	                      	                                 	                         	                    	                             	                     	                	                   	                  	                   	                      	                       	3                                  	                               	                            	                      	            	2               	                                   	               	                      	                               	a counted= 27.9 mm2 *dark layer

  IR	                 	                 	                  	              	175	1078	A	  5	H	 2	 129.50	     38.8250	Lange    	Diatoms                                      	R              	P                 	3                                             	22             	                      	1                                	                         	                    	                             	                     	                	                   	                  	3                  	                      	1                      	                                   	                               	                            	                      	            	                	                                   	2              	                      	1                              	a counted= 27.9 mm2 * light layer *river input

  IR	                 	                 	                  	              	175	1078	A	  5	H	 2	 132.00	     38.8500	Lange    	Diatoms                                      	R              	P                 	                                              	5              	                      	                                 	                         	                    	                             	                     	                	                   	                  	                   	1                     	                       	1                                  	                               	                            	                      	            	                	                                   	1              	                      	1                              	a counted= 27.9 mm2 *dark layer *river influence

  IR	                 	                 	                  	              	175	1078	A	  5	H	 2	 139.50	     38.9250	Lange    	Diatoms                                      	R              	P                 	                                              	3              	                      	6                                	                         	                    	                             	                     	                	                   	                  	+                  	                      	                       	1                                  	                               	1                           	                      	            	                	                                   	1              	+                     	                               	a counted= 27.9 mm2 *light layer

  IR	                 	                 	                  	              	175	1078	A	  5	H	 2	 143.00	     38.9600	Lange    	Diatoms                                      	R              	P                 	                                              	2              	                      	                                 	                         	                    	                             	                     	                	                   	                  	1                  	                      	                       	1                                  	                               	                            	1                     	            	1               	1                                  	               	                      	                               	a counted= 27.9 mm2 *dark layer

  IR	                 	                 	                  	              	175	1078	A	  5	H	 3	   4.00	     39.0700	Lange    	Diatoms                                      	F              	P                 	5                                             	5              	1                     	7                                	                         	                    	                             	                     	3               	3                  	                  	8                  	3                     	                       	1                                  	1                              	2                           	1                     	1           	                	                                   	               	                      	                               	a counted= 16.74 mm2 *light layer

  IR	                 	                 	                  	              	175	1078	A	  5	H	 3	   7.00	     39.1000	Lange    	Diatoms                                      	F              	MP                	16                                            	1              	                      	114                              	+                        	1                   	1                            	7                    	1               	2                  	1                 	+                  	+                     	+                      	                                   	                               	                            	                      	            	                	                                   	               	                      	                               	a counted= 16.74 mm2 *dark layer

  IR	                 	                 	                  	              	175	1078	A	  9	X	CC	   0.00	     70.8900	Lange    	Diatoms                                      	T              	P                 	1                                             	6              	1                     	1                                	                         	                    	                             	                     	                	                   	                  	                   	                      	                       	                                   	                               	                            	                      	            	                	                                   	               	                      	                               	no diats in 63 ?m fraction smear shows freshwater input

