Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Oridorsalis umbonatus	Martinottiella communis	Uvigerina peregrina	Uvigerina hispida	Cassidulina californica	Reophax sp.	Pyrgo sp.	Cassidulina translucens	Globobulimina pacifica	Globocassidulina subglobosa	Eponides healdi	Epistominella pacifica	Dentalina spp.	Bulimina subacuminata	Cibicides lobatulus	Quinqueloculina sp.	Plectofrondicularia spp.	Globobulimina affinis	Elphidium excavatum f. clavatum	Cibicidoides wuellerstorfi	Bulimina spp.	Gyroidina spp.	Cibicides spp.	Cassidulina norcrossi	Bolivina spissa	Uvigerina senticosa	Pullenia salisburyi	Cassidulina minuta	Cassidulinoides bradyi	Bulimina striata mexicana	Uvigerina juncea	Calcareous sp. indeterminate	Nodosaria spp.	Buliminella subfusiformis	Bulimina subcalva	Globobulimina auriculata	Comment



  SR	                 	                 	                  	              	146	 889	B	  3	R	CC	   7.00	    218.1400	Zellers  	Benthic Foraminifers                         	               	M                 	                     	                       	R                  	                 	                       	           	         	R                      	                      	                           	               	R                     	S             	                     	                   	                   	                        	                     	                               	                          	             	              	              	                     	               	                   	                   	                  	                      	                         	                	                            	              	                         	                 	                        	from Leg 146 SR; Ch 5; Table 3; p. 96

  SR	                 	                 	                  	              	146	 889	B	  4	R	CC	   0.00	    228.1400	Zellers  	Benthic Foraminifers                         	               	M                 	                     	                       	                   	                 	                       	           	         	R                      	R                     	                           	               	R                     	              	                     	                   	                   	                        	                     	                               	                          	             	              	S             	C                    	S              	                   	                   	                  	                      	                         	R               	                            	              	                         	                 	R                       	from Leg 146 SR; Ch 5; Table 3; p. 96

  SR	                 	                 	                  	              	146	 889	B	  5	R	CC	   0.00	    235.1700	Zellers  	Benthic Foraminifers                         	               	G                 	C                    	                       	C                  	                 	                       	           	         	                       	R                     	                           	               	A                     	R             	R                    	                   	                   	S                       	                     	                               	                          	             	S             	S             	C                    	C              	                   	                   	S                 	                      	S                        	                	                            	S             	R                        	S                	                        	from Leg 146 SR; Ch 5; Table 3; p. 96

  SR	                 	                 	                  	              	146	 889	B	  6	R	CC	  13.00	    248.1400	Zellers  	Benthic Foraminifers                         	               	G                 	                     	                       	R                  	                 	                       	           	         	                       	R                     	                           	               	A                     	              	                     	                   	                   	                        	                     	                               	                          	             	              	S             	                     	S              	                   	                   	                  	                      	                         	R               	R                           	              	                         	                 	                        	from Leg 146 SR; Ch 5; Table 3; p. 96

  SR	                 	                 	                  	              	146	 889	B	  7	R	CC	  12.00	    260.1700	Zellers  	Benthic Foraminifers                         	               	G                 	S                    	                       	C                  	                 	                       	           	         	                       	                      	                           	               	C                     	              	                     	                   	                   	                        	                     	S                              	                          	             	              	              	R                    	               	                   	                   	                  	R                     	R                        	                	                            	              	                         	                 	                        	from Leg 146 SR; Ch 5; Table 3; p. 96

