Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Orbulina universa,Globorotalia puncticulata,Globorotalia decoraperta,Globorotalia cf. Gr. continuosa,Globigerina falconensis,Globigerina bulloides,Neogloboquadrina pachyderma (dextral),Neogloboquadrina humerosa,Globorotalia scitula,Globorotalia crassula,Globorotalia crassaformis,Globigerinita glutinata,Globigerina apertura,"Neogloboquadrina sp. ""rounded""",Neogloboquadrina asanoi,Globorotalia hirsuta,Globorotalia inflata,Globigerina quinqueloba,Neogloboquadrina pachyderma (sinistral),"Neogloboquadrina pachyderma ""rounded""","Neogloboquadrina pachyderma ""5 chambers""",Globigerina umbilicata,Globorotaloides hexagona,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,N22               ,N23           ,167,1020,B,  1,H,CC,  28.00,      7.7800,Kennett  ,Planktonic Foraminifers                      ,A              ,G                 ,                 ,                         ,                        ,                               ,                       ,A                    ,                                     ,                         ,C                   ,                     ,                         ,F                      ,                    ,                              ,                       ,                    ,                    ,A                      ,A                                      ,                                     ,                                        ,A                     ,                        ,from IR. Ch 14. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,N22               ,N23           ,167,1020,B,  2,H,CC,  11.00,     16.6100,Kennett  ,Planktonic Foraminifers                      ,A              ,G                 ,R                ,                         ,                        ,                               ,                       ,A                    ,                                     ,                         ,F                   ,                     ,                         ,                       ,                    ,                              ,                       ,                    ,                    ,A                      ,A                                      ,                                     ,                                        ,A                     ,R                       ,from IR. Ch 14. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,N22               ,N23           ,167,1020,B,  3,H,CC,  39.00,     27.2600,Kennett  ,Planktonic Foraminifers                      ,C              ,G                 ,                 ,                         ,                        ,                               ,                       ,A                    ,A                                    ,                         ,F                   ,                     ,                         ,F                      ,                    ,                              ,                       ,                    ,                    ,                       ,A                                      ,                                     ,                                        ,A                     ,                        ,from IR. Ch 14. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,N22               ,N23           ,167,1020,B,  4,H,CC,  35.00,     36.8300,Kennett  ,Planktonic Foraminifers                      ,C              ,G                 ,                 ,                         ,                        ,                               ,                       ,A                    ,                                     ,                         ,R                   ,                     ,                         ,                       ,                    ,                              ,                       ,                    ,                    ,A                      ,A                                      ,                                     ,                                        ,                      ,                        ,from IR. Ch 14. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
