Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Triquetrorhabdulus striatus	Triquetrorhabdulus rugosus	Syracosphaera pulchra	Sphenolithus spp.	Sphenolithus abies/neoabies	Reticulofenestra spp. (small - medium)	Pontosphaera spp.	Helicosphaera carteri	Florisphaera profunda	Discoaster variabilis	Discoaster surculus	Discoaster quinqueramus	Discoaster pentaradiatus	Discoaster brouweri	Discoaster berggrenii	Coronocyclus nitescens	Ceratolithus cristatus	Calcidiscus macintyrei	Calcidiscus leptoporus	Amaurolithus delicatus	Amaurolithus amplificus	Umbilicosphaera sibogae	Reticulofenestra pseudoumbilicus	Pseudoemiliania lacunosa	Helicosphaera sellii	Rhabdosphaera clavigera	Discoaster neorectus	Ceratolithus armatus	Ceratolithus acutus	Amaurolithus primus	Amaurolithus tricorniculatus	Discoaster triradiatus	Oolithotus antillarum	Discoaster asymmetricus	Gephyrocapsa spp. (small)	Discoaster tamalis	Reticulofenestra minutula	Reticulofenestra minuta	Reticulofenestra ampla	Dictyococcites productus	Coccolithus pelagicus	Scapholithus fossilis	Pontosphaera japonica	Discoaster blackstockae	Syracosphaera lamina	Helicosphaera pavimentum	Pontosphaera discopora	Helicosphaera hyalina	Gephyrocapsa margerelii	Helicosphaera wallichii	Gephyrocapsa oceanica	Gephyrocapsa caribbeanica	Reticulofenestra asanoi	Helicosphaera neogranulata	Discosphaera tubifera	Umbellosphaera irregularis	Helicosphaera inversa	Umbellosphaera tenuis	Emiliania huxleyi	Syracosphaera nodosa	Neosphaera coccolithomorpha	Comment



  IR	Pleistocene      	Pleistocene      	NN21B             	NN21B         	184	1143	B	  1	H	CC	  35.00	      5.3300	nannos   	Nannofossils                                 	A              	G                 	                           	                          	R                    	                 	                           	                                      	                 	                     	D                    	                     	                   	                       	                        	                   	                     	                      	R                     	                      	F                     	                      	                       	F                      	                                	                        	                    	R                      	                    	                    	                   	                   	                            	                      	R                    	                       	R                        	                  	                         	                       	                      	F                       	                     	R                    	                     	                       	                    	                        	                      	                     	                       	R                      	C                    	R                        	                       	                          	                     	R                         	                     	                     	A                	                    	                           	       

  IR	Pleistocene      	Pleistocene      	NN21B             	NN21B         	184	1143	B	  2	H	CC	  15.00	     14.9700	nannos   	Nannofossils                                 	A              	G                 	                           	                          	C                    	                 	                           	                                      	                 	F                    	D                    	                     	                   	                       	                        	                   	                     	                      	                      	                      	C                     	                      	                       	F                      	                                	                        	                    	C                      	                    	                    	                   	                   	                            	                      	F                    	                       	A                        	                  	                         	                       	                      	C                       	                     	F                    	                     	                       	R                   	F                       	R                     	R                    	                       	R                      	A                    	F                        	                       	                          	R                    	F                         	R                    	R                    	C                	R                   	F                          	       

  IR	Pleistocene      	Pleistocene      	NN21B             	NN21B         	184	1143	B	  3	H	CC	  17.00	     24.7900	nannos   	Nannofossils                                 	A              	G                 	                           	                          	F                    	                 	                           	                                      	                 	F                    	D                    	                     	                   	                       	                        	                   	                     	                      	                      	                      	F                     	                      	                       	                       	                                	                        	                    	C                      	                    	                    	                   	                   	                            	                      	C                    	                       	A                        	                  	                         	                       	                      	C                       	                     	F                    	                     	                       	                    	F                       	                      	F                    	                       	                       	A                    	C                        	                       	                          	R                    	R                         	                     	R                    	F                	                    	                           	       

  IR	Pleistocene      	Pleistocene      	NN19b             	NN19b         	184	1143	B	  4	H	CC	  16.00	     33.9300	nannos   	Nannofossils                                 	A              	G                 	                           	                          	F                    	                 	                           	                                      	                 	F                    	D                    	                     	                   	                       	                        	                   	                     	                      	R                     	                      	F                     	                      	                       	F                      	                                	C                       	                    	F                      	                    	                    	                   	                   	                            	                      	R                    	                       	A                        	                  	R                        	R                      	                      	C                       	                     	R                    	                     	                       	                    	R                       	                      	                     	C                      	                       	C                    	C                        	                       	                          	                     	R                         	R                    	                     	                 	                    	                           	       
