Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sphenolithus abies,Reticulofenestra minutula,Reticulofenestra minuta,Cyclolithella cf. C. annulla,Calcidiscus leptoporus,Helicosphaera carteri,Discolithina/Pontosphaera sp.,Discoaster quinqueramus,Coccolithus pelagicus,Gephyrocapsa sp. (small),Calcidiscus tropicus,Scapholithus fossilis,Rhabdosphaera clavigera,Reticulofenestra pseudoumbilicus,Helicosphaera parallela,Discoaster bergenii,Amaurolithus primus,Discoaster variabilis,Discoaster surculus,Discoaster pentaradiatus,Discoaster brouweri,Calcidiscus macintyrei,Helicosphaera sellii,Florisphaera sp.,Syracosphaera pulchra,Scyphosphaera pulcherrima,Amaurolithus tricorniculatus,Pseudoemiliania lacunosa,Discolithina japonica,Ceratolithus rugosus,Discoaster asymmetricus,Discosphaera tubifera,Hayaster perplexus,Oolithotus antillarum,Scyphosphaera procera,Crenalithus sp.,Umbilicosphaera spp.,Scyphosphaera apsteinii,Discoaster tamalis,Scyphosphaera sp.,Gephyrocapsa oceanica s.l.,Gephyrocapsa caribbeanica,Syracosphaera quadrilaminata,Syracosphaera sp.,Umbellosphaera irregularis,Thorosphaera flabellata,Reticulofenestra sp.,Umbellosphaera tenuis,Emiliania huxleyi,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN15              ,              ,133, 815,A,  1,H, 1,  35.00,      0.3500,Gartner  ,Nannofossils                                 ,A              ,M                 ,                  ,                         ,                       ,                            ,C                     ,F                    ,                             ,                       ,                     ,AA                      ,                    ,R                    ,VR                     ,                                ,                       ,                   ,                   ,                     ,                   ,                        ,                   ,                      ,                    ,A               ,F                    ,                         ,                            ,                        ,                     ,                    ,                       ,C                    ,                  ,VR                   ,                     ,               ,C                   ,                       ,                  ,                 ,A                         ,F                        ,                            ,R                ,VR                        ,C                      ,R                   ,VR                   ,AA               ,from ODP 133 SR Chapter 1 Figure 7 p 9 & Table 1 pp 10-13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN14b             ,              ,133, 815,A,  1,H, 2,  35.00,      1.8500,Gartner  ,Nannofossils                                 ,V              ,P                 ,                  ,                         ,                       ,                            ,F                     ,VR                   ,                             ,                       ,                     ,AA                      ,                    ,                     ,F                      ,                                ,                       ,                   ,                   ,                     ,                   ,                        ,                   ,                      ,                    ,                ,VR                   ,                         ,                            ,                        ,                     ,                    ,                       ,                     ,                  ,                     ,                     ,               ,F                   ,                       ,                  ,                 ,                          ,AA                       ,                            ,                 ,                          ,R                      ,                    ,VR                   ,                 ,from ODP 133 SR Chapter 1 Figure 7 p 9 & Table 1 pp 10-13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN14a             ,              ,133, 815,A,  1,H, 3,  35.00,      3.3500,Gartner  ,Nannofossils                                 ,V              ,P                 ,                  ,                         ,                       ,                            ,VR                    ,R                    ,                             ,                       ,                     ,F                       ,                    ,                     ,                       ,                                ,                       ,                   ,                   ,                     ,                   ,                        ,                   ,                      ,                    ,C               ,R                    ,                         ,                            ,R                       ,                     ,                    ,                       ,VR                   ,                  ,                     ,                     ,               ,F                   ,                       ,                  ,                 ,F                         ,AA                       ,                            ,                 ,VR                        ,VR                     ,                    ,                     ,                 ,from ODP 133 SR Chapter 1 Figure 7 p 9 & Table 1 pp 10-13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN14a             ,              ,133, 815,A,  1,H, 4,  35.00,      4.8500,Gartner  ,Nannofossils                                 ,A              ,P                 ,                  ,                         ,                       ,                            ,R                     ,R                    ,                             ,                       ,                     ,                        ,                    ,VR                   ,VR                     ,                                ,                       ,                   ,                   ,                     ,                   ,                        ,                   ,                      ,                    ,VR              ,VR                   ,                         ,                            ,R                       ,                     ,                    ,                       ,VR                   ,                  ,                     ,                     ,               ,C                   ,                       ,                  ,                 ,F                         ,AA                       ,                            ,VR               ,VR                        ,R                      ,                    ,                     ,                 ,from ODP 133 SR Chapter 1 Figure 7 p 9 & Table 1 pp 10-13
