Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Neogloboquadrina pachyderma (sinistral),Neogloboquadrina pachyderma (dextral),Globigerina quinqueloba,Globigerina bulloides,Planktonic spp. indeterminate,Globorotalia scitula,Globigerinita glutinata,Globigerina umbilicata,Neogloboquadrina dutertrei,Globorotalia inflata,Orbulina universa,Globorotalia bermudezi,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CD1-7             ,              ,146, 888,B,  1,H,CC,   9.00,      5.3100,Zellers  ,Planktonic Foraminifers                      ,               ,G                 ,28                                     ,2                                    ,                       ,20                   ,                             ,1                   ,                       ,                      ,                          ,                    ,                 ,                      ,from Leg 146 SR; Ch 5; Table 1; p. 82-90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CD1-7             ,              ,146, 888,B,  2,H, 1, 135.00,      6.8500,Zellers  ,Planktonic Foraminifers                      ,               ,G                 ,29                                     ,13                                   ,10                     ,21                   ,1                            ,1                   ,1                      ,                      ,                          ,                    ,                 ,                      ,from Leg 146 SR; Ch 5; Table 1; p. 82-90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CD1-7             ,              ,146, 888,B,  2,H, 5, 133.00,     12.8300,Zellers  ,Planktonic Foraminifers                      ,               ,G                 ,5                                      ,                                     ,                       ,6                    ,2                            ,                    ,                       ,                      ,                          ,                    ,                 ,                      ,from Leg 146 SR; Ch 5; Table 1; p. 82-90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CD1-7             ,              ,146, 888,B,  2,H, 6, 135.00,     14.3500,Zellers  ,Planktonic Foraminifers                      ,               ,G                 ,51                                     ,7                                    ,10                     ,145                  ,                             ,1                   ,3                      ,8                     ,                          ,                    ,                 ,                      ,from Leg 146 SR; Ch 5; Table 1; p. 82-90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CD1-7             ,              ,146, 888,B,  2,H,CC,  23.00,     15.1100,Zellers  ,Planktonic Foraminifers                      ,               ,G                 ,12                                     ,6                                    ,                       ,4                    ,                             ,1                   ,                       ,                      ,                          ,                    ,                 ,                      ,from Leg 146 SR; Ch 5; Table 1; p. 82-90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CD8               ,              ,146, 888,B,  3,H, 1,  14.00,     15.1400,Zellers  ,Planktonic Foraminifers                      ,               ,G                 ,37                                     ,2                                    ,3                      ,53                   ,                             ,                    ,                       ,                      ,                          ,                    ,                 ,                      ,from Leg 146 SR; Ch 5; Table 1; p. 82-90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
