Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Umbilicosphaera spp.,Syracosphaera spp.,Rhabdosphaera stylifera,Rhabdosphaera clavigera,Reticulofenestra spp. (small - medium),Pseudoemiliania lacunosa,Oolithotus fragilis,Helicosphaera spp.,Hayaster perplexus,Gephyrocapsa spp. (small),Emiliania ovata,Discoaster tamalis (grainy),Discoaster surculus (grainy),Discoaster spp. (fragments),Discoaster spp. (6 rays),Discoaster spp. (5 rays),Discoaster pentaradiatus (grainy),Discoaster ono,Discoaster brouweri (grainy),Discoaster asymmetricus (grainy),Dictyococcites productus,Cycloperfolithus carlae,Cyclolithus annulus,Coccolithus pataecus,Calcidiscus macintyrei,Calcidiscus leptoporus,Triquetrorhabdulus rugosus,Helicosphaera sellii,Helicosphaera kamptneri,Discoaster variabilis,Discoaster triradiatus,Discoaster tamalis,Discoaster surculus,Discoaster stellulus,Discoaster sp. A,Discoaster pentaradiatus,Discoaster brouweri,Discoaster blackstockae,Discoaster asymmetricus,Discoaster archipelagoensis,Coccolithus pelagicus,Ceratolithus cristatus,Discoaster pentaradiatus (fragments),Ceratolithus spp.,Thoracosphaera spp.,Scyphosphaera sp. (fragment),Scapholithus fossilis,Pontosphaera spp.,Helicosphaera hyalina,Discoaster quadramus,Discoaster intercalaris,Thoracosphaera saxea,Sphenolithus verensis,Sphenolithus neoabies,Sphenolithus abies,Scyphosphaera apsteinii,Reticulofenestra pseudoumbilicus,Ceratolithus rugosus,Hayaster perplexus fr.,Scyphosphaera pulcherrima,Holodiscolithus spp.,Gephyrocapsa oceanica,Gephyrocapsa caribbeanica,Pontosphaera japonica,Scyphosphaera galeana,Ceratolithus telesmus,Amaurolithus delicatus,Scyphosphaera spp.,Thoracosphaera granifera,Helicosphaera pavimentum,Pontosphaera indooceanica,Emiliania huxleyi,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,Holocene         ,CN15              ,              ,135, 835,A,  1,H, 1,  35.00,      0.3500,Styzen   ,Nannofossils                                 ,               ,                  ,L                   ,L                 ,L                      ,L                      ,                                      ,R                       ,R                  ,                  ,                  ,W                        ,               ,                           ,                            ,R                          ,                        ,                        ,                                 ,              ,                            ,                                ,                        ,                       ,M                  ,                    ,                      ,L                     ,                          ,                    ,C                      ,                     ,                      ,                  ,                   ,                    ,                ,                        ,                   ,                       ,                       ,                           ,                     ,S                     ,                                    ,                 ,                   ,R                           ,C                    ,R                ,C                    ,                    ,                       ,C                   ,                     ,                     ,                  ,                       ,                                ,                    ,                      ,                         ,R                   ,C                    ,M                        ,S                    ,                     ,R                    ,                      ,                  ,                        ,M                       ,R                        ,X                ,from ODP Leg 135 Chapter 13 Table 4 p. 196-198
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN14              ,              ,135, 835,A,  2,H, 4,  37.00,     14.3700,Styzen   ,Nannofossils                                 ,               ,                  ,                    ,F                 ,M                      ,R                      ,L                                     ,V                       ,                   ,                  ,                  ,W                        ,A              ,                           ,                            ,W                          ,                        ,                        ,                                 ,              ,                            ,                                ,                        ,F                      ,M                  ,                    ,C                     ,M                     ,                          ,                    ,M                      ,                     ,R                     ,R                 ,C                  ,                    ,                ,W                       ,A                  ,F                      ,F                      ,                           ,                     ,                      ,                                    ,                 ,                   ,F                           ,                     ,R                ,                     ,                    ,                       ,                    ,                     ,                     ,                  ,                       ,                                ,                    ,                      ,                         ,                    ,                     ,                         ,                     ,                     ,                     ,                      ,                  ,                        ,                        ,                         ,                 ,from ODP Leg 135 Chapter 13 Table 4 p. 196-198
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN14              ,              ,135, 835,A,  3,H, 7,  18.00,     28.1800,Styzen   ,Nannofossils                                 ,               ,                  ,C                   ,M                 ,F                      ,F                      ,S                                     ,C                       ,F                  ,                  ,F                 ,W                        ,L              ,                           ,                            ,M                          ,                        ,                        ,                                 ,              ,                            ,                                ,                        ,R                      ,R                  ,                    ,                      ,C                     ,                          ,                    ,S                      ,                     ,R                     ,R                 ,R                  ,                    ,                ,F                       ,R                  ,                       ,R                      ,                           ,                     ,                      ,                                    ,                 ,                   ,                            ,                     ,R                ,                     ,                    ,                       ,S                   ,                     ,                     ,                  ,                       ,                                ,                    ,                      ,                         ,                    ,M                    ,F                        ,                     ,                     ,                     ,                      ,                  ,                        ,R                       ,                         ,                 ,from ODP Leg 135 Chapter 13 Table 4 p. 196-198
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN14              ,              ,135, 835,A,  4,H, 5,  52.00,     35.0200,Styzen   ,Nannofossils                                 ,               ,                  ,                    ,C                 ,S                      ,S                      ,L                                     ,V                       ,S                  ,                  ,R                 ,X                        ,V              ,                           ,                            ,X                          ,                        ,                        ,                                 ,R             ,                            ,                                ,                        ,S                      ,F                  ,                    ,M                     ,L                     ,                          ,R                   ,C                      ,                     ,                      ,F                 ,M                  ,                    ,                ,W                       ,A                  ,                       ,R                      ,                           ,                     ,                      ,                                    ,                 ,                   ,                            ,                     ,                 ,                     ,                    ,                       ,                    ,                     ,                     ,                  ,                       ,                                ,                    ,                      ,                         ,                    ,F                    ,R                        ,                     ,                     ,                     ,                      ,                  ,                        ,                        ,                         ,                 ,from ODP Leg 135 Chapter 13 Table 4 p. 196-198
