Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Syracosphaera spp.,Pseudoemiliania lacunosa,Gephyrocapsa oceanica,Gephyrocapsa caribbeanica,Emiliania huxleyi,Coccolithus pelagicus,Pontosphaera spp.,Helicosphaera carteri,Gephyrocapsa spp. (small),Calcidiscus leptoporus,Ceratolithus cristatus,Rhabdosphaera clavigera,Gephyrocapsa margerelii,Umbilicosphaera sibogae,Syracosphaera pulchra,Umbellosphaera spp.,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,NN21              ,NN21          ,195,1202,D, 15,X,CC,  15.00,    133.7200,cur      ,Nannofossils                                 ,F              ,G                 ,F                 ,                        ,C                    ,                         ,F                ,                     ,                 ,                     ,F                        ,                      ,                      ,R                      ,                       ,                       ,                     ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,NN21              ,NN21          ,195,1202,D, 17,X,CC,  14.00,    152.7000,cur      ,Nannofossils                                 ,R              ,G                 ,                  ,                        ,F                    ,                         ,C                ,                     ,                 ,                     ,                         ,                      ,                      ,                       ,                       ,                       ,                     ,R                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,NN21              ,NN21          ,195,1202,D, 18,X,CC,  17.00,    161.7100,cur      ,Nannofossils                                 ,F              ,G                 ,R                 ,                        ,F                    ,                         ,F                ,                     ,                 ,                     ,F                        ,                      ,                      ,R                      ,                       ,                       ,                     ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,NN21              ,NN21          ,195,1202,D, 19,X,CC,  16.00,    171.1300,cur      ,Nannofossils                                 ,F              ,G                 ,R                 ,                        ,F                    ,                         ,C                ,                     ,                 ,                     ,                         ,R                     ,                      ,R                      ,                       ,R                      ,                     ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,NN21              ,NN21          ,195,1202,D, 20,X,CC,  43.00,    180.1100,cur      ,Nannofossils                                 ,F              ,G                 ,C                 ,                        ,C                    ,                         ,A                ,                     ,                 ,R                    ,                         ,R                     ,                      ,                       ,                       ,R                      ,                     ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,NN21              ,NN21          ,195,1202,D, 21,X,CC,  47.00,    188.7200,cur      ,Nannofossils                                 ,C              ,G                 ,R                 ,R                       ,F                    ,                         ,C                ,                     ,R                ,R                    ,                         ,                      ,                      ,R                      ,                       ,R                      ,R                    ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
