Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sphaeroidinellopsis seminulina,Pulleniatina primalis,Neogloboquadrina pachyderma (dextral),Neogloboquadrina humerosa,Globorotalia scitula,Globorotalia puncticulata,Globorotalia miocenica,Globorotalia menardii,Globorotalia crassula,Globorotalia crassaformis crassaformis,Globoquadrina altispira,Globigerinoides trilobus,Globigerinoides sacculifer,Globigerinoides ruber (white),Globigerinoides obliquus obliquus,Globigerinita glutinata,Globigerina decoraperta,Globigerina apertura,Orbulina universa,Globorotalia pertenuis,Globigerinoides obliquus extremus,Globigerinoides fistulosus,Globigerinoides conglobatus,Globigerinella aequilateralis,Globigerina bulloides,Sphaeroidinella dehiscens,Globorotaloides hexagona,Neogloboquadrina pseudopima,Globorotalia exilis,Pulleniatina praecursor,Pulleniatina obliquiloculata,Globorotalia triangula,Neogloboquadrina dutertrei,Globorotalia inflata,Globigerina rubescens,Globigerina falconensis,Globorotalia truncatulinoides,Globorotalia tosaensis,Globorotalia tumida,Neogloboquadrina acostaensis (dextral),Globorotalia margaritae,Globorotalia limbata,Globorotalia crassaformis viola,Globigerinoides ruber (pink),Globigerinoides tenellus,Beella digitata,Globorotalia tumida flexuosa,Globorotalia crassaformis hessi,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. truncatulinoides,              ,108, 663,A,  1,H,CC,   9.00,      4.7100,Weaver   ,Planktonic Foraminifers                      ,A              ,G                 ,                              ,                     ,R                                    ,                         ,R                   ,                         ,                      ,R                    ,                     ,R                                     ,                       ,F                       ,F                         ,R                            ,                                 ,R                      ,                       ,                    ,R                ,                      ,                                 ,                          ,R                          ,R                            ,R                    ,R                        ,R                       ,                           ,                   ,                       ,F                           ,                      ,C                         ,R                   ,R                    ,                       ,R                            ,                      ,C                  ,                                      ,                       ,                    ,                               ,R                           ,                        ,               ,F                           ,R                              ,from ODP Leg 108 SR Chapter 5 Table 11 p 85
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. truncatulinoides,              ,108, 663,A,  2,H,CC,   6.00,     14.1600,Weaver   ,Planktonic Foraminifers                      ,A              ,M                 ,                              ,                     ,F                                    ,                         ,R                   ,                         ,                      ,R                    ,                     ,R                                     ,                       ,R                       ,R                         ,R                            ,                                 ,R                      ,                       ,                    ,R                ,                      ,                                 ,                          ,R                          ,R                            ,R                    ,R                        ,R                       ,                           ,                   ,                       ,R                           ,                      ,A                         ,                    ,                     ,                       ,R                            ,                      ,C                  ,                                      ,                       ,                    ,                               ,R                           ,                        ,R              ,F                           ,                               ,from ODP Leg 108 SR Chapter 5 Table 11 p 85
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. truncatulinoides,              ,108, 663,A,  3,H,CC,   6.00,     23.8100,Weaver   ,Planktonic Foraminifers                      ,A              ,G                 ,                              ,                     ,F                                    ,                         ,R                   ,                         ,                      ,                     ,                     ,R                                     ,                       ,R                       ,F                         ,F                            ,R                                ,R                      ,                       ,                    ,R                ,                      ,                                 ,                          ,                           ,R                            ,R                    ,                         ,                        ,                           ,                   ,                       ,R                           ,                      ,A                         ,F                   ,R                    ,                       ,R                            ,                      ,R                  ,                                      ,                       ,                    ,                               ,R                           ,R                       ,R              ,                            ,                               ,from ODP Leg 108 SR Chapter 5 Table 11 p 85
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. truncatulinoides,              ,108, 663,A,  4,H,CC,  13.00,     33.1800,Weaver   ,Planktonic Foraminifers                      ,A              ,G                 ,                              ,                     ,F                                    ,                         ,R                   ,                         ,R                     ,                     ,                     ,R                                     ,R                      ,F                       ,F                         ,C                            ,                                 ,R                      ,R                      ,                    ,F                ,                      ,R                                ,                          ,R                          ,R                            ,F                    ,                         ,R                       ,                           ,R                  ,                       ,R                           ,                      ,F                         ,R                   ,                     ,                       ,R                            ,                      ,                   ,R                                     ,R                      ,R                   ,R                              ,R                           ,                        ,               ,                            ,                               ,from ODP Leg 108 SR Chapter 5 Table 11 p 85
