Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Globigerinita glutinata,Turborotalita quinqueloba,Neogloboquadrina cf. nana,Globorotalia scitula,Globigerina praebulloides,Globigerina bulloides,Globigerinoides ruber,Orbulina universa,Globigerinella obesa,Neogloboquadrina sp.,Globigerina ciperoensis,Neogloboquadrina pachyderma (sinistral),Neogloboquadrina continuosa,Neogloboquadrina atlantica (sinistral),Neogloboquadrina atlantica (dextral),Globoconella inflata,Neogloboquadrina asanoi,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,N. atlantica (sin.),              ,151, 909,C,  9,R, 1,  86.00,    163.1600,Spiegler ,Planktonic Foraminifers                      ,               ,P                 ,                       ,                         ,                         ,                    ,                         ,                     ,                     ,                 ,                    ,                    ,                       ,                                       ,                           ,R                                     ,                                    ,                    ,                       ,From Leg 151; Ch 8; Table 9; p. 162
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,N. atlantica (sin.),              ,151, 909,C, 10,R, 5,  43.00,    178.3300,Spiegler ,Planktonic Foraminifers                      ,               ,G                 ,                       ,                         ,                         ,                    ,                         ,                     ,                     ,                 ,                    ,                    ,                       ,                                       ,                           ,R                                     ,                                    ,                    ,R                      ,From Leg 151; Ch 8; Table 9; p. 162
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,N. atlantica (sin.),              ,151, 909,C, 11,R, 3,  60.00,    185.2000,Spiegler ,Planktonic Foraminifers                      ,               ,G                 ,                       ,                         ,                         ,                    ,                         ,                     ,                     ,                 ,                    ,                    ,                       ,                                       ,                           ,R                                     ,                                    ,                    ,                       ,From Leg 151; Ch 8; Table 9; p. 162
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,N. atlantica (sin.),              ,151, 909,C, 13,R, 1,  28.00,    201.0800,Spiegler ,Planktonic Foraminifers                      ,               ,P                 ,                       ,                         ,                         ,                    ,                         ,                     ,                     ,                 ,                    ,                    ,                       ,                                       ,                           ,                                      ,                                    ,R                   ,                       ,From Leg 151; Ch 8; Table 9; p. 162
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,N. atlantica (sin.),              ,151, 909,C, 13,R, 3,  28.00,    204.0800,Spiegler ,Planktonic Foraminifers                      ,               ,P                 ,                       ,                         ,                         ,                    ,                         ,                     ,                     ,                 ,                    ,R                   ,                       ,                                       ,                           ,                                      ,                                    ,                    ,                       ,From Leg 151; Ch 8; Table 9; p. 162
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
