Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Coscinodiscus spp.,Chaetoceros spp. (resting spores),Comment
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1079,A,  1,H,CC,  23.00,      5.2900,Lange    ,Diatoms                                      ,T              ,P                 ,                  ,1                                ,also checked 38?m fraction
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1079,A,  6,H,CC,  23.00,     53.1900,Lange    ,Diatoms                                      ,T              ,                  ,1                 ,                                 ,also checked 63? fraction
,,,,,,,,,,,,,,,,,,,
