Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Woodringina hornerstownensis	Woodringina claytonensis	Ventilabrella multicamerata	Rugoglobigerina rotundata	Rugoglobigerina milamensis	Rugoglobigerina hexacamerata	Pseudotextularia nuttalli	Pseudotextularia elegans	Pseudoguembelina excolata	Pseudoguembelina costulata	Praemurica inconstans	Parvularugoglobigerina eugubina	Parasubbotina pseudobulloides	Morozovella conicotruncata	Morozovella angulata	Heterohelix rajagopalani	Heterohelix globulosa	Heterohelix dentata	Globotruncanita stuartiformis	Globotruncanita stuarti	Globotruncanella petaloidea	Globotruncanella havanensis	Globigerinelloides subcarinatus	Gansserina gansseri	Abathomphalus intermedius	Parasubbotina varianta	Igorina albeari	Globanomalina chapmani	Morozovella velascoensis	Morozovella pasionensis	Morozovella occlusa	Morozovella subbotinae	Morozovella marginodentata	Morozovella gracilis	Morozovella acuta	Acarinina subsphaerica	Acarinina soldadoensis	Subbotina lozanoi	Subbotina inaequispira	Subbotina hagni	Morozovella caucasica	Morozovella aragonensis	Igorina broedermanni	Acarinina quetra	Acarinina primitiva	Acarinina pentacamerata	Acarinina bullbrooki	Sphaeroidinellopsis seminulina	Orbulina universa	Orbulina bilobata	Globoturborotalita nepenthes	Globorotalia plesiotumida	Globorotalia menardii	Globorotalia margaritae	Globorotalia limbata	Globorotalia challengeri	Globigerinoides ruber	Globigerinoides extremus	Globigerinoides conglobatus	Globigerina bulloides	Dentoglobigerina altispira	Sphaeroidinella dehiscens s.l.	Globorotalia conomiozea	Globorotalia conoidea	Globigerinoides trilobus	Globigerinoides sacculifer	Truncorotalia tosaensis	Truncorotalia crassaformis	Globorotalia tumida	Globorotalia puncticulata	Globorotalia crassula	Truncorotalia truncatulinoides	Neogloboquadrina pachyderma (dextral)	Neogloboquadrina humerosa	Neogloboquadrina dutertrei	Globorotalia inflata	Pulleniatina primalis	Pulleniatina obliquiloculata	Globorotalia hirsuta	Globigerinoides obliquus	Globigerinella aequilateralis	Comment

  IR	                 	                 	                  	              	198	1212	A	  5	H	CC	  30.00	     43.3700	planks   	Planktonic Foraminifers                      	F              	P                 	                            	                        	                           	                         	                          	                            	                         	                        	                         	                          	                     	                               	                             	                          	                    	                        	                     	                   	                             	                       	                           	                           	                               	                   	                         	                      	               	                      	                        	                       	                   	                      	                          	                    	                 	                      	                      	                 	                      	               	                     	                       	                    	                	                   	                       	                    	                              	                 	                 	                            	                         	                     	P                      	                    	P                       	R                    	                        	                           	R                    	R                         	F                             	F                      	R                    	                        	                          	P                      	F                         	R                  	R                        	+                    	                              	                                     	                         	                          	                    	                     	                            	                    	                        	                             	       

  IR	Early Pliocene   	Early Pliocene   	N19-N20           	N19-N20       	198	1212	A	  6	H	CC	  18.00	     49.3800	planks   	Planktonic Foraminifers                      	F              	P                 	                            	                        	                           	                         	                          	                            	                         	                        	                         	                          	                     	                               	                             	                          	                    	                        	                     	                   	                             	                       	                           	                           	                               	                   	                         	                      	               	                      	                        	                       	                   	                      	                          	                    	                 	                      	                      	                 	                      	               	                     	                       	                    	                	                   	                       	                    	F                             	                 	                 	                            	                         	                     	                       	                    	R                       	F                    	R                       	F                          	F                    	                          	F                             	A                      	F                    	F                       	F                         	                       	                          	                   	                         	                     	                              	                                     	                         	                          	                    	                     	                            	                    	                        	                             	       

  IR	                 	Late Miocene     	N17a              	N17a          	198	1212	A	  7	H	CC	  22.00	     57.3600	planks   	Planktonic Foraminifers                      	C              	M                 	                            	                        	                           	                         	                          	                            	                         	                        	                         	                          	                     	                               	                             	                          	                    	                        	                     	                   	                             	                       	                           	                           	                               	                   	                         	                      	               	                      	                        	                       	                   	                      	                          	                    	                 	                      	                      	                 	                      	               	                     	                       	                    	                	                   	                       	                    	F                             	R                	R                	F                           	F                        	F                    	R                      	R                   	R                       	F                    	F                       	R                          	R                    	F                         	                              	                       	                     	                        	                          	                       	                          	                   	                         	                     	                              	                                     	                         	                          	                    	                     	                            	                    	                        	                             	       

  IR	                 	Early Oligocene  	P9                	P9            	198	1212	A	  8	H	CC	  11.00	     66.4900	planks   	Planktonic Foraminifers                      	A              	M                 	                            	                        	                           	                         	                          	                            	                         	                        	                         	                          	                     	                               	                             	                          	                    	                        	                     	                   	                             	                       	                           	                           	                               	                   	                         	                      	               	                      	                        	                       	                   	+                     	                          	                    	                 	                      	F                     	+                	F                     	F              	F                    	F                      	F                   	F               	R                  	F                      	F                   	                              	                 	                 	                            	                         	                     	                       	                    	                        	                     	                        	                           	                     	                          	                              	                       	                     	                        	                          	                       	                          	                   	                         	                     	                              	                                     	                         	                          	                    	                     	                            	                    	                        	                             	       

  IR	                 	Early Eocene     	P6a               	P6a           	198	1212	A	  9	H	CC	   6.00	     75.7800	planks   	Planktonic Foraminifers                      	A              	G                 	                            	                        	                           	                         	                          	                            	                         	                        	                         	                          	                     	                               	                             	                          	                    	                        	                     	                   	                             	                       	                           	                           	                               	                   	                         	                      	               	                      	                        	                       	                   	R                     	F                         	A                   	F                	F                     	F                     	                 	                      	               	                     	                       	                    	                	                   	                       	                    	                              	                 	                 	                            	                         	                     	                       	                    	                        	                     	                        	                           	                     	                          	                              	                       	                     	                        	                          	                       	                          	                   	                         	                     	                              	                                     	                         	                          	                    	                     	                            	                    	                        	                             	       

  IR	                 	Late Paleocene   	P4a               	P4a           	198	1212	A	 10	H	CC	  11.00	     85.8800	planks   	Planktonic Foraminifers                      	F              	P                 	                            	                        	                           	                         	                          	                            	                         	                        	                         	                          	                     	                               	                             	R                         	                    	                        	                     	                   	                             	                       	                           	                           	                               	                   	                         	F                     	F              	                      	F                       	F                      	F                  	                      	                          	                    	                 	                      	                      	                 	                      	               	                     	                       	                    	                	                   	                       	                    	                              	                 	                 	                            	                         	                     	                       	                    	                        	                     	                        	                           	                     	                          	                              	                       	                     	                        	                          	                       	                          	                   	                         	                     	                              	                                     	                         	                          	                    	                     	                            	                    	                        	                             	       

  IR	                 	Late Paleocene   	P3b               	P3b           	198	1212	A	 11	H	CC	  15.00	     92.2000	planks   	Planktonic Foraminifers                      	A              	G                 	                            	                        	                           	                         	                          	                            	                         	                        	                         	                          	                     	                               	R                            	F                         	F                   	                        	                     	                   	                             	                       	                           	                           	                               	                   	                         	F                     	F              	F                     	                        	                       	                   	                      	                          	                    	                 	                      	                      	                 	                      	               	                     	                       	                    	                	                   	                       	                    	                              	                 	                 	                            	                         	                     	                       	                    	                        	                     	                        	                           	                     	                          	                              	                       	                     	                        	                          	                       	                          	                   	                         	                     	                              	                                     	                         	                          	                    	                     	                            	                    	                        	                             	       

  IR	                 	Maestrichtian    	KS31              	KS31          	198	1212	A	 12	H	CC	  14.00	     99.7900	planks   	Planktonic Foraminifers                      	R              	M                 	F                           	F                       	R                          	R                        	R                         	R                           	R                        	R                       	R                        	R                         	F                    	F                              	F                            	R                         	F                   	R                       	F                    	F                  	R                            	R                      	F                          	R                          	F                              	R                  	R                        	                      	               	                      	                        	                       	                   	                      	                          	                    	                 	                      	                      	                 	                      	               	                     	                       	                    	                	                   	                       	                    	                              	                 	                 	                            	                         	                     	                       	                    	                        	                     	                        	                           	                     	                          	                              	                       	                     	                        	                          	                       	                          	                   	                         	                     	                              	                                     	                         	                          	                    	                     	                            	                    	                        	                             	mix of K and P alpha

