Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Sphenolithus abies/neoabies	Reticulofenestra pseudoumbilica	Helicosphaera kamptneri	Discoaster variabilis	Discoaster surculus	Discoaster pentaradiatus	Discoaster neohamatus	Discoaster hamatus	Discoaster brouweri	Discoaster bollii	Catinaster calyculus	Calcidiscus leptoporus	Calcidiscus macintyrei	Discoaster neorectus	Discoaster loeblichii	Discoaster bellus	Reticulofenestra spp. small	Discoaster quinqueramus	Discoaster berggrenii	Triquetrorhabdulus rugosus	Amaurolithus delicatus	Amaurolithus amplificus	Amaurolithus tricorniculatus	Amaurolithus primus	Ceratolithus acutus	Syracosphaera pulchra	Scyphosphaera pulcherrima	Rhabdosphaera clavigera	Reticulofenestra doronicoides	Ceratolithus rugosus	Discoaster asymmetricus	Cyclolithella rotula	Rhabdosphaera stylifera	Discoaster tamalis	Coccolithus pelagicus	Pseudoemiliania lacunosa	Discolithina japonica	Helicosphaera sellii	Discoaster intercalaris	Discoaster triradiatus	Umbilicosphaera mirabilis	Gephyrocapsa spp.	Gephyrocapsa caribbeanica	Gephyrocapsa oceanica	Ceratolithus telesmus	Crenalithus radiatus	Umbilicosphaera sibogae	Thoracosphaera sp.	Emiliania huxleyi	Comment



  SR	Pleistocene      	                 	                  	              	108	 664	D	  1	H	 1	  14.00	      0.1400	Manivit  	Nannofossils                                 	A              	G                 	                           	                               	                       	                     	                   	                        	                     	                  	                   	                 	                    	F                     	                      	                    	                     	                 	                           	                       	                     	                          	                      	                       	                            	                   	                   	                     	                         	                       	                             	                    	                       	                    	                       	                  	                     	                        	                     	                    	                       	                      	F                        	F                	C                        	C                    	                     	                    	                       	                  	A                	from ODP Leg 108 SR Chapter 4 Table 10 p 54

  SR	Pleistocene      	                 	                  	              	108	 664	D	  1	H	 1	 139.00	      1.3900	Manivit  	Nannofossils                                 	A              	G                 	                           	                               	                       	                     	                   	                        	                     	                  	                   	                 	                    	F                     	                      	                    	                     	                 	                           	                       	                     	                          	                      	                       	                            	                   	                   	                     	                         	                       	                             	                    	                       	                    	                       	                  	                     	                        	                     	                    	                       	                      	F                        	C                	C                        	C                    	                     	                    	F                      	R                 	C                	from ODP Leg 108 SR Chapter 4 Table 10 p 54

  SR	Pleistocene      	                 	CN14a             	CN14b         	108	 664	D	  2	H	CC	  16.00	     12.1000	Manivit  	Nannofossils                                 	A              	G                 	                           	                               	F                      	                     	                   	                        	                     	                  	                   	                 	                    	F                     	                      	                    	                     	                 	                           	                       	                     	                          	                      	                       	                            	                   	                   	F                    	                         	F                      	                             	R                   	                       	                    	F                      	                  	                     	                        	R                    	                    	                       	                      	C                        	A                	A                        	A                    	                     	                    	                       	                  	                 	from ODP Leg 108 SR Chapter 4 Table 10 p 54

  SR	Pleistocene      	                 	CN14a             	CN14b         	108	 664	D	  3	H	 3	   3.00	     14.8300	Manivit  	Nannofossils                                 	A              	M                 	                           	                               	F                      	                     	                   	                        	                     	                  	                   	                 	                    	F                     	                      	                    	                     	                 	                           	                       	                     	                          	                      	                       	                            	                   	                   	R                    	                         	                       	                             	                    	                       	                    	F                      	                  	                     	R                       	R                    	                    	                       	                      	F                        	A                	A                        	A                    	                     	R                   	                       	                  	                 	from ODP Leg 108 SR Chapter 4 Table 10 p 54
