Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Praeorbulina transitoria,Globigerinoides trilobus,Globigerinoides sicanus,Globigerinoides diminutus,Globigerinoides subquadratus,Globigerinella praesiphonifera,Globigerina decoraperta,Sphaeroidinellopsis seminulina,Orbulina universa,Orbulina suturalis,Globoquadrina baroemoenensis,Globigerina nepenthes,Dentoglobigerina altispira altispira,Sphaeroidinellopsis kochi,Globoquadrina dehiscens,Globigerina druryi,Neogloboquadrina acostaensis,Globigerinoides ? extremus,Orbulina bilobata,Sphaeroidinellopsis paenedehiscens,Globigerinoides sacculifer,Pulleniatina primalis,Globorotalia multicamerata,Globorotalia menardii,Globorotalia tumida flexuosa,Globorotalia tumida,Globorotalia crassula,Globigerinoides conglobatus,Neogloboquadrina humerosa,Pulleniatina praecursor,Globigerinoides extremus,Sphaeroidinella dehiscens,Globorotalia crassaformis,Globigerinoides fistulosus,Globorotalia tosaensis tenuitheca,Globorotalia tosaensis,Globorotalia crassaformis ronda,Pulleniatina obliquiloculata,Globorotalia truncatulinoides,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,N22               ,              ,134, 832,B, 59,R, 1,  49.00,    702.4900,Perembo  ,Planktonic Foraminifers                      ,               ,G                 ,                        ,                        ,                       ,                         ,                            ,                              ,                       ,                              ,                 ,                  ,                            ,                     ,                                    ,                         ,                       ,                  ,                            ,                          ,                 ,                                  ,                          ,                     ,                          ,A                    ,A                           ,A                  ,                     ,C                          ,F                        ,                       ,C                       ,A                        ,A                        ,                          ,                                 ,                      ,A                              ,A                           ,                             ,from ODP Leg 134 SR Chapter 11 Table 1 p 250-253 & Figure 2 p 254
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,N22               ,              ,134, 832,B, 59,R, 1,  99.00,    702.9900,Perembo  ,Planktonic Foraminifers                      ,               ,G                 ,                        ,                        ,                       ,                         ,                            ,                              ,                       ,                              ,                 ,                  ,                            ,                     ,                                    ,                         ,                       ,                  ,                            ,                          ,                 ,                                  ,R                         ,                     ,                          ,A                    ,A                           ,A                  ,R                    ,C                          ,F                        ,                       ,C                       ,A                        ,A                        ,                          ,C                                ,C                     ,A                              ,A                           ,R                            ,from ODP Leg 134 SR Chapter 11 Table 1 p 250-253 & Figure 2 p 254
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,N22               ,              ,134, 832,B, 59,R, 2,  47.00,    703.9700,Perembo  ,Planktonic Foraminifers                      ,               ,G                 ,                        ,                        ,                       ,                         ,                            ,                              ,                       ,                              ,                 ,                  ,                            ,                     ,                                    ,                         ,                       ,                  ,                            ,                          ,                 ,                                  ,                          ,                     ,                          ,A                    ,A                           ,A                  ,                     ,                           ,                         ,                       ,C                       ,A                        ,A                        ,                          ,C                                ,C                     ,A                              ,A                           ,                             ,from ODP Leg 134 SR Chapter 11 Table 1 p 250-253 & Figure 2 p 254
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,N22               ,              ,134, 832,B, 59,R, 2,  99.00,    704.4900,Perembo  ,Planktonic Foraminifers                      ,               ,G                 ,                        ,                        ,                       ,                         ,                            ,                              ,                       ,                              ,                 ,                  ,                            ,                     ,                                    ,                         ,                       ,                  ,                            ,                          ,                 ,                                  ,                          ,                     ,                          ,A                    ,A                           ,A                  ,                     ,C                          ,F                        ,                       ,C                       ,A                        ,A                        ,                          ,C                                ,C                     ,A                              ,A                           ,R                            ,from ODP Leg 134 SR Chapter 11 Table 1 p 250-253 & Figure 2 p 254
