Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Trinacria excavata,Thalassiothrix spp.,Thalassiosira oliverana,Thalassiosira inura,Thalassiosira elliptipora,Thalassionema nitzschioides,Stephanopyxis turris,Stellarima microtrias,Rouxia leventerae,Rhizosolenia styliformis,Rhizosolenia sp. D,Rhizosolenia hebetata,Paralia sulcata,Hemiaulus spp.,Fragilariopsis sublinearis,Fragilariopsis obliquecostata,Fragilariopsis kerguelensis,Eucampia antarctica,Denticulopsis simonsenii,Denticulopsis praedimorpha,Coscinodiscus spp.,Arachnoidiscus spp.,Actinocyclus ingens,Actinocyclus actinochilus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,188,1165,A,  1,H, 1,  20.00,      0.2000,paleo    ,Diatoms                                      ,               ,                  ,                  ,+                  ,                       ,                   ,                         ,                           ,                    ,                     ,                 ,+                       ,+                 ,+                    ,               ,+             ,                          ,                             ,                           ,                   ,                        ,                          ,+                 ,+                  ,                   ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,188,1165,A,  1,H,CC,  11.00,      5.3300,paleo    ,Diatoms                                      ,R              ,P                 ,R                 ,R                  ,R                      ,R                  ,R                        ,R                          ,R                   ,R                    ,R                ,R                       ,R                 ,F                    ,R              ,R             ,R                         ,F                            ,F                          ,R                  ,R                       ,R                         ,R                 ,F                  ,R                  ,R                        ,mixed ages (<2.2 Ma)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
