Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Oridorsalis umbonatus,Nuttallides umbonifera,Melonis pompilioides,Gyroidinoides spp.,Globocassidulina subglobosa,Epistominella exigua,Eggerella bradyi,Pyrgo spp.,Pullenia bulloides,Melonis sp.,Melonis barleeanus,Fontbotia wuellerstorfi,Nodosaria spp.,Lagena spp.,Cassidulina crassa,Valvulineria laevigata,Uvigerina senticosa,Uvigerina peregrina,Uvigerina auberiana,Stilostomella spp.,Nonionella atlantica,Hoeglundina elegans,Globobulimina affinis,Gavelinopsis translucens,Elphidium spp.,Cibicidoides kullenbergi,Chilostomella oolina,Cassidulina carinata,Bulimina marginata,Bulimina gr. costata,Bulimina alazanensis,Bulimina aculeata,Brizalina subaenariensis,Bolivinita quadrilatera,Bolivina pseudopunctata,Bolivina paula,Pullenia spp.,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1063,A,  1,H,CC,  10.00,      5.2800,Poli     ,Benthic Foraminifers                         ,C              ,G                 ,R                    ,F                     ,R                   ,T                 ,T                          ,A                   ,-               ,T         ,-                 ,           ,-                 ,T                      ,T             ,F          ,-                 ,-                     ,-                  ,-                  ,-                  ,-                 ,-                   ,-                  ,-                    ,-                       ,-             ,-                       ,-                   ,T                   ,-                 ,-                   ,                    ,                 ,-                       ,                       ,-                      ,-             ,             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1063,A,  2,H,CC,   0.00,     13.6000,Poli     ,Benthic Foraminifers                         ,F              ,M                 ,T                    ,R                     ,                    ,-                 ,T                          ,-                   ,-               ,T         ,                  ,F          ,-                 ,R                      ,              ,R          ,-                 ,                      ,                   ,                   ,                   ,                  ,                    ,-                  ,-                    ,-                       ,-             ,-                       ,-                   ,-                   ,-                 ,-                   ,                    ,                 ,-                       ,                       ,-                      ,-             ,A            ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1063,A,  3,H,CC,   0.00,     24.4400,Poli     ,Benthic Foraminifers                         ,F              ,P                 ,T                    ,-                     ,R                   ,-                 ,F                          ,C                   ,R               ,-         ,R                 ,F          ,-                 ,R                      ,T             ,R          ,-                 ,-                     ,-                  ,-                  ,-                  ,-                 ,-                   ,-                  ,-                    ,-                       ,-             ,-                       ,-                   ,-                   ,-                 ,-                   ,-                   ,-                ,-                       ,-                      ,-                      ,-             ,             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1063,A,  4,H,CC,  14.00,     34.1400,Poli     ,Benthic Foraminifers                         ,F              ,M                 ,C                    ,T                     ,R                   ,R                 ,T                          ,C                   ,R               ,T         ,F                 ,T          ,T                 ,T                      ,T             ,F          ,-                 ,-                     ,-                  ,-                  ,-                  ,-                 ,-                   ,-                  ,-                    ,-                       ,-             ,-                       ,-                   ,-                   ,-                 ,-                   ,-                   ,-                ,-                       ,-                      ,-                      ,-             ,             ,       
