Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Theocorythium vetulum,Stylatractus universus,Stichocorys peregrina,Spongaster tetras,Pterocanium prismatium,Lamprocyrtis neoheteroporos,Lamprocyrtis heteroporos,Anthocyrtidium jenghisi,Amphirhopalum ypsilon,Theocorythium trachelium trachelium,Theocalyptra davisiana,Anthocyrtidium angulare,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,A. angulare       ,              ,138, 852,C,  2,H,CC,  25.00,     16.0300,Moore    ,Radiolarians                                 ,C/A            ,M                 ,F                    ,R                     ,                     ,R                ,                      ,R                          ,-                       ,                       ,R                    ,R                                  ,R                     ,R                      ,from ODP Leg 138 SR Chapter 11 Fig 9 pp 220-221
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,A. jenghisi M95   ,              ,138, 852,C,  4,H,CC,  25.00,     35.0800,Moore    ,Radiolarians                                 ,C/A            ,G                 ,F                    ,R                     ,C                    ,R                ,R                     ,R                          ,R                       ,R                      ,R                    ,                                   ,                      ,                       ,Reworked older fauna = Few; from ODP Leg 138 SR Chapter 11 Fig 9 pp 220-221
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
