Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Turborotalita quinqueloba,Turborotalita humilis,Tenuitella parkerae,Tenuitella iota,Orbulina universa,Neogloboquadrina pachyderma (sinistral),Neogloboquadrina pachyderma (non-encrusted juvenile sin.),Neogloboquadrina pachyderma (dextral),Indeterminate spp.,Globoturborotalita rubescens,Globorotalia theyeri,Globorotalia sp. A,Globorotalia scitula,Globorotalia inflata,Globorotalia hirsuta,Globigerinoides ruber,Globigerinita uvula,Globigerinita minuta,Globigerinita glutinata,Globigerinita cf. uvula,Globigerina falconensis,Globigerina bulloides,Turborotalita quinqueloba Group,Neogloboquadrina pachyderma (sin.),Globigerinita uvula Group,Neogloboquadrina pachyderma (dex.),Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Holocene         ,                 ,                  ,              ,139, 856,A,  1,H, 1,   0.00,      0.0000,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,21                       ,0                    ,0                  ,0              ,1                ,64                                     ,0                                                        ,11                                   ,9                 ,0                           ,0                   ,0                 ,0                   ,0                   ,0                   ,                     ,3                  ,5                   ,7                      ,11                     ,0                      ,C                    ,F                              ,F                                 ,                         ,C                                 ,from Leg 139 SR; Chapter 4; Tables 5&6; p47& 51-53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,139, 856,A,  1,H, 1,  91.00,      0.9100,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,86                       ,0                    ,0                  ,1              ,0                ,56                                     ,3                                                        ,2                                    ,12                ,0                           ,0                   ,0                 ,2                   ,0                   ,0                   ,0                    ,26                 ,60                  ,13                     ,129                    ,0                      ,14                   ,                               ,                                  ,                         ,                                  ,from Leg 139 SR; Chapter 4; Tables 5&6; p47& 51-53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,139, 856,A,  1,H, 2,  48.00,      1.9800,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,67                       ,0                    ,0                  ,0              ,0                ,136                                    ,4                                                        ,4                                    ,1                 ,0                           ,0                   ,0                 ,0                   ,0                   ,0                   ,0                    ,15                 ,10                  ,11                     ,97                     ,0                      ,47                   ,                               ,                                  ,                         ,                                  ,from Leg 139 SR; Chapter 4; Tables 5&6; p47& 51-53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,                 ,CD2               ,              ,139, 856,A,  1,H,CC,  16.00,      2.4800,Brunner  ,Planktonic Foraminifers                      ,A              ,G                 ,                         ,                     ,                   ,               ,                 ,                                       ,                                                         ,                                     ,                  ,                            ,                    ,                  ,                    ,                    ,                    ,                     ,                   ,C                   ,C                      ,                       ,                       ,A                    ,C                              ,A                                 ,                         ,                                  ,zone assignment uncertain; from ODP Leg 139 IR; Ch 6; Tables 4 & 6; pp. 181 & 184-187
