Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Stainforthia complanata,Nonionella spp.,Nonion sp. A,Chilostomella oolina,Buliminella elegantissima,Bolivina pacifica,Lagenid taxa,Globocassidulina spp.,Elphidium spp.,Cassidulina cushmani,Triloculina spp.,Bolivina spp.,Valvulineria spp.,Uvigerina dirupta,Gyroidinoides planulatus,Globobulimina affinis,Eponides turgida,Cibicidoides wuellerstorfi,Cibicides kullenbergi,Bulimina ovula,Bulimina barbata,Agglutinated spp. (indeterminate),Valvulineria sp. A,Uvigerina senticosa,Spirosigmoilinella spp.,Pullenia salisburyi,Oridorsalis tener,Melonis pompilioides,Melonis barleeanus,Gyroidina sp. A,Gyroidina quinqueloba,Eggerella bradyi,Dentalina frobisherensis,Cibicidoides mckannai,Cassidulina laevigata carinata,Valvulineria laevigata,Sphaeroidina bulloides,Saccammina sp. A,Pyrgo murrhina,Pullenia quinqueloba,Hyperammina sp. A,Hormosina sp. A,Hoeglundina elegans,Globobulimina pacifica,Cribrostomoides sp. A,Ammodiscus sp. A,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 856,A,  1,H, 1,   0.00,      0.0000,Brunner  ,Benthic Foraminifers                         ,C              ,M                 ,                       ,               ,            ,                    ,                         ,                 ,+           ,                     ,              ,                    ,                ,             ,                 ,+                ,+                       ,+                    ,                ,                          ,+                    ,+             ,                ,+                                ,                  ,+                  ,                       ,                   ,                 ,+                   ,+                 ,+              ,                     ,+               ,                        ,                     ,                              ,+                     ,+                     ,+               ,+             ,+                   ,+                ,+              ,+                  ,+                     ,+                    ,+               ,from ODP Leg 139 IR; Ch 6; Tables 4 & 6; pp. 181 & 184-187
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 856,A,  1,H,CC,  16.00,      2.4800,Brunner  ,Benthic Foraminifers                         ,C              ,G                 ,+                      ,               ,            ,+                   ,                         ,+                ,+           ,+                    ,              ,                    ,                ,             ,                 ,                 ,                        ,+                    ,+               ,+                         ,+                    ,              ,                ,                                 ,+                 ,+                  ,+                      ,+                  ,+                ,+                   ,+                 ,+              ,+                    ,+               ,+                       ,+                    ,+                             ,                      ,                      ,                ,              ,                    ,                 ,               ,                   ,                      ,                     ,                ,from ODP Leg 139 IR; Ch 6; Tables 4 & 6; pp. 181 & 184-187
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 856,A,  2,H,CC,   0.00,     12.5900,Brunner  ,Benthic Foraminifers                         ,B              ,                  ,                       ,               ,            ,                    ,                         ,                 ,            ,                     ,              ,                    ,                ,             ,                 ,                 ,                        ,                     ,                ,                          ,                     ,              ,                ,+                                ,                  ,                   ,                       ,                   ,                 ,                    ,                  ,               ,                     ,                ,                        ,                     ,                              ,                      ,                      ,                ,              ,                    ,                 ,               ,                   ,                      ,                     ,                ,from ODP Leg 139 IR; Ch 6; Tables 4 & 6; pp. 181 & 184-187
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 856,A,  3,H,CC,  45.00,     22.3000,Brunner  ,Benthic Foraminifers                         ,C              ,M                 ,+                      ,               ,            ,+                   ,                         ,+                ,+           ,                     ,              ,                    ,                ,             ,+                ,+                ,+                       ,+                    ,+               ,+                         ,+                    ,+             ,+               ,                                 ,                  ,                   ,                       ,                   ,                 ,                    ,                  ,               ,                     ,                ,                        ,                     ,                              ,                      ,                      ,                ,              ,                    ,                 ,               ,                   ,                      ,                     ,                ,from ODP Leg 139 IR; Ch 6; Tables 4 & 6; pp. 181 & 184-187
