Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Woody/herbaceous taxa	Taxodium taxa	Pinus cf.P. sylvestris	Picea cf. P. mariana	Amorphogen taxa	Verrucate triletes cf. A	Verrucate monocolpates cf. A	Torate triletes cf. A	Thinpore triporates cf. A &  B  	Thickpore triporates cf. A & B	Tetrads cf. A & B 	Subequatorial triporates cf. A & B  	Straight bisaccates cf. A	Split inaperturates cf. A & B & C	Smooth triletes cf. A & B 	Smooth monocolpates cf. A & B	Small tricolpates cf. A & B & C	Small bisaccates cf. A	Scabrate monoporates cf. A	Rugulate multiporates cf. A	Round tricolporates cf. A	Round bisaccates cf A & B 	Ribbed elipticals cf. A	Reticulate multiporates cf. A	Pointed monocolpates (unspecified)	Papillate inaperturates cf. A &  B	Large tricolporates cf. A &  B	Large tricolpates cf. A &  B &  C	Large bisaccates cf. A &  B	Granular inaperturates cf. A	Frilled monosaccates cf. A & B	Clavate tricolporates cf. A & B	Baculate triletes cf. A	Podocarpus sp.	Tricolpites sp. 1	Sequoia sp. 1	Juglans sp.	DR sporomorphs taxa	Salix sp.	Fagus sp.	Tsugsa sp. cf. T. sp.	?Proteacidites sp.	Pterocarya taxa	Polypodium cf. P. reniforme	Cyathea sp. cf. C. sp.	Cedrus cf. C perialata	Ulmus taxa	Quercus taxa	Betula cf.B. alba	Abies taxa	Alnipollenites sp.	Tricolporopollenites (sp.)	Pteridium cf. P. aquilinum	Pinus cf.P. banksiana	Coaly  taxa	Carpirus sp.	Botrychium sp.	Sphagnum taxa	Tsuga cf. T.  ignicula	Pteridium sp.	Osmunda sp.	Ericales taxa	Betula sp	Larix taxa	Gramineae taxa	AInus cf. A. viridus	Selaginella  taxa	Lycopodium reticulatum	Chenopodiaceae sp.	Gleichenia sp.	Osmunda regalis	Castanea sp.	Betula sect. Nanae	Fagus grandis	Carya taxa	Comment



  IR	                 	                 	                  	              	104	 642	B	  1	H	CC	  23.00	      4.7300	Mudie    	Pollen/Spores                                	               	P                 	R                    	             	R                     	R                   	R              	                        	                            	                     	                                	                              	                  	                                    	                         	                                 	                          	                             	                               	                      	                          	                           	                         	                          	                       	                             	                                  	                                  	                              	                                 	                           	                            	                              	                               	                       	              	                 	             	           	C                  	         	         	                     	                  	               	                           	                      	                      	          	            	                 	          	                  	                          	                          	                     	C          	            	              	             	                      	             	           	             	         	          	              	                    	                 	R                     	                  	              	               	            	                  	             	          	from ODP 104 IR Ch 4 Table 16 p 136-137

  IR	                 	                 	                  	              	104	 642	B	  2	H	 1	   0.00	      4.8000	Mudie    	Pollen/Spores                                	               	G                 	R                    	             	R                     	                    	C              	                        	                            	                     	                                	                              	                  	                                    	                         	                                 	                          	                             	                               	                      	                          	                           	                         	                          	                       	                             	                                  	                                  	                              	                                 	                           	                            	                              	                               	                       	              	                 	             	           	                   	         	         	                     	                  	               	                           	                      	                      	          	            	                 	          	                  	                          	                          	                     	           	            	              	             	                      	             	           	             	         	          	F             	                    	                 	R                     	                  	              	               	            	                  	             	          	from ODP 104 IR Ch 4 Table 16 p 136-137

  IR	                 	                 	                  	              	104	 642	B	  2	H	CC	   1.00	     13.2800	Mudie    	Pollen/Spores                                	               	P                 	                     	             	+                     	                    	               	                        	                            	                     	                                	                              	                  	                                    	                         	                                 	                          	                             	                               	                      	                          	                           	                         	                          	                       	                             	                                  	                                  	                              	                                 	                           	                            	                              	                               	                       	              	                 	             	           	C                  	         	         	                     	                  	               	                           	                      	                      	          	            	                 	          	                  	                          	                          	                     	C          	            	              	             	                      	             	           	             	         	          	              	                    	                 	                      	                  	              	               	            	                  	             	          	fragments of Pinus cf. P. sylvestris; from ODP 104 IR Ch 4 Table 16 p 136-137

  IR	                 	                 	                  	              	104	 642	B	  3	H	CC	  17.00	     20.4700	Mudie    	Pollen/Spores                                	               	M                 	C                    	             	R                     	R                   	R              	                        	                            	                     	                                	                              	                  	                                    	                         	                                 	                          	                             	                               	                      	                          	                           	                         	                          	                       	                             	                                  	                                  	                              	                                 	                           	                            	                              	                               	                       	              	                 	             	           	C                  	         	         	                     	                  	               	                           	                      	                      	          	            	                 	          	                  	                          	                          	                     	A          	            	              	             	                      	             	           	             	         	          	              	                    	                 	                      	                  	              	               	            	                  	             	          	from ODP 104 IR Ch 4 Table 16 p 136-137
