Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Velicucullus oddgurneri	Tessarastrum thiedei	Stichocorys delmontensis	Spongurus cauleti	Spongotrochus vitabilis	Spongocore puella	Siphocampe arachnea	Pterocanium korotnevi	Pseudodictyophimus horrida	Pseudodictyophimus gracilipes tetracanthus	Pseudodictyophimus amundseni	Phorticium clevei	Phormospyris thespios	Lophospyris pentagona quadriforis	Liriospyris cricus	Hexalonche esmarki	Hexalonche ? nakasekoi	Hexacontium pachydermum	Euphysetta  elegans	Eucyrtidium saccoi	Eucyrtidium calvertense	Eucyrtidium biconicum	Eucoronis fridtjofnanseni	Cyrtocapsella tetrapera	Cyrtocapsella kladaros	Cyrtocapsella japonica	Cyrtocapsella eldholmi	Cyrtocapsella ampullacea	Cycladophora davisiana cornutoides	Corythospyris reuschi	Corythospyris jubata	Corythospyris jjubata sverdrupi	Corythospyris hispida	Corythospyris fiscella	Clathrospyris sandellae	Challengeron diodon	Ceratocyrtis stoermeri	Ceratocyrtis manumi	Ceratocyrtis histricosa	Ceratocyrtis broeggeri	Botryostrobus auritus group	Artostrobus jorgenseni	Antarctissa whitei	Actinomma plasticum	Actinomma mirabile	Actinomma livae	Actinomma holtedahli	Acrosphaera spinosa echinoides	Comment



  SR	                 	                 	P. grac. tetracanth.	              	104	 642	B	  9	H	 1	  75.00	     67.1500	Goll     	Radiolarians                                 	F              	G                 	-                      	-                   	-                       	-                	-                      	-                	-                  	-                    	-                         	T                                         	-                           	-                	-                    	T                                	-                 	-                 	-                     	-                      	-                  	-                 	-                      	-                    	-                        	-                      	-                     	-                     	-                     	-                       	-                                 	-                    	-                   	-                              	-                    	-                     	-                      	-                  	-                     	-                  	-                      	-                     	-                          	-                     	C                 	-                  	-                 	-              	-                   	-                             	from ODP 104 SR Chapter 35 Table 2 p 706-707

  SR	                 	                 	P. grac. tetracanth.	              	104	 642	B	  9	H	 2	  75.00	     68.6500	Goll     	Radiolarians                                 	F              	G                 	-                      	-                   	-                       	-                	-                      	-                	T                  	-                    	-                         	R                                         	-                           	-                	-                    	T                                	-                 	-                 	-                     	-                      	R                  	-                 	-                      	-                    	-                        	-                      	-                     	-                     	-                     	-                       	-                                 	-                    	-                   	-                              	-                    	-                     	-                      	R                  	-                     	-                  	R                      	-                     	C                          	T                     	SP                	-                  	-                 	-              	-                   	-                             	from ODP 104 SR Chapter 35 Table 2 p 706-707

  SR	                 	                 	P. grac. tetracanth.	              	104	 642	B	  9	H	 3	  75.00	     70.1500	Goll     	Radiolarians                                 	C              	G                 	-                      	-                   	-                       	-                	-                      	-                	-                  	-                    	-                         	R                                         	-                           	R                	-                    	-                                	-                 	-                 	-                     	-                      	R                  	T                 	-                      	-                    	-                        	-                      	-                     	-                     	-                     	-                       	-                                 	-                    	-                   	-                              	-                    	-                     	-                      	-                  	-                     	-                  	R                      	-                     	C                          	T                     	C                 	-                  	-                 	-              	-                   	-                             	from ODP 104 SR Chapter 35 Table 2 p 706-707

  SR	                 	                 	P. grac. tetracanth.	              	104	 642	B	  9	H	 4	  75.00	     71.6500	Goll     	Radiolarians                                 	F              	P                 	-                      	-                   	-                       	-                	-                      	-                	T                  	-                    	-                         	R                                         	-                           	R                	-                    	T                                	-                 	-                 	-                     	-                      	R                  	-                 	-                      	-                    	-                        	-                      	-                     	-                     	-                     	-                       	-                                 	-                    	-                   	-                              	-                    	-                     	-                      	-                  	-                     	-                  	R                      	-                     	T                          	-                     	C                 	-                  	-                 	-              	-                   	-                             	from ODP 104 SR Chapter 35 Table 2 p 706-707
