Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Neogloboquadrina pachyderma (sinistral),Neogloboquadrina pachyderma (dextral),Globorotalia scitula,Globigerina quinqueloba,Globorotalia crassaformis,Orbulina universa,Globigerina aff. bulloides,Truncorotalia truncatulinoides,Globoconella inflata,Globoconella cf. inflata,Globigerina bulloides,Globigerina apertura,Globigerinita glutinata,Neogloboquadrina dutertrei,Globorotalia hexagonus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,T. truncatulinoides,              ,141, 859,A,  1,H,CC,  15.00,      1.1700,Spiegler ,Planktonic Foraminifers                      ,               ,G                 ,F                                      ,R                                    ,R                   ,R                      ,                         ,R                ,R                         ,F                             ,R                   ,                        ,C                    ,R                   ,                       ,F                         ,R                     ,from Leg 141 SR; Ch 14; Table 2; p 196
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,T. truncatulinoides,              ,141, 859,A,  2,H, 2,  70.00,      3.4000,Spiegler ,Planktonic Foraminifers                      ,               ,G                 ,R                                      ,                                     ,                    ,                       ,R                        ,                 ,R                         ,                              ,C                   ,                        ,C                    ,R                   ,R                      ,                          ,                      ,from Leg 141 SR; Ch 14; Table 2; p 196
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,T. truncatulinoides,              ,141, 859,A,  2,H, 4,  75.00,      6.4500,Spiegler ,Planktonic Foraminifers                      ,               ,G                 ,                                       ,                                     ,                    ,R                      ,                         ,                 ,R                         ,R                             ,C                   ,                        ,R                    ,R                   ,                       ,                          ,                      ,from Leg 141 SR; Ch 14; Table 2; p 196
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,T. truncatulinoides,              ,141, 859,A,  2,H, 5,  82.00,      8.0200,Spiegler ,Planktonic Foraminifers                      ,               ,G                 ,R                                      ,R                                    ,R                   ,                       ,                         ,                 ,                          ,F                             ,A                   ,                        ,A                    ,R                   ,R                      ,R                         ,                      ,from Leg 141 SR; Ch 14; Table 2; p 196
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,T. truncatulinoides,              ,141, 859,A,  2,H, 6, 108.00,      9.7800,Spiegler ,Planktonic Foraminifers                      ,               ,G                 ,                                       ,R                                    ,R                   ,                       ,                         ,                 ,                          ,R                             ,F                   ,R                       ,C                    ,R                   ,                       ,                          ,                      ,from Leg 141 SR; Ch 14; Table 2; p 196
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
