Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Gephyrocapsa sp.,Coccolithus pelagicus,Reticulofenestra cf. pseudoumbilica,Helicosphaera sellii,Helicosphaera carteri,Calcidiscus macintyrei,Calcidiscus leptoporus,Pseudoemiliania lacunosa,Discolithina japonica,Syracosphaera pulchra,Braarudosphaera bigelowii,Gephyrocapsa ericsonii,Emiliania huxleyi,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN21              ,              ,141, 859,A,  1,H,CC,  15.00,      1.1700,Spiegler ,Nannofossils                                 ,F              ,M                 ,                ,C                    ,                                   ,                    ,C                    ,                      ,F                     ,                        ,                     ,                     ,                         ,C                     ,F                ,from Leg 141 SR; Ch 14; Table 2; p 196
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN21              ,              ,141, 859,A,  2,H,CC,  26.00,     10.9800,Spiegler ,Nannofossils                                 ,F              ,M                 ,                ,                     ,                                   ,                    ,F                    ,                      ,F                     ,                        ,                     ,R                    ,                         ,C                     ,F                ,from Leg 141 SR; Ch 14; Table 2; p 196
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,NN16              ,NN18          ,141, 859,A,  3,H,CC,  41.00,     17.1400,Spiegler ,Nannofossils                                 ,R              ,M                 ,R               ,R                    ,                                   ,R                   ,R                    ,                      ,R                     ,                        ,                     ,T                    ,T                        ,                      ,                 ,from Leg 141 SR; Ch 14; Table 2; p 196
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,NN16              ,NN18          ,141, 859,A,  4,H, 2,  70.00,     18.9000,Spiegler ,Nannofossils                                 ,F              ,M                 ,F               ,F                    ,F                                  ,                    ,R                    ,R                     ,                      ,                        ,R                    ,R                    ,                         ,                      ,                 ,from Leg 141 SR; Ch 14; Table 2; p 196
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,NN16              ,NN18          ,141, 859,A,  4,H, 5,  63.00,     23.3300,Spiegler ,Nannofossils                                 ,F              ,M                 ,R               ,F                    ,F                                  ,R                   ,F                    ,R                     ,                      ,                        ,                     ,                     ,                         ,                      ,                 ,from Leg 141 SR; Ch 14; Table 2; p 196
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,NN16              ,NN18          ,141, 859,A,  4,H,CC,  51.00,     25.3800,Spiegler ,Nannofossils                                 ,R              ,M                 ,F               ,                     ,                                   ,F                   ,R                    ,R                     ,                      ,R                       ,T                    ,                     ,                         ,                      ,                 ,from Leg 141 SR; Ch 14; Table 2; p 196
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
