Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Bolivinid taxa	Pullenia spp.	Oridorsalis umbonatus	Nuttallides umbonifera	Melonis pompilioides	Lenticulina spp.	Cibicidoides spp.	Globocassidulina subglobosa	Epistominella exigua	Cibicidoides kullenbergi	Plectofrondicularia sp.	Melonis nicobarense	Gyroidinoides altiformis	Elphidium spp.	Pleurostomella spp.	Gyroidinoides spp.	Dentalina/Nodosaria spp.	Cibicidoides bradyi	Cassidulina spp.	Ammonia beccarii	Planulina wuellerstorfi	Pararotalia spp.	Ehrenbergina hystrix	Eggerella bradyi	Uvigerinid taxa	Pullenia bulloides	Laticarinina pauperata	Lagena taxa	Hanzawaia boueana	Textularia taxa	Anomalinoides spp.	Eponides tumidulus	Buliminid taxa	Gyroidinoides laevigatus ex. gr.	Karreriella sp.	Pyrgo spp.	Gyroidinoides neosoldanii	Gyroidinoides umbonatus ex. gr.	Miliolids species	Fursenkoina spp.	Comment



  SR	                 	                 	                  	              	116	 718	C	  1	X	CC	   0.00	      9.3000	Iaccarino	Benthic Foraminifers                         	               	                  	2             	             	                     	1                     	                    	                	                 	                           	                    	                        	                       	                   	                        	              	                   	                  	                        	                   	1               	                	                       	                	                    	                	               	3                 	                      	1          	                 	               	                  	                  	1             	                                	               	          	                         	                               	                 	2               	from ODP Leg 116 SR Chapter 18 Table 3 p 222

  SR	                 	                 	                  	              	116	 718	C	  3	X	 1	 146.00	     29.7600	Iaccarino	Benthic Foraminifers                         	               	                  	              	             	1                    	                      	                    	                	1                	                           	                    	                        	                       	                   	                        	              	                   	                  	1                       	                   	                	                	                       	                	                    	                	               	2                 	                      	1          	                 	               	                  	                  	              	                                	1              	          	                         	                               	1                	                	from ODP Leg 116 SR Chapter 18 Table 3 p 222

  SR	                 	                 	                  	              	116	 718	C	  3	X	 2	  59.00	     30.3900	Iaccarino	Benthic Foraminifers                         	               	                  	              	             	12                   	1                     	                    	                	1                	                           	11                  	                        	                       	                   	                        	              	                   	                  	                        	                   	                	                	                       	                	                    	1               	               	                  	                      	3          	                 	1              	                  	                  	1             	                                	               	2         	                         	                               	2                	                	from ODP Leg 116 SR Chapter 18 Table 3 p 222

  SR	                 	                 	                  	              	116	 718	C	  3	X	CC	  30.00	     33.1000	Iaccarino	Benthic Foraminifers                         	               	                  	              	             	1                    	3                     	                    	                	                 	1                          	                    	                        	                       	                   	                        	              	                   	1                 	3                       	                   	                	                	1                      	                	                    	                	               	2                 	                      	1          	                 	               	                  	                  	              	                                	               	2         	                         	                               	                 	                	from ODP Leg 116 SR Chapter 18 Table 3 p 222

  SR	                 	                 	                  	              	116	 718	C	 10	X	 1	  20.00	     95.0000	Iaccarino	Benthic Foraminifers                         	               	                  	              	             	1                    	12                    	2                   	                	                 	4                          	                    	                        	                       	                   	                        	              	                   	                  	                        	                   	                	                	1                      	2               	                    	                	               	                  	                      	           	                 	               	                  	                  	              	                                	               	          	                         	                               	                 	                	from ODP Leg 116 SR Chapter 18 Table 3 p 222

