Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Trifarina angulosa,Pullenia quinqueloba,Pullenia bulloides,Notorotalia spp.,Melonis barleeanus,Martinottiella communis,Lenticulina spp.,Cornuspira involvens,Cibicidoides spp.,Cibicidoides pachyderma,Cassidulina carinata,Sphaeroidina bulloides,Pyrgo murrhina,Oridorsalis umbonatus,Miliolinella subrotundata,Gavelinopsis praegeri,Fissurina spp.,Epistominella exigua,Elphidium charlottense,Elphidium advenum,Eggerella bradyi,Discorbinella complanata,Discorbinella bertheloti,Cassidulina minuta,Cassidulina laevigata,Uvigerina auberiana,Uvigerina dirupta,Quinqueloculina venusta,Nonionellina flemingi,Planulina wuellerstorfi,Nuttallides umbonifera,Gyroidinoides spp.,Globocassidulina spp.,Ehrenbergina mestayeri,Bolivina spp.,Lagena spp.,Cornuspira foliacea,Karreriella bradyi,Pleurostomella spp.,Patellina corrugata,Nonionella turgida,Globocassidulina subglobosa,Bolivina barbata,Anomalinoides sphericus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1122,A,  1,H,CC,   8.00,      9.2200,forams   ,Benthic Foraminifers                         ,F              ,G                 ,R                 ,                    ,R                 ,                ,R                 ,T                      ,T               ,                    ,                 ,                       ,                    ,T                     ,T             ,T                    ,T                        ,T                    ,              ,R                   ,R                     ,R                ,                ,T                       ,                        ,                  ,                     ,                   ,R                ,                       ,                     ,                       ,                      ,                  ,                     ,                      ,             ,           ,                   ,                  ,T                  ,                   ,                  ,                           ,T               ,T                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1122,A,  3,H,CC,   9.00,     28.5200,forams   ,Benthic Foraminifers                         ,R              ,VG                ,T                 ,                    ,T                 ,                ,R                 ,                       ,                ,T                   ,                 ,                       ,R                   ,T                     ,T             ,                     ,                         ,                     ,R             ,R                   ,T                     ,R                ,                ,T                       ,                        ,                  ,                     ,                   ,R                ,T                      ,R                    ,                       ,                      ,                  ,                     ,                      ,T            ,           ,T                  ,                  ,T                  ,T                  ,T                 ,T                          ,                ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1122,A,  4,H,CC,   5.00,     38.1200,forams   ,Benthic Foraminifers                         ,R              ,VG                ,                  ,                    ,                  ,                ,                  ,                       ,                ,                    ,                 ,                       ,                    ,R                     ,T             ,                     ,                         ,                     ,              ,                    ,                      ,R                ,                ,                        ,                        ,                  ,                     ,                   ,R                ,T                      ,                     ,                       ,                      ,                  ,                     ,                      ,             ,           ,                   ,T                 ,                   ,                   ,                  ,                           ,                ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1122,A,  5,H,CC,  10.00,     46.5700,forams   ,Benthic Foraminifers                         ,R              ,VG                ,                  ,                    ,                  ,                ,F                 ,                       ,                ,                    ,R                ,                       ,                    ,                      ,T             ,                     ,                         ,                     ,              ,F                   ,                      ,                 ,                ,                        ,                        ,                  ,                     ,T                  ,R                ,                       ,                     ,                       ,                      ,                  ,                     ,                      ,             ,T          ,T                  ,                  ,                   ,                   ,                  ,                           ,                ,                       ,       
