Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Umbilicosphaera mirabilis,Syracosphaera pulchra,Sphenolithus moriformis,Sphenolithus abies/neoabies,Scapholithus fossilis,Rhabdosphaera clavigera,Pseudoemiliania lacunosa,Pontosphaera sp.,Helicosphaera kamptneri,Gephyrocapsa spp. small (<3.5 microns),Gephyrocapsa oceanica (4-5.5 microns)  ,Discoaster surculus,Discoaster sp.,Discoaster brouweri,Dictyococcites sp.,Cyclicargolithus floridanus,Calcidiscus leptoporus,Reticulofenestra sp. (<5 microns),Pontosphaera japonica,Discoaster variabilis,Discoaster quinqueramus,Discoaster pentaradiatus,Coccolithus pelagicus,Ceratolithus sp.,Ceratolithus cristatus,Umbellosphaera irregularis,Sphenolithus heteromorphus,Discosphaera tubifera,Reticulofenestra pseudoumbilica(5-7microns),Reticulofenestra pseudoumbilica (>7microns),Dictyococcites bisectus,Cyclicargolithus abisectus,Reticulofenestra callida,Ceratolithus telesmus,Emiliania huxleyi,Umbellosphaera sp.,Syracosphaera sp.,Scyphosphaera sp.,Rhabdosphaera sp.,Comment
  SR,Late Pleistocene ,                 ,CN15              ,              ,134, 830,A,  2,H, 3,  30.00,     10.3000,Staerker ,Nannofossils                                 ,R              ,E                 ,C                        ,C                    ,rS                     ,rS                         ,C                    ,C                      ,rR                      ,S               ,C                      ,A                                     ,C                                      ,                   ,rS            ,rS                 ,S                 ,rS                         ,C                     ,                                 ,S                    ,rR                   ,                       ,rR                      ,                     ,R               ,                      ,S                         ,                          ,C                    ,                                           ,                                           ,                       ,                          ,                        ,                     ,C                ,                  ,                 ,                 ,                 ,from ODP Leg 134 SR Chapter 10 Table 6 p 210
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Pleistocene,                 ,CN14b             ,              ,134, 830,A,  2,H, 4,  38.00,     11.8800,Staerker ,Nannofossils                                 ,R              ,E                 ,C                        ,C                    ,rS                     ,rS                         ,C                    ,C                      ,rR                      ,S               ,C                      ,V                                     ,A                                      ,rR                 ,rC            ,rS                 ,S                 ,rS                         ,C                     ,                                 ,S                    ,rR                   ,rS                     ,rR                      ,                     ,R               ,                      ,S                         ,                          ,C                    ,                                           ,                                           ,                       ,                          ,                        ,                     ,                 ,                  ,                 ,                 ,                 ,from ODP Leg 134 SR Chapter 10 Table 6 p 210
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Pleistocene,                 ,CN14b             ,              ,134, 830,A,  2,H, 5,  30.00,     13.3000,Staerker ,Nannofossils                                 ,R              ,E                 ,C                        ,C                    ,rS                     ,rS                         ,C                    ,C                      ,rR                      ,S               ,C                      ,V                                     ,A                                      ,rR                 ,rC            ,rS                 ,S                 ,rS                         ,C                     ,                                 ,S                    ,rR                   ,rS                     ,rR                      ,                     ,R               ,                      ,S                         ,                          ,C                    ,rS                                         ,                                           ,                       ,                          ,                        ,                     ,                 ,                  ,                 ,                 ,                 ,from ODP Leg 134 SR Chapter 10 Table 6 p 210
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,Middle Pleistocene,CN14a             ,              ,134, 830,A,  2,H, 6,  30.00,     14.8000,Staerker ,Nannofossils                                 ,R              ,E                 ,C                        ,C                    ,rS                     ,rC                         ,C                    ,C                      ,C                       ,S               ,C                      ,V                                     ,S                                      ,rR                 ,rC            ,rS                 ,S                 ,rS                         ,C                     ,                                 ,S                    ,rR                   ,rS                     ,rR                      ,                     ,R               ,                      ,S                         ,                          ,C                    ,rC                                         ,                                           ,                       ,                          ,rR                      ,R                    ,                 ,                  ,                 ,                 ,                 ,from ODP Leg 134 SR Chapter 10 Table 6 p 210
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,Middle Pleistocene,CN14a             ,              ,134, 830,A,  3,H, 1, 100.00,     17.5000,Staerker ,Nannofossils                                 ,R              ,E                 ,C                        ,C                    ,rS                     ,rC                         ,S                    ,C                      ,C                       ,S               ,C                      ,A                                     ,A                                      ,rR                 ,rC            ,rS                 ,A                 ,rR                         ,C                     ,                                 ,S                    ,rR                   ,rS                     ,rR                      ,                     ,R               ,R                     ,R                         ,                          ,R                    ,                                           ,rR                                         ,rR                     ,rR                        ,                        ,                     ,                 ,                  ,                 ,                 ,                 ,from ODP Leg 134 SR Chapter 10 Table 6 p 210
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,Middle Pleistocene,CN14a             ,              ,134, 830,A,  4,H, 1, 142.00,     27.4200,Staerker ,Nannofossils                                 ,R              ,E                 ,C                        ,C                    ,rS                     ,rC                         ,S                    ,C                      ,C                       ,S               ,C                      ,A                                     ,A                                      ,rR                 ,rC            ,rS                 ,A                 ,rR                         ,C                     ,R                                ,S                    ,rR                   ,rS                     ,rR                      ,                     ,R               ,                      ,R                         ,                          ,R                    ,rS                                         ,                                           ,                       ,                          ,                        ,                     ,                 ,                  ,                 ,                 ,                 ,from ODP Leg 134 SR Chapter 10 Table 6 p 210
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,Middle Pleistocene,CN14a             ,              ,134, 830,A,  4,H, 3,  76.00,     29.7600,Staerker ,Nannofossils                                 ,R              ,E                 ,C                        ,C                    ,rS                     ,rC                         ,S                    ,C                      ,C                       ,S               ,C                      ,A                                     ,C                                      ,rR                 ,rC            ,rS                 ,A                 ,rR                         ,C                     ,                                 ,S                    ,rR                   ,rS                     ,rR                      ,R                    ,R               ,                      ,R                         ,                          ,R                    ,                                           ,                                           ,                       ,                          ,                        ,                     ,                 ,                  ,                 ,                 ,                 ,from ODP Leg 134 SR Chapter 10 Table 6 p 210
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,Middle Pleistocene,CN14a             ,              ,134, 830,A,  5,H, 1, 132.00,     31.7200,Staerker ,Nannofossils                                 ,R              ,E                 ,C                        ,C                    ,rS                     ,rC                         ,S                    ,C                      ,C                       ,S               ,C                      ,C                                     ,C                                      ,rR                 ,rC            ,rS                 ,S                 ,rR                         ,C                     ,                                 ,S                    ,rR                   ,rS                     ,rR                      ,R                    ,R               ,                      ,R                         ,                          ,R                    ,                                           ,                                           ,                       ,                          ,                        ,                     ,                 ,                  ,                 ,                 ,                 ,from ODP Leg 134 SR Chapter 10 Table 6 p 210
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,Middle Pleistocene,CN14a             ,              ,134, 830,A,  5,H, 6,  78.00,     38.6800,Staerker ,Nannofossils                                 ,R              ,E                 ,C                        ,C                    ,rS                     ,rC                         ,S                    ,C                      ,C                       ,S               ,C                      ,C                                     ,C                                      ,rR                 ,rC            ,rS                 ,S                 ,rR                         ,C                     ,R                                ,S                    ,rR                   ,rS                     ,rR                      ,R                    ,R               ,                      ,R                         ,rR                        ,                     ,                                           ,                                           ,                       ,                          ,                        ,                     ,                 ,                  ,                 ,                 ,                 ,from ODP Leg 134 SR Chapter 10 Table 6 p 210
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,Middle Pleistocene,CN14a             ,              ,134, 830,A,  6,H, 1, 108.00,     40.9800,Staerker ,Nannofossils                                 ,R              ,E                 ,C                        ,C                    ,rS                     ,rS                         ,R                    ,C                      ,C                       ,S               ,C                      ,C                                     ,C                                      ,rR                 ,rS            ,rR                 ,S                 ,rR                         ,C                     ,                                 ,S                    ,rR                   ,                       ,rR                      ,R                    ,R               ,R                     ,                          ,                          ,                     ,                                           ,                                           ,                       ,                          ,                        ,                     ,                 ,                  ,                 ,                 ,                 ,from ODP Leg 134 SR Chapter 10 Table 6 p 210
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,Middle Pleistocene,CN14a             ,              ,134, 830,A,  6,H, 6,  12.00,     47.5200,Staerker ,Nannofossils                                 ,R              ,E                 ,C                        ,C                    ,rS                     ,rS                         ,R                    ,C                      ,C                       ,S               ,C                      ,C                                     ,C                                      ,rR                 ,rS            ,rR                 ,S                 ,rR                         ,C                     ,                                 ,S                    ,rR                   ,                       ,rR                      ,R                    ,R               ,                      ,                          ,                          ,                     ,                                           ,                                           ,                       ,                          ,                        ,                     ,                 ,                  ,                 ,                 ,                 ,from ODP Leg 134 SR Chapter 10 Table 6 p 210
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,Middle Pleistocene,CN14a             ,              ,134, 830,A,  7,X, 1,   6.00,     48.5600,Staerker ,Nannofossils                                 ,R              ,E                 ,C                        ,C                    ,rS                     ,rC                         ,R                    ,C                      ,C                       ,S               ,C                      ,C                                     ,C                                      ,rR                 ,rR            ,rR                 ,S                 ,rR                         ,C                     ,R                                ,S                    ,rR                   ,rS                     ,rS                      ,S                    ,R               ,R                     ,                          ,                          ,                     ,                                           ,                                           ,                       ,                          ,                        ,                     ,                 ,                  ,                 ,                 ,                 ,from ODP Leg 134 SR Chapter 10 Table 6 p 210
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,Middle Pleistocene,CN14a             ,              ,134, 830,A,  8,X,CC,   8.00,     58.2800,Staerker ,Nannofossils                                 ,R              ,E                 ,C                        ,S                    ,rS                     ,rS                         ,R                    ,S                      ,S                       ,S               ,S                      ,S                                     ,S                                      ,rR                 ,rR            ,rR                 ,R                 ,rR                         ,S                     ,                                 ,                     ,                     ,                       ,                        ,                     ,                ,                      ,                          ,                          ,                     ,                                           ,                                           ,                       ,                          ,                        ,                     ,                 ,                  ,                 ,                 ,                 ,from ODP Leg 134 SR Chapter 10 Table 6 p 210
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
