Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Pseudoemiliania lacunosa,Helicosphaera wallichii,Helicosphaera carteri,Gephyrocapsa spp. medium,Gephyrocapsa spp. (small),Ceratolithus cristatus,Calcidiscus leptoporus,Gephyrocapsa sp.3 medium,Florisphaera profunda,Helicosphaera inversa,Coccolithus pelagicus,Emiliania huxleyi,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1059,B,  1,H,CC,  11.00,      6.7000,Raffi    ,Nannofossils                                 ,A              ,G                 ,                        ,                       ,                     ,                        ,                         ,                      ,                      ,                        ,A                    ,                     ,                     ,A                ,< 0.085
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1059,B,  2,H,CC,  15.00,     16.3600,Raffi    ,Nannofossils                                 ,A              ,G                 ,                        ,                       ,F                    ,                        ,                         ,                      ,F                     ,F                       ,A                    ,                     ,                     ,C                ,> 0.085     < 0.26
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1059,B,  3,H,CC,  20.00,     26.0600,Raffi    ,Nannofossils                                 ,A              ,M                 ,                        ,                       ,F                    ,A                       ,A                        ,                      ,F                     ,C                       ,A                    ,                     ,F                    ,R                ,> 0.085     < 0.26
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1059,B,  4,H,CC,  23.00,     35.6600,Raffi    ,Nannofossils                                 ,A              ,G                 ,                        ,                       ,F                    ,C                       ,A                        ,                      ,C                     ,                        ,                     ,                     ,                     ,R                ,> 0.085    < 0.26
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1059,B,  5,H,CC,  32.00,     45.4100,Raffi    ,Nannofossils                                 ,A              ,G                 ,                        ,2                      ,F                    ,C                       ,A                        ,                      ,C                     ,                        ,                     ,                     ,F                    ,-                ,> 0.26    < 0.46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1059,B,  6,H,CC,  32.00,     54.9000,Raffi    ,Nannofossils                                 ,A              ,G                 ,                        ,                       ,F                    ,A                       ,A                        ,                      ,F                     ,C                       ,                     ,2                    ,F                    ,                 ,> 0.26    < 0.46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1059,B,  7,H,CC,  32.00,     64.4000,Raffi    ,Nannofossils                                 ,A              ,G                 ,                        ,R                      ,F                    ,A                       ,A                        ,                      ,F                     ,                        ,A                    ,                     ,F                    ,                 ,> 0.26    < 0.46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1059,B,  8,H,CC,  17.00,     73.7600,Raffi    ,Nannofossils                                 ,A              ,G                 ,                        ,R                      ,F                    ,A                       ,A                        ,                      ,                      ,F                       ,                     ,R                    ,F                    ,                 ,> 0.26     < 0.46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1059,B,  9,H,CC,  32.00,     83.3600,Raffi    ,Nannofossils                                 ,A              ,G                 ,3                       ,                       ,F                    ,A                       ,A                        ,                      ,F                     ,F                       ,A                    ,                     ,                     ,                 ,> 0.26    < 0.46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,172,1059,B, 10,H,CC,  18.00,     91.3000,Raffi    ,Nannofossils                                 ,A              ,G                 ,C                       ,+                      ,F                    ,A                       ,A                        ,+                     ,F                     ,                        ,                     ,                     ,                     ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
