Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Rhizosolenia barboi,Delphineis penelliptica,Cymatosira immunis,Coscinodiscus lewisianus,Actinocyclus tenellus,Actinocyclus ingens,Rossiella paleacea,Rhizosolenia praebarboi,Rhizosolenia miocenica,Raphidodiscus marylandicus,Paralia sulcata var. coronata,Coscinodiscus tuberculatus,Coscinodiscus perforatus,Cavitatus jouseanus,Azpeitia endoi,Asteromphalus undulatus,Thalassionema nitzschioides,Stephanopyxis turris,Coscinodiscus marginatus,Stephanopyxis sp.,Crucidenticula nicobarica,Actinocyclus ellipticus,Denticulopsis hustedtii,Stephanopyxis grunowii,Thalassiosira lineata,Denticulopsis punctata var. hustedtii,Craspedodiscus coscinodiscus,Delphineis novaecaesaraea,Denticulopsis lauta,Coscinodiscus yabei,Actinocyclus ehrenbergii,Coscinodiscus asteromphalus,Hemidiscus cuneiformis,Rhizosolenia alata,Thalassiosira grunowii,Coscinodiscus temperei var. delicata,Mediaria splendida,Paralia sulcata,Coscinodiscus radiatus,Thalassiosira oestrupii,Rhizosolenia styliformis,Rhizosolenia hebetata,Pseudoeunotia doliolus,Thalassiosira gravida,Nitzschia marina,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,150, 902,D,  1,H,CC,  21.00,      8.8800,Burckle  ,Diatoms                                      ,R              ,M                 ,                   ,                       ,                  ,                        ,                     ,                   ,                  ,                       ,                      ,                          ,                             ,                          ,                        ,                   ,              ,                       ,                           ,                    ,                        ,                 ,                         ,                       ,                       ,                      ,                     ,                                     ,                            ,                         ,                   ,                   ,                        ,                           ,                      ,                  ,                      ,                                    ,                  ,R              ,                      ,                       ,                        ,                     ,                      ,                     ,                ,from Leg 150 SR;Ch 2; Table 2; pp. 22-23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,150, 902,D,  2,H,CC,   0.00,     21.2500,Burckle  ,Diatoms                                      ,R              ,M                 ,                   ,                       ,                  ,                        ,                     ,                   ,                  ,                       ,                      ,                          ,                             ,                          ,                        ,                   ,              ,                       ,R                          ,                    ,                        ,                 ,                         ,                       ,                       ,                      ,                     ,                                     ,                            ,                         ,                   ,                   ,                        ,                           ,                      ,                  ,                      ,                                    ,                  ,               ,                      ,                       ,                        ,                     ,                      ,                     ,                ,from Leg 150 SR;Ch 2; Table 2; pp. 22-23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,150, 902,D,  3,H,CC,  26.00,     31.6400,Burckle  ,Diatoms                                      ,R              ,M                 ,                   ,                       ,                  ,                        ,                     ,                   ,                  ,                       ,                      ,                          ,                             ,                          ,R                       ,                   ,              ,                       ,R                          ,                    ,                        ,                 ,                         ,                       ,                       ,                      ,R                    ,                                     ,                            ,                         ,                   ,                   ,                        ,                           ,                      ,                  ,                      ,                                    ,                  ,R              ,                      ,R                      ,                        ,                     ,                      ,R                    ,                ,from Leg 150 SR;Ch 2; Table 2; pp. 22-23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,150, 902,D,  4,H,CC,  22.00,     41.4200,Burckle  ,Diatoms                                      ,C              ,M                 ,                   ,                       ,                  ,                        ,                     ,                   ,                  ,                       ,                      ,                          ,                             ,                          ,                        ,                   ,              ,                       ,                           ,C                   ,                        ,C                ,                         ,                       ,                       ,                      ,                     ,                                     ,                            ,                         ,                   ,                   ,                        ,                           ,                      ,                  ,                      ,                                    ,                  ,R              ,                      ,R                      ,F                       ,                     ,R                     ,                     ,R               ,from Leg 150 SR;Ch 2; Table 2; pp. 22-23
