Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Spiniferites ramosus	Spiniferites mirabilis	Spiniferites bulloideus	Polysphaeridium zoharyi	Operculodinium israelianum	Operculodinium echigoense	Operculodinium centrocarpum	Lingulodinium machaerophorum	Hystrichokolpoma rigaudiae	Impagidinium patulum	Impagidinium paradoxum	Spiniferites hyperacanthus	Operculodinium longispinigerum	Nematosphaeropsis lemniscata	Achomosphaera sp.	Impletosphaeridium spp.	Tuberculodinium vancampoae	Operculodinium janduchenei	Melitasphaeridium choanophorum	Dapsilidinium pastielsii	Spiniferites rubinus	Spiniferites membranaceus	Tectatodinium sp.	Impagidinium strialatum	Impagidinium sphaericum	Blysmatodinium argoi	Pyxidinopsis sp.	Nematosphaeropsis ?wrennii	Impagidinium aculeatum	Selenopemphix nephroides	Multispinula quanta	Votadinium calvum	Stelladinium reidii	Impagidinium sp. A	Comment



  SR	Pleistocene      	                 	                  	              	123	 765	B	  3	H	 6	  37.00	     26.6700	McMinn   	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	11.4%               	2.6%                  	33.3%                  	1.8%                   	6.1%                      	.9%                      	13.2%                      	.9%                         	.9%                       	3.5%                	3.5%                  	6.1%                      	3.5%                          	                            	                 	5.3%                   	.9%                       	.9%                       	                              	.9%                     	                    	3.5%                     	                 	                       	                       	                    	                	                          	                      	                        	                   	                 	                   	.9%               	total count = 117; from ODP Leg 123 SR Chapter 20 Table 2 p 424-426

  SR	Pleistocene      	                 	                  	              	123	 765	B	  4	H	 3	  60.00	     32.1000	McMinn   	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	.7%                 	7.4%                  	39.0%                  	.7%                    	3.5%                      	                         	15.2%                      	.7%                         	                          	3.5%                	2.5%                  	                          	2.8%                          	.4%                         	T                	7.8%                   	6.7%                      	T                         	                              	                        	                    	1.1%                     	                 	1.8%                   	.4%                    	                    	                	                          	1.4%                  	                        	.4%                	.4%              	1.1%               	2.5%              	total count = 750; from ODP Leg 123 SR Chapter 20 Table 2 p 424-426

  SR	Pleistocene      	                 	                  	              	123	 765	B	  5	H	 6	  63.00	     46.2300	McMinn   	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	.5%                 	3.1%                  	28.2%                  	14.9%                  	3.1%                      	7.7%                     	2.1%                       	1.0%                        	1.0%                      	4.6%                	9.2%                  	                          	2.6%                          	2.1%                        	.5%              	                       	5.6%                      	1.0%                      	                              	                        	                    	1.5%                     	                 	7.2%                   	                       	                    	                	                          	3.6%                  	                        	.5%                	                 	                   	                  	total count = 196; from ODP Leg 123 SR Chapter 20 Table 2 p 424-426

  SR	Pleistocene      	                 	                  	              	123	 765	B	  6	H	 1	  69.00	     48.4900	McMinn   	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	.6%                 	5.1%                  	35.9%                  	9.0%                   	4.2%                      	6.9%                     	5.4%                       	1.5%                        	.3%                       	8.7%                	8.1%                  	T                         	2.1%                          	.9%                         	.9%              	                       	1.2%                      	.3%                       	                              	                        	                    	1.2%                     	                 	2.4%                   	1.5%                   	                    	                	                          	3.9%                  	                        	                   	                 	                   	                  	total count = 340; from ODP Leg 123 SR Chapter 20 Table 2 p 424-426
